model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.0012,0.0,4,9,0.9772453205997828
LSPIN,lspin_tf,0.0012,0.0,5,6,0.8797605639389595
LSPIN,lspin_tf,0.0012,0.0,5,7,0.941886028457796
LSPIN,lspin_tf,0.0012,0.0,5,8,0.94905942861587
LSPIN,lspin_tf,0.0012,0.0,5,9,0.9676568760130628
LSPIN,lspin_tf,0.0012,0.0,6,7,0.9364716643048394
LSPIN,lspin_tf,0.0012,0.0,6,8,0.892412565063788
LSPIN,lspin_tf,0.0012,0.0,6,9,0.9411943285118792
LSPIN,lspin_tf,0.0012,0.0,7,8,0.917483689961896
LSPIN,lspin_tf,0.0012,0.0,7,9,0.9564104203192716
LSPIN,lspin_tf,0.0012,0.0,8,9,0.953202970319426
LSPIN,lspin_tf,0.0008,0.0,0,1,0.8765292050807653
LSPIN,lspin_tf,0.0008,0.0,0,2,0.9387307061416132
LSPIN,lspin_tf,0.0008,0.0,0,3,0.9159738869051705
LSPIN,lspin_tf,0.0008,0.0,0,4,0.9404669967341304
LSPIN,lspin_tf,0.0008,0.0,0,5,0.9475419204180294
LSPIN,lspin_tf,0.0008,0.0,0,6,0.9382315365817796
LSPIN,lspin_tf,0.0008,0.0,0,7,0.9802479139961084
LSPIN,lspin_tf,0.0008,0.0,0,8,0.9679229492415437
LSPIN,lspin_tf,0.0008,0.0,0,9,0.898950177523181
LSPIN,lspin_tf,0.0008,0.0,1,2,0.8848143704169908
LSPIN,lspin_tf,0.0008,0.0,1,3,0.9508820632192834
LSPIN,lspin_tf,0.0008,0.0,1,4,0.8739487238403166
LSPIN,lspin_tf,0.0008,0.0,1,5,0.9407142698933018
LSPIN,lspin_tf,0.0008,0.0,1,6,0.9624222195321884
LSPIN,lspin_tf,0.0008,0.0,1,7,0.9010266968555972
LSPIN,lspin_tf,0.0008,0.0,1,8,0.8868036597467344
LSPIN,lspin_tf,0.0008,0.0,1,9,0.9535350327023806
LSPIN,lspin_tf,0.0008,0.0,2,3,0.9302381178511472
LSPIN,lspin_tf,0.0008,0.0,2,4,0.9542427601141849
LSPIN,lspin_tf,0.0008,0.0,2,5,0.964312497382818
LSPIN,lspin_tf,0.0008,0.0,2,6,0.9306012328787804
LSPIN,lspin_tf,0.0008,0.0,2,7,0.9652465506880554
LSPIN,lspin_tf,0.0008,0.0,2,8,0.952196840878088
LSPIN,lspin_tf,0.0008,0.0,2,9,0.8851574707218233
LSPIN,lspin_tf,0.0008,0.0,3,4,0.927369357152466
LSPIN,lspin_tf,0.0008,0.0,3,5,0.9472232960267724
LSPIN,lspin_tf,0.0008,0.0,3,6,0.9585617588103414
LSPIN,lspin_tf,0.0008,0.0,3,7,0.9281361659877312
LSPIN,lspin_tf,0.0008,0.0,3,8,0.923234413976368
LSPIN,lspin_tf,0.0008,0.0,3,9,0.9541427807422348
LSPIN,lspin_tf,0.0008,0.0,4,5,0.94168082255275
LSPIN,lspin_tf,0.0008,0.0,4,6,0.9237607310025064
LSPIN,lspin_tf,0.0008,0.0,4,7,0.9488314564954724
LSPIN,lspin_tf,0.0008,0.0,4,8,0.9536840855381076
LSPIN,lspin_tf,0.0008,0.0,4,9,0.8935966415978567
LSPIN,lspin_tf,0.0008,0.0,5,6,0.966912756728285
LSPIN,lspin_tf,0.0008,0.0,5,7,0.971397260036493
LSPIN,lspin_tf,0.0008,0.0,5,8,0.961872526492413
LSPIN,lspin_tf,0.0008,0.0,5,9,0.930521049619342
LSPIN,lspin_tf,0.0008,0.0,6,7,0.955655594356743
LSPIN,lspin_tf,0.0008,0.0,6,8,0.9337821509113292
LSPIN,lspin_tf,0.0008,0.0,6,9,0.961948520814884
LSPIN,lspin_tf,0.0008,0.0,7,8,0.9754454059608684
LSPIN,lspin_tf,0.0008,0.0,7,9,0.9061331864561958
LSPIN,lspin_tf,0.0008,0.0,8,9,0.9069016205057042
LSPIN,lspin_tf,0.0015,0.05,0,1,0.9845663205235534
LSPIN,lspin_tf,0.0015,0.05,0,2,0.9363715705958624
LSPIN,lspin_tf,0.0015,0.05,0,3,0.9587556965449108
LSPIN,lspin_tf,0.0015,0.05,0,4,0.9769717649094212
LSPIN,lspin_tf,0.0015,0.05,0,5,0.9915710992627876
LSPIN,lspin_tf,0.0015,0.05,0,6,0.978294945423347
LSPIN,lspin_tf,0.0015,0.05,0,7,0.9921587143940512
LSPIN,lspin_tf,0.0015,0.05,0,8,0.9778260627516336
LSPIN,lspin_tf,0.0015,0.05,0,9,0.9753544721301438
LSPIN,lspin_tf,0.0015,0.05,1,2,0.9465525949043716
LSPIN,lspin_tf,0.0015,0.05,1,3,0.9557742821283112
LSPIN,lspin_tf,0.0015,0.05,1,4,0.9842688147008624
LSPIN,lspin_tf,0.0015,0.05,1,5,0.9873794434201072
LSPIN,lspin_tf,0.0015,0.05,1,6,0.9764990348866276
LSPIN,lspin_tf,0.0015,0.05,1,7,0.9867937164085026
LSPIN,lspin_tf,0.0015,0.05,1,8,0.9740890795383078
LSPIN,lspin_tf,0.0015,0.05,1,9,0.988207366733122
LSPIN,lspin_tf,0.0015,0.05,2,3,0.962138254960702
LSPIN,lspin_tf,0.0015,0.05,2,4,0.9477853397955032
LSPIN,lspin_tf,0.0015,0.05,2,5,0.92198752979083
LSPIN,lspin_tf,0.0015,0.05,2,6,0.9640739342474324
LSPIN,lspin_tf,0.0015,0.05,2,7,0.9446086863490688
LSPIN,lspin_tf,0.0015,0.05,2,8,0.9569948134210432
LSPIN,lspin_tf,0.0015,0.05,2,9,0.943675170681719
LSPIN,lspin_tf,0.0015,0.05,3,4,0.9626338947430718
LSPIN,lspin_tf,0.0015,0.05,3,5,0.955893560409244
LSPIN,lspin_tf,0.0015,0.05,3,6,0.9871879247436308
LSPIN,lspin_tf,0.0015,0.05,3,7,0.9724501509008906
LSPIN,lspin_tf,0.0015,0.05,3,8,0.9854678770883698
LSPIN,lspin_tf,0.0015,0.05,3,9,0.9521097518152858
LSPIN,lspin_tf,0.0015,0.05,4,5,0.9755537264535442
LSPIN,lspin_tf,0.0015,0.05,4,6,0.9703372660732796
LSPIN,lspin_tf,0.0015,0.05,4,7,0.9805518326491098
LSPIN,lspin_tf,0.0015,0.05,4,8,0.9706740843109244
LSPIN,lspin_tf,0.0015,0.05,4,9,0.984845916516258
LSPIN,lspin_tf,0.0015,0.05,5,6,0.9744569434692408
LSPIN,lspin_tf,0.0015,0.05,5,7,0.9922299684233772
LSPIN,lspin_tf,0.0015,0.05,5,8,0.9728642398261051
LSPIN,lspin_tf,0.0015,0.05,5,9,0.9766163214484442
LSPIN,lspin_tf,0.0015,0.05,6,7,0.9868849659219294
LSPIN,lspin_tf,0.0015,0.05,6,8,0.9944167246311992
LSPIN,lspin_tf,0.0015,0.05,6,9,0.963964778472748
LSPIN,lspin_tf,0.0015,0.05,7,8,0.9886694888672916
LSPIN,lspin_tf,0.0015,0.05,7,9,0.9770673607811928
LSPIN,lspin_tf,0.0015,0.05,8,9,0.964216907374916
LSPIN,lspin_tf,0.001,0.05,0,1,0.9624132804205676
LSPIN,lspin_tf,0.001,0.05,0,2,0.9237860257037984
LSPIN,lspin_tf,0.001,0.05,0,3,0.9374348502611376
LSPIN,lspin_tf,0.001,0.05,0,4,0.9848085221160854
LSPIN,lspin_tf,0.001,0.05,0,5,0.9619266624784456
LSPIN,lspin_tf,0.001,0.05,0,6,0.9784478845834028
LSPIN,lspin_tf,0.001,0.05,0,7,0.9437391092655268
LSPIN,lspin_tf,0.001,0.05,0,8,0.9704240088208536
LSPIN,lspin_tf,0.001,0.05,0,9,0.9453689025834578
LSPIN,lspin_tf,0.001,0.05,1,2,0.983140667740432
LSPIN,lspin_tf,0.001,0.05,1,3,0.9646895529660806
LSPIN,lspin_tf,0.001,0.05,1,4,0.9864767593347928
LSPIN,lspin_tf,0.001,0.05,1,5,0.988210743548516
LSPIN,lspin_tf,0.001,0.05,1,6,0.9857392856478756
LSPIN,lspin_tf,0.001,0.05,1,7,0.989809139557828
LSPIN,lspin_tf,0.001,0.05,1,8,0.9953092016676895
LSPIN,lspin_tf,0.001,0.05,1,9,0.9698276924662936
LSPIN,lspin_tf,0.001,0.05,2,3,0.972908409928342
LSPIN,lspin_tf,0.001,0.05,2,4,0.9604212869373688
LSPIN,lspin_tf,0.001,0.05,2,5,0.9679529756131632
LSPIN,lspin_tf,0.001,0.05,2,6,0.9742515934166514
LSPIN,lspin_tf,0.001,0.05,2,7,0.9838008788305492
LSPIN,lspin_tf,0.001,0.05,2,8,0.9796838959742584
LSPIN,lspin_tf,0.001,0.05,2,9,0.9724746716854732
LSPIN,lspin_tf,0.001,0.05,3,4,0.9694067452187948
LSPIN,lspin_tf,0.001,0.05,3,5,0.9627876399160656
LSPIN,lspin_tf,0.001,0.05,3,6,0.9802463863746984
LSPIN,lspin_tf,0.001,0.05,3,7,0.970162114223601
