model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs
Concrete,0.0,0.005,113.47142868041992,15.456038405290926,0.7069402132520943,0.012505351892669369,0.9527011406918893,0.014515579967222188,510.9,328.9,306.0615245736579,10
Concrete,0.0,0.004,164.062548828125,19.394149658637154,0.7028846153846153,0.008564220364759692,0.9735776457635202,0.006602304304375838,687.3,457.1,415.29967567229704,10
Concrete,0.0,0.003,257.36486358642577,54.822701680565,0.7025990099009901,0.01758933460891409,0.9798944180391558,0.009808315999471084,901.2,654.8,584.6081095587822,10
Concrete,0.0,0.0025,332.76564025878906,63.15794313643057,0.7085110434120334,0.020688671249374704,0.98554738636128,0.005283600928934276,1049.1,805.4,710.5090233610019,10
Concrete,0.0,0.002,402.38609924316404,66.64588894571546,0.7122810357958873,0.015934029406635585,0.9882058165781229,0.004089675022072536,1209.3,944.3,836.1657918042741,10
Concrete,0.0,0.0017,571.8050170898438,72.67014107523109,0.694487814166032,0.01574211154712263,0.9920772102555329,0.0012228009482843883,1510.1,1232.1,1088.3587726464375,10
Concrete,0.0,0.0014422495703074,594.2015380859375,57.03449728984047,0.7037604722010663,0.03277454340126465,0.9925607831872278,0.0020443140085750562,1627.1,1323.5,1156.1885688952646,10
Concrete,0.0,0.0012,797.9899658203125,82.13227554762905,0.7048076923076924,0.032486198415993414,0.9949124607577794,0.0007158236610877431,1939.7,1650.9,1438.57035381347,10
Concrete,0.0,0.001,1010.5733703613281,143.11467013538027,0.6615289413556741,0.0745721595640587,0.9959281079119545,0.0009862853744489067,2250.0,1957.2,1713.6863485085917,10
Concrete,0.0,0.00085,1119.5011413574218,321.45472964675827,0.6771753617669459,0.028813384075742705,0.9935878196317749,0.010594658226223361,2412.6,2087.3,1836.160737365152,10
Concrete,0.0,0.0007,1305.0776245117188,158.95017347046203,0.6264232673267327,0.06090642479519308,0.9973788685888195,0.0005146330247411875,2824.4,2452.4,2148.9897563523114,10
Concrete,0.0,0.0006,1418.1606079101562,261.827723927167,0.6386519421172887,0.08564414322730997,0.9970469681880065,0.0016324465927214401,2828.8,2529.2,2230.7420285835115,10
Concrete,0.05,0.003,288.54169921875,64.25927200648619,0.6948686214775324,0.024720128208931814,0.9788234531324344,0.011474080168859634,761.1,618.5,561.1221148228561,10
Concrete,0.05,0.0025,360.7756744384766,79.75164364414496,0.7027037319116527,0.014455763549269819,0.9855826192435568,0.004335166048961793,792.1,711.0,647.9596534163645,10
Concrete,0.05,0.002,532.3115783691406,103.23475337727368,0.689051789794364,0.025009640780337298,0.9915666796232367,0.002269409873135851,1177.7,1034.4,943.4958981324304,10
Concrete,0.05,0.0017,605.4868774414062,76.18006112292406,0.7014280274181265,0.01644019156491618,0.9914464237884115,0.0026614483415729577,1239.1,1134.0,1024.8792904914142,10
Concrete,0.05,0.0014422495703074,748.9671936035156,122.92931654923764,0.6958587204874334,0.01927961987305124,0.9934113760563885,0.0018539599953291293,1439.0,1343.0,1223.1108994224574,10
Concrete,0.05,0.0012,968.8177673339844,185.57585852830852,0.6585634044173648,0.07166867137153451,0.995090664344592,0.00100391058406939,1726.0,1659.5,1510.854455337804,10
Concrete,0.05,0.001,1063.6420837402343,176.87229074738653,0.6700495049504951,0.05443132166497519,0.9955857212202464,0.0016389014748206699,1936.4,1836.9,1655.1572087037305,10
Concrete,0.05,0.00085,1253.280694580078,160.06863694600847,0.6613004569687738,0.07684856032444107,0.9953957187165619,0.0036637339217711696,2165.1,2098.5,1892.7932263987361,10
Concrete,0.1,0.003,260.34092864990237,65.63606192990227,0.7120049504950495,0.013238528379184752,0.9769773150071817,0.007038459317458256,607.0,531.0,486.0789697854125,10
Concrete,0.1,0.0025,334.90424194335935,66.27257908749706,0.6943545316070068,0.024864116142159432,0.9826952318643706,0.003754186504077018,773.6,665.3,609.9542467313252,10
Concrete,0.1,0.002,485.38416748046876,66.77367639787478,0.7045125666412795,0.00844704859815419,0.9880653732184141,0.003994085228502054,974.9,920.6,832.6100148146136,10
Concrete,0.1,0.0017,582.67568359375,84.06779005155555,0.7053217821782178,0.014586505950902967,0.9903194591206997,0.003332823071978641,1118.8,1059.8,969.3357148450066,10
Concrete,0.1,0.0014422495703074,781.8845581054687,130.53875904206078,0.70256092916984,0.01892482343716301,0.9936261100800345,0.0019173624832400332,1416.3,1362.2,1242.5997001884741,10
Concrete,0.1,0.0012,949.1347534179688,105.31524415972193,0.6733910891089109,0.07392616633536225,0.9950747685823673,0.0017835044805904305,1667.1,1620.1,1466.7599509194415,10
Concrete,0.1,0.001,1105.408868408203,132.0450508583917,0.6724009900990099,0.06439589459393141,0.9957901677205433,0.0010562008070712308,1849.3,1818.0,1666.1196180090697,10
Concrete,0.1,0.00085,1393.3764282226562,95.36962218157925,0.5982292460015233,0.07578965836195628,0.9965145879383629,0.0009367343964206692,2297.3,2258.8,2055.00447590754,10
Concrete,0.15,0.003,251.7061782836914,46.97281797568881,0.7103389185072354,0.011710401013419285,0.9784863022498922,0.007428414457605932,531.9,492.8,453.8447372450761,10
Concrete,0.15,0.0025,373.2015411376953,73.57909475783742,0.6919459253617669,0.02749627741640985,0.9860507549083367,0.004148224819418104,897.3,766.3,694.3860585391532,10
