histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.7311827956989247,LSPIN,0.0008,0.0,90123
kidneychromophobe,19,0.5915492957746479,LSPIN,0.0008,0.0,90124
kidneyclearcellrenalcarcinoma,156,0.6498171649817165,LSPIN,0.0008,0.0,90124
kidneypapillaryrenalcellcarcinoma,84,0.7649769585253456,LSPIN,0.0008,0.0,90124
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0008,0.0,90125
kidneyclearcellrenalcarcinoma,156,0.6855237685523768,LSPIN,0.0008,0.0,90125
kidneypapillaryrenalcellcarcinoma,84,0.7465437788018433,LSPIN,0.0008,0.0,90125
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0008,0.0,90126
kidneyclearcellrenalcarcinoma,156,0.702301570230157,LSPIN,0.0008,0.0,90126
kidneypapillaryrenalcellcarcinoma,84,0.7695852534562212,LSPIN,0.0008,0.0,90126
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0008,0.0,90127
kidneyclearcellrenalcarcinoma,156,0.6319638631963863,LSPIN,0.0008,0.0,90127
kidneypapillaryrenalcellcarcinoma,84,0.8018433179723502,LSPIN,0.0008,0.0,90127
kidneychromophobe,19,0.6619718309859155,LSPIN,0.0008,0.0,90128
kidneyclearcellrenalcarcinoma,156,0.6717573671757368,LSPIN,0.0008,0.0,90128
kidneypapillaryrenalcellcarcinoma,84,0.7311827956989247,LSPIN,0.0008,0.0,90128
kidneychromophobe,19,0.647887323943662,LSPIN,0.0008,0.0,90129
kidneyclearcellrenalcarcinoma,156,0.6850935685093569,LSPIN,0.0008,0.0,90129
kidneypapillaryrenalcellcarcinoma,84,0.815668202764977,LSPIN,0.0008,0.0,90129
kidneychromophobe,19,0.676056338028169,LSPIN,0.0008,0.0,90130
kidneyclearcellrenalcarcinoma,156,0.6582060658206066,LSPIN,0.0008,0.0,90130
kidneypapillaryrenalcellcarcinoma,84,0.7019969278033794,LSPIN,0.0008,0.0,90130
kidneychromophobe,19,0.6056338028169014,LSPIN,0.0008,0.0,90131
kidneyclearcellrenalcarcinoma,156,0.6586362658636266,LSPIN,0.0008,0.0,90131
kidneypapillaryrenalcellcarcinoma,84,0.7788018433179723,LSPIN,0.0008,0.0,90131
kidneychromophobe,19,0.7323943661971831,LSPIN,0.0008,0.0,90132
kidneyclearcellrenalcarcinoma,156,0.7171434717143472,LSPIN,0.0008,0.0,90132
kidneypapillaryrenalcellcarcinoma,84,0.8033794162826421,LSPIN,0.0008,0.0,90132
kidneychromophobe,19,0.676056338028169,LSPIN,0.0015,0.05,130123
kidneyclearcellrenalcarcinoma,156,0.6502473650247365,LSPIN,0.0015,0.05,130123
kidneypapillaryrenalcellcarcinoma,84,0.7419354838709677,LSPIN,0.0015,0.05,130123
kidneychromophobe,19,0.7605633802816901,LSPIN,0.0015,0.05,130124
kidneyclearcellrenalcarcinoma,156,0.6913314691331469,LSPIN,0.0015,0.05,130124
kidneypapillaryrenalcellcarcinoma,84,0.6497695852534562,LSPIN,0.0015,0.05,130124
kidneychromophobe,19,0.5352112676056338,LSPIN,0.0015,0.05,130125
kidneyclearcellrenalcarcinoma,156,0.6485265648526565,LSPIN,0.0015,0.05,130125
kidneypapillaryrenalcellcarcinoma,84,0.7511520737327189,LSPIN,0.0015,0.05,130125
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0015,0.05,130126
kidneyclearcellrenalcarcinoma,156,0.6818670681867068,LSPIN,0.0015,0.05,130126
kidneypapillaryrenalcellcarcinoma,84,0.7327188940092166,LSPIN,0.0015,0.05,130126
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0015,0.05,130127
kidneyclearcellrenalcarcinoma,156,0.6420735642073564,LSPIN,0.0015,0.05,130127
kidneypapillaryrenalcellcarcinoma,84,0.7035330261136713,LSPIN,0.0015,0.05,130127
kidneychromophobe,19,0.7464788732394366,LSPIN,0.0015,0.05,130128
kidneyclearcellrenalcarcinoma,156,0.6795009679500968,LSPIN,0.0015,0.05,130128
kidneypapillaryrenalcellcarcinoma,84,0.7726574500768049,LSPIN,0.0015,0.05,130128
kidneychromophobe,19,0.6619718309859155,LSPIN,0.0015,0.05,130129
kidneyclearcellrenalcarcinoma,156,0.6506775650677565,LSPIN,0.0015,0.05,130129
kidneypapillaryrenalcellcarcinoma,84,0.7649769585253456,LSPIN,0.0015,0.05,130129
kidneychromophobe,19,0.6901408450704225,LSPIN,0.0015,0.05,130130
kidneyclearcellrenalcarcinoma,156,0.6898257689825769,LSPIN,0.0015,0.05,130130
kidneypapillaryrenalcellcarcinoma,84,0.7450076804915514,LSPIN,0.0015,0.05,130130
kidneychromophobe,19,0.6338028169014085,LSPIN,0.0015,0.05,130131
kidneyclearcellrenalcarcinoma,156,0.703807270380727,LSPIN,0.0015,0.05,130131
kidneypapillaryrenalcellcarcinoma,84,0.7849462365591398,LSPIN,0.0015,0.05,130131
kidneychromophobe,19,0.676056338028169,LSPIN,0.0015,0.05,130132
kidneyclearcellrenalcarcinoma,156,0.6635835663583567,LSPIN,0.0015,0.05,130132
kidneypapillaryrenalcellcarcinoma,84,0.7619047619047619,LSPIN,0.0015,0.05,130132
kidneychromophobe,19,0.704225352112676,LSPIN,0.001,0.05,170123
kidneyclearcellrenalcarcinoma,156,0.6562701656270166,LSPIN,0.001,0.05,170123
kidneypapillaryrenalcellcarcinoma,84,0.7557603686635944,LSPIN,0.001,0.05,170123
kidneychromophobe,19,0.6901408450704225,LSPIN,0.001,0.05,170124
kidneyclearcellrenalcarcinoma,156,0.6702516670251667,LSPIN,0.001,0.05,170124
kidneypapillaryrenalcellcarcinoma,84,0.837173579109063,LSPIN,0.001,0.05,170124
