family,selection,n_subgroup_rows,own_minus_global_n,own_minus_global_frac_positive,own_minus_global_median,own_minus_global_wilcoxon_p_greater,own_minus_foreign_n,own_minus_foreign_frac_positive,own_minus_foreign_median,own_minus_foreign_wilcoxon_p_greater,own_minus_random_n,own_minus_random_frac_positive,own_minus_random_median,own_minus_random_wilcoxon_p_greater
Concrete,smooth,16,16,0.4375,-0.021133639579703267,0.7834014892578125,16,0.4375,-0.010646517451419868,0.8258056640625,16,0.5625,0.0020521374779963186,0.5895538330078125
LSPIN,smooth,20,20,0.55,0.005694684449528642,0.4519538162583623,20,0.35,-0.05589860335336211,0.9384536743164062,20,0.45,-0.007986841011389467,0.5652561187744141
