family,selection,n_genes,fraction_within_gt_outside,median_within_minus_outside,wilcoxon_stat,wilcoxon_p_greater
Concrete,nosmooth,2938,0.48127978216473793,-0.038896795294239964,2006520.0,0.9995324881796132
Concrete,smooth,2847,0.48893572181243417,-0.018828974199782023,1954105.0,0.9518750710400259
L-Concrete,nosmooth,2919,0.4686536485097636,-0.08227230261562679,1964810.0,0.9998671543523515
L-Concrete,smooth,1497,0.47762191048764197,-0.0531994941742176,541547.0,0.8729675891925006
L-LSPIN,nosmooth,2034,0.4960668633235005,-0.012610809171905175,1020233.0,0.7087695232782448
L-LSPIN,smooth,1194,0.602177554438861,0.22876416965423746,465225.0,4.2873571015337616e-20
LSPIN,nosmooth,2421,0.5621643948781495,0.13845844823798314,1694815.0,1.4223106728570517e-11
LSPIN,smooth,868,0.6324884792626728,0.3119387134619304,256166.0,2.8933556155018285e-20
