model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
Concrete,0.0,0.0066,0.5732576300826169,2.4710524421408775,0.33531475010823314,2.5438127632005183,0.34876419159256766,56,78.83520889282227
Concrete,0.0,0.0055,0.5522505796649496,2.389896699420509,0.3213735611140307,2.4668547313105136,0.3364843232361447,56,98.1430869102478
Concrete,0.0,0.0044,0.6292046544114116,2.6417593492423426,0.3669950103072959,2.6725425619983443,0.375028815154037,56,126.00623035430908
Concrete,0.0,0.0033,0.6517140455890872,2.7103219594716195,0.3800317314795555,2.658550192563798,0.3707264205325897,56,190.42725086212158
Concrete,0.0,0.00275,0.6875815630706433,2.678139509772163,0.37343310826961196,2.80407083468308,0.39833340138477863,56,233.16338443756104
Concrete,0.0,0.0022,0.7174805726458017,2.8950212360076306,0.4168151755985415,2.932800633480906,0.4259996817364783,56,311.8420400619507
Concrete,0.0,0.00165,0.7490641106625796,3.0419411150703666,0.447148598030415,3.0545342475614587,0.45024623913638323,56,447.5184860229492
Concrete,0.0,0.0011,0.8010667778281668,3.205651837454559,0.4835007574968313,3.363765612064932,0.5198209785454658,56,641.5948505401611
Concrete,0.1,0.0066,0.5241227309490663,2.46265702048015,0.3349220828220294,2.2037981859410434,0.2890330634773984,56,95.46623706817627
Concrete,0.1,0.0055,0.5222656978312806,2.252771478961955,0.29746420403561735,2.2779577439441385,0.3016121753602015,56,114.40273332595825
Concrete,0.1,0.0044,0.595185301439087,2.6263677428643417,0.36395535649097355,2.469653205197423,0.33605417889579714,56,164.44353008270264
Concrete,0.1,0.0033,0.6653412400733295,2.666945614224526,0.3716834416804508,2.8544433646474467,0.4083166792928049,56,240.6376609802246
Concrete,0.1,0.00275,0.6831299496291593,2.6893334053198,0.37710695857848014,2.9034166576683584,0.4183560724346062,56,304.30707359313965
Concrete,0.1,0.0022,0.7009326768131209,2.805470071626534,0.39936629904999404,2.878230392686175,0.4133192553503244,56,415.44192123413086
Concrete,0.1,0.00165,0.7294173014114745,2.932800633480906,0.4252380622988098,2.882428103516539,0.41448371871670636,56,582.3484687805176
Concrete,0.1,0.0011,0.7850022862680249,3.0419411150703666,0.4468492053868163,3.2742144476838355,0.49776671556095897,56,1002.6463088989258
Concrete,0.2,0.0066,0.49825146052367336,2.2625661375661377,0.2994617669204178,2.307341719756686,0.306829232267125,56,106.3374195098877
Concrete,0.2,0.0055,0.48658063869767926,2.16042184069395,0.2818438366489632,2.205197422884498,0.289314408861328,56,121.90815877914429
Concrete,0.2,0.0044,0.5677664443302379,2.424877623006875,0.3276095549105628,2.4262768599503297,0.3281802847245908,56,166.18509006500244
Concrete,0.2,0.0033,0.6604461630339967,2.7005273008674373,0.37869908056110485,2.767690674153259,0.39212709744714447,56,242.43971347808838
Concrete,0.2,0.00275,0.653621171944305,2.7634929633228955,0.3900096183477221,2.795675413022352,0.39654403116050746,56,318.36937522888184
Concrete,0.2,0.0022,0.7026564535026459,2.9635838462369075,0.4304404259528418,2.791477702191988,0.39655017824967026,56,423.00764083862305
Concrete,0.2,0.00165,0.7368464789247977,2.97337850484109,0.432274223060546,3.057332721448368,0.45037679842842177,56,594.6953392028809
Concrete,0.2,0.0011,0.8124461081658868,3.2686174999100173,0.49649583350816456,3.2686174999100173,0.49622929782755615,56,1013.543212890625
Concrete,0.4,0.0066,0.42360515765304557,2.0806653349170356,0.2681836914791062,1.954734010006119,0.2483613982047345,56,96.36133527755737
