model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi
Concrete,0.0,0.0066,78.83520889282227,8.98089576286894,0.5886466011466012,0.03114344529595112,0.9062000905146894,0.015520921246674329,4910.6875,315.1875,1442.0181667556103,16,0.8467546051567314,0.5732576300826169,2.4710524421408775,0.5723552954652105,0.5513030205117366
Concrete,0.0,0.0055,98.1430869102478,12.33415123717933,0.5911752661752662,0.03571939786703428,0.924634882597187,0.012501525892835598,5424.0625,407.3125,1605.1015584046743,16,0.860946307845601,0.5522505796649496,2.389896699420509,0.45546750462845803,0.49735057575355707
Concrete,0.0,0.0044,126.00623035430908,15.57373208022053,0.5909602784602784,0.036322501654613974,0.93949314862309,0.008104418873862096,6268.8125,548.5,1932.461871038569,16,0.8865065923998869,0.6292046544114116,2.6417593492423426,0.5092851527235752,0.5465120045130749
Concrete,0.0,0.0033,190.42725086212158,40.284327987057495,0.6211711711711712,0.034779497628828676,0.955270506691383,0.008979292973444051,7500.9375,845.875,2296.6520759494488,16,0.8770927783585837,0.6517140455890872,2.7103219594716195,0.46584255266213204,0.49789057715641444
Concrete,0.0,0.00275,233.16338443756104,40.420899896334504,0.6036957411957412,0.0238968641308051,0.9583596985664172,0.010756871256161456,8398.0,1056.0,2614.9450923141776,16,0.8927045382475683,0.6875815630706433,2.678139509772163,0.5407887642467075,0.5528190735679416
Concrete,0.0,0.0022,311.8420400619507,46.674296420678935,0.6203214578214579,0.022840538922066063,0.9720357488488591,0.006284516275814529,9627.375,1505.0,3312.430580476129,16,0.8970317457190042,0.7174805726458017,2.8950212360076306,0.5345855900603625,0.5497882718708395
Concrete,0.0,0.00165,447.5184860229492,89.28225455328689,0.6246416871416871,0.028511830785529657,0.9796876800938223,0.004811207674755917,11073.75,2176.8125,3922.55036061764,16,0.9188243816287629,0.7490641106625796,3.0419411150703666,0.5740450981437294,0.5776842006200161
Concrete,0.0,0.0011,641.5948505401611,130.42855486587027,0.6177006552006552,0.025748529135998042,0.9861166506955946,0.004032368495202033,12928.8125,3132.1875,4887.713206403147,16,0.9106637913283663,0.8010667778281668,3.205651837454559,0.5796587742074967,0.5609151921983835
Concrete,0.1,0.0066,95.46623706817627,18.420280879818154,0.5773546273546274,0.04787422333573912,0.8588459248020311,0.021659155171349705,4695.8125,151.0625,496.7827625674586,16,0.9016996740181208,0.5241227309490663,2.46265702048015,0.7952142920352816,0.7058515592288784
Concrete,0.1,0.0055,114.40273332595825,18.055850378404845,0.5957719082719083,0.04111574309864133,0.8852684410165362,0.019874790628902524,4248.125,193.125,436.66314082841006,16,0.8694047062324535,0.5222656978312806,2.252771478961955,0.6304976422579011,0.6047470161359055
Concrete,0.1,0.0044,164.44353008270264,22.989413817470066,0.5986895986895987,0.028098039021803727,0.9126456869967443,0.01931900757270229,4857.75,277.875,515.4789578175526,16,0.9010987820347225,0.595185301439087,2.6263677428643417,0.649017893111071,0.6298093149689119
Concrete,0.1,0.0033,240.6376609802246,18.031649587375437,0.613585176085176,0.027686877584807493,0.9341305259869604,0.006264710770875015,5309.75,385.6875,573.0793175182448,16,0.9125575663555731,0.6653412400733295,2.666945614224526,0.6971699355118807,0.6623524366254081
Concrete,0.1,0.00275,304.30707359313965,32.548855476416,0.6026822276822277,0.03500696669076327,0.9447306645128035,0.00956472184114799,4407.75,510.4375,600.4762071648803,16,0.9014839430866718,0.6831299496291593,2.6893334053198,0.6607029705435553,0.6198547926395973
Concrete,0.1,0.0022,415.44192123413086,35.83751600616868,0.6143427518427518,0.029186166037186607,0.9591351187786927,0.005313921800380289,5263.75,686.4375,777.0391558136965,16,0.8781904960836153,0.7009326768131209,2.805470071626534,0.6457406484069868,0.59932857717763
Concrete,0.1,0.00165,582.3484687805176,43.60995201949136,0.6186015561015561,0.020438424844211985,0.9696162981052491,0.005046174167514945,4963.25,905.625,928.9099621086632,16,0.9094182977294951,0.7294173014114745,2.932800633480906,0.7117761048943473,0.6566500185772112
Concrete,0.1,0.0011,1002.6463088989258,72.65634895228713,0.6169226044226044,0.020336014627971445,0.9820820519688077,0.00334892512724725,5700.0625,1626.875,1521.2920563802168,16,0.9114968312661204,0.7850022862680249,3.0419411150703666,0.661849911030794,0.6425071933507446
Concrete,0.2,0.0066,106.3374195098877,19.182034629429417,0.5843366093366094,0.040034756102014527,0.8589778483807742,0.028578687666302702,3923.9375,151.0625,376.29823924157324,16,0.8943350073380615,0.49825146052367336,2.2625661375661377,0.6847375314184976,0.6405436988480453
Concrete,0.2,0.0055,121.90815877914429,18.07849850304208,0.5871212121212122,0.03036850177622989,0.8816343303618339,0.018270826772710653,4046.5,173.9375,372.956788073287,16,0.8785230674466747,0.48658063869767926,2.16042184069395,0.6954337387004869,0.6419173646172425
Concrete,0.2,0.0044,166.18509006500244,24.856748187119376,0.6024979524979525,0.03165606446385639,0.9053858049112479,0.021768485556306724,4491.3125,244.8125,443.9884386226023,16,0.8884905486470768,0.5677664443302379,2.424877623006875,0.7407271925498241,0.6761755977044911
Concrete,0.2,0.0033,242.43971347808838,24.635357653434145,0.6079954954954955,0.027141195753223123,0.9349919727847772,0.011216511808045159,4405.1875,369.5625,490.21354105569293,16,0.9092093697632082,0.6604461630339967,2.7005273008674373,0.6871947042867277,0.6462994477614161
Concrete,0.2,0.00275,318.36937522888184,32.027340248529164,0.6152231777231777,0.028559626426096805,0.9484282002166805,0.011532605327896522,4184.375,492.75,572.3478075068754,16,0.9072580957442872,0.653621171944305,2.7634929633228955,0.6859636505056866,0.6362144406426491
Concrete,0.2,0.0022,423.00764083862305,47.0412992429177,0.607022932022932,0.02858857242546624,0.9595111127608666,0.010411101323901401,4364.375,689.75,737.6151848050929,16,0.9083679547142376,0.7026564535026459,2.9635838462369075,0.7127517379478611,0.66385741765828
Concrete,0.2,0.00165,594.6953392028809,57.818765458726695,0.6269963144963145,0.021888116747800158,0.9691132547991552,0.0054635407294545465,4830.5,909.8125,922.8351265747924,16,0.9246804850155703,0.7368464789247977,2.97337850484109,0.6943531026390237,0.6542687432267045
Concrete,0.2,0.0011,1013.543212890625,83.04792446011366,0.6244369369369369,0.020079363089992218,0.9824463763299665,0.0037502915556099346,5584.25,1700.0,1566.7500492880786,16,0.9541707768683148,0.8124461081658868,3.2686174999100173,0.7299000891093168,0.6969366798405885
Concrete,0.4,0.0066,96.36133527755737,13.773784547445974,0.5815110565110565,0.03655863460322596,0.8485308151417819,0.027615562420366845,3063.375,129.0,276.098318625814,16,0.8923964977002468,0.42360515765304557,2.0806653349170356,0.6886939523973973,0.6461356357319177
Concrete,0.4,0.0055,135.35088396072388,16.61281882006651,0.5774979524979524,0.032489071895647134,0.8824535016264173,0.014373964433763209,4189.0,177.875,348.9949078045543,16,0.9293084829803773,0.5152917938717946,2.3087409567001407,0.7351087291410641,0.7029008285347124
Concrete,0.4,0.0044,174.38203477859497,21.127627556307427,0.5993959868959868,0.03963588147735749,0.912677488494633,0.018320434265133422,4196.9375,259.25,415.9487489191131,16,0.9220136211184989,0.5917515908192984,2.658550192563798,0.7844379155149853,0.7135467506844247
Concrete,0.4,0.0033,251.04743194580078,21.478148963249943,0.6022829647829648,0.029967072838976302,0.9357172810737475,0.008484544097329029,4624.75,359.1875,487.51787080262807,16,0.9123305866314935,0.6027841827021275,2.485044811575424,0.7387875217312002,0.682406814150469
Concrete,0.4,0.00275,330.74437141418457,42.71327483539614,0.6072072072072072,0.031117777774500862,0.9509188717666603,0.010672886296666077,4662.125,514.0625,623.7590539646036,16,0.8787527017221642,0.6444800734126873,2.669744088111435,0.67845243906908,0.6305671063202521
Concrete,0.4,0.0022,416.13464736938477,41.27126711330455,0.6292690417690417,0.02863788543678886,0.9571096872789113,0.009932343296197238,4693.0,635.9375,710.9198248552626,16,0.8808861544036072,0.703573007859937,2.8348540474390815,0.7270168288878944,0.6572575675579987
Concrete,0.4,0.00165,629.8084831237793,48.54975924248963,0.6161855036855037,0.020581212473483934,0.9733057336809625,0.005344697173008323,4842.0,1030.75,1008.2018392271846,16,0.9290147569174503,0.7113188264677556,2.82226091494799,0.6597176157724005,0.6448084734134117
Concrete,0.4,0.0011,958.1868934631348,71.92985375434577,0.6228603603603604,0.0230033576155068,0.9801925024758638,0.00331707650646828,5112.5,1535.9375,1436.0360518956954,16,0.906547706617647,0.7958113807746773,3.1846632833027395,0.7595827124303511,0.7007330620692954
L-Concrete,0.0,0.0066,76.3112940788269,10.303271435543738,0.6026208026208026,0.0299114826850275,0.8946409635827686,0.013245506628086498,4454.4375,330.375,1631.336976517236,16,0.8058837676774351,0.7155130740395074,3.058731958391822,0.5516261901678152,0.5200192280507931
L-Concrete,0.0,0.0055,86.05868101119995,13.868450191322195,0.6025389025389025,0.02109434086360577,0.9128439208747239,0.014255639078173395,4545.1875,388.8125,1666.72406402032,16,0.8174214707951416,0.7407553716644714,3.155279307490192,0.5444067237908385,0.5290264780561608
L-Concrete,0.0,0.0044,113.98472619056702,32.65112556179959,0.5990990990990991,0.03192812131887567,0.9269213408053512,0.014907156261796428,5055.25,535.875,1802.9458068624826,16,0.8211099252904249,0.7395451180386893,3.027948745635821,0.527623914355285,0.5328554006212579
L-Concrete,0.0,0.0033,176.18609285354614,37.40031885472499,0.6107289107289108,0.03351059391127951,0.9438105321786384,0.011748225832744975,6254.8125,798.625,2017.6271474093737,16,0.8673689232684743,0.7594617343643238,3.2994007126660185,0.4810895601459241,0.5122661093939099
L-Concrete,0.0,0.00275,195.69955825805664,46.18488581862307,0.6149570024570025,0.02690332921874211,0.9489730286067515,0.012554833443940629,6212.8125,904.9375,2003.21749374999,16,0.8556758118202168,0.7774114124602514,3.166473203037829,0.48329424931598136,0.5170780281600794
L-Concrete,0.0,0.0022,244.89831161499023,60.07822696357193,0.6225839475839476,0.027556483117712333,0.9577956716820631,0.00879714209771347,6755.25,1110.5625,2166.8918792596655,16,0.8788093289438874,0.7859219629093117,3.2140472591152864,0.47417261413116873,0.49547019149467747
L-Concrete,0.0,0.00165,310.57275390625,65.09155355465188,0.6369881244881245,0.0202502955600907,0.9647853374373633,0.006177937080975045,7058.0625,1340.625,2170.967559670312,16,0.9008978175925366,0.7879845560885081,3.2770129215707446,0.5110902692025286,0.5151615498561792
L-Concrete,0.0,0.0011,561.2087993621826,138.21025896053507,0.6333128583128583,0.020302929538258352,0.9758504016424481,0.005909329064319011,8639.8125,2237.0,2784.2994289472267,16,0.9005807653942313,0.8126066514352867,3.4295297484072997,0.4670757813103782,0.4777102233237659
L-Concrete,0.1,0.0066,138.72447729110718,21.216529601602833,0.619441031941032,0.023541430260708925,0.8687572527435068,0.02085047777070478,2561.1875,203.375,270.7138494013352,16,0.8924422871394667,0.6277305643909096,2.548010474030882,0.7012800217907429,0.6614231535645795
L-Concrete,0.1,0.0055,239.17102146148682,29.72983896409527,0.6327805077805078,0.02239173801573612,0.9147166615688396,0.012043013958038305,3244.9375,321.625,385.39907461422666,16,0.903649890540782,0.6768962113471553,2.829257099665263,0.7259920421881295,0.7001555489563519
L-Concrete,0.1,0.0044,392.3896656036377,35.89240984984744,0.6278153153153153,0.02454789931103307,0.9409462524366714,0.007728827045044747,3305.6875,498.875,540.5320450336308,16,0.890350316880097,0.7117363175541376,2.792876939135443,0.7560265222721146,0.6953626546199351
L-Concrete,0.1,0.0033,660.6354522705078,44.42801143966356,0.6261466011466011,0.014205529266729976,0.9633911198435536,0.006005541799156287,3177.8125,814.75,818.302554014915,16,0.8834258464958559,0.7748081550042196,2.9509907137458162,0.6865139895876771,0.6815816753467651
L-Concrete,0.1,0.00275,891.2504005432129,85.9667988332227,0.6318181818181818,0.018007839678436055,0.9737806061502502,0.0054239127020465445,3230.5625,1080.4375,1064.2140732285516,16,0.9075190037426698,0.7920133064737307,3.075522801713278,0.7306841628187025,0.7166943444440422
L-Concrete,0.1,0.0022,1232.676254272461,104.5824074312483,0.6532350532350533,0.01888931481817356,0.9803849609456183,0.0023452538564466383,3124.625,1481.0,1417.6893634990513,16,0.9427287962263525,0.8244564267364496,3.2686174999100173,0.6896330067779761,0.694956541779365
L-Concrete,0.1,0.00165,1990.5944442749023,237.71316372288138,0.6451781326781327,0.017677998770264377,0.9877414424932226,0.0026486193421203868,3554.375,2330.0625,2214.1076609894976,16,0.9351196557734726,0.8533323188414285,3.4491190656156645,0.7472065807565158,0.7258838044523329
L-Concrete,0.1,0.0011,3355.421829223633,224.75894992087515,0.6542383292383293,0.016150272524027093,0.9937666673581005,0.0011396202208386896,5217.375,3933.75,3696.2921154807677,16,0.9738702254489224,0.8800157828932542,3.5288755713925783,0.768183089729282,0.7476755526443551
L-Concrete,0.2,0.0066,212.81832885742188,21.903229585358453,0.6176187551187551,0.032415660294794445,0.9093634646404504,0.011778877039450032,2608.5,265.3125,318.82463546642896,16,0.8732536544499975,0.6382426674123548,2.654352481733434,0.8123714413487749,0.7355574840080246
L-Concrete,0.2,0.0055,298.0227117538452,38.281546242718804,0.6279176904176904,0.019591482800505766,0.9280237143405691,0.00918619293692673,2796.625,360.6875,410.6455327977248,16,0.8465439752284302,0.665829513141123,2.7508998308318033,0.7419833646994245,0.6908802453474857
L-Concrete,0.2,0.0044,470.00904083251953,38.640376220893316,0.6147317772317772,0.02812542898185234,0.9545385763274318,0.006701960256950706,2818.4375,565.0625,593.459821760115,16,0.9174203102484778,0.7171969550540211,2.9314013965374515,0.851927598449396,0.7682485703667167
