histology,n_test,cindex,global_cfg_idx,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6363338788870704,225,L-Concrete,linear,0.0011,0.0,2250129
infiltratinglobularcarcinoma,60,0.6084656084656085,225,L-Concrete,linear,0.0011,0.0,2250129
other,23,0.6756756756756757,225,L-Concrete,linear,0.0011,0.0,2250129
infiltratingductalcarcinoma,220,0.6268412438625205,225,L-Concrete,linear,0.0011,0.0,2250130
infiltratinglobularcarcinoma,60,0.5714285714285714,225,L-Concrete,linear,0.0011,0.0,2250130
other,23,0.6216216216216216,225,L-Concrete,linear,0.0011,0.0,2250130
infiltratingductalcarcinoma,220,0.5721767594108019,229,L-Concrete,linear,0.0033,0.0,2290123
infiltratinglobularcarcinoma,60,0.6243386243386243,229,L-Concrete,linear,0.0033,0.0,2290123
other,23,0.5405405405405406,229,L-Concrete,linear,0.0033,0.0,2290123
infiltratingductalcarcinoma,220,0.5509001636661212,229,L-Concrete,linear,0.0033,0.0,2290124
infiltratinglobularcarcinoma,60,0.5132275132275133,229,L-Concrete,linear,0.0033,0.0,2290124
other,23,0.4594594594594595,229,L-Concrete,linear,0.0033,0.0,2290124
infiltratingductalcarcinoma,220,0.6654664484451719,229,L-Concrete,linear,0.0033,0.0,2290125
infiltratinglobularcarcinoma,60,0.7142857142857143,229,L-Concrete,linear,0.0033,0.0,2290125
other,23,0.5945945945945946,229,L-Concrete,linear,0.0033,0.0,2290125
infiltratingductalcarcinoma,220,0.6602291325695581,229,L-Concrete,linear,0.0033,0.0,2290126
infiltratinglobularcarcinoma,60,0.6137566137566137,229,L-Concrete,linear,0.0033,0.0,2290126
other,23,0.5135135135135135,229,L-Concrete,linear,0.0033,0.0,2290126
infiltratingductalcarcinoma,220,0.6150572831423895,229,L-Concrete,linear,0.0033,0.0,2290127
infiltratinglobularcarcinoma,60,0.5555555555555556,229,L-Concrete,linear,0.0033,0.0,2290127
other,23,0.5675675675675675,229,L-Concrete,linear,0.0033,0.0,2290127
infiltratingductalcarcinoma,220,0.6006546644844517,229,L-Concrete,linear,0.0033,0.0,2290128
infiltratinglobularcarcinoma,60,0.6402116402116402,229,L-Concrete,linear,0.0033,0.0,2290128
other,23,0.5675675675675675,229,L-Concrete,linear,0.0033,0.0,2290128
infiltratingductalcarcinoma,220,0.5921440261865794,229,L-Concrete,linear,0.0033,0.0,2290129
infiltratinglobularcarcinoma,60,0.6190476190476191,229,L-Concrete,linear,0.0033,0.0,2290129
other,23,0.5405405405405406,229,L-Concrete,linear,0.0033,0.0,2290129
infiltratingductalcarcinoma,220,0.6500818330605564,229,L-Concrete,linear,0.0033,0.0,2290130
infiltratinglobularcarcinoma,60,0.6349206349206349,229,L-Concrete,linear,0.0033,0.0,2290130
other,23,0.4864864864864865,229,L-Concrete,linear,0.0033,0.0,2290130
infiltratingductalcarcinoma,220,0.6687397708674304,233,L-Concrete,linear,0.0011,0.1,2330123
infiltratinglobularcarcinoma,60,0.6137566137566137,233,L-Concrete,linear,0.0011,0.1,2330123
other,23,0.5405405405405406,233,L-Concrete,linear,0.0011,0.1,2330123
infiltratingductalcarcinoma,220,0.6536824877250409,233,L-Concrete,linear,0.0011,0.1,2330124
infiltratinglobularcarcinoma,60,0.656084656084656,233,L-Concrete,linear,0.0011,0.1,2330124
other,23,0.5135135135135135,233,L-Concrete,linear,0.0011,0.1,2330124
infiltratingductalcarcinoma,220,0.6903436988543371,233,L-Concrete,linear,0.0011,0.1,2330125
infiltratinglobularcarcinoma,60,0.5978835978835979,233,L-Concrete,linear,0.0011,0.1,2330125
other,23,0.5675675675675675,233,L-Concrete,linear,0.0011,0.1,2330125
infiltratingductalcarcinoma,220,0.7014729950900164,233,L-Concrete,linear,0.0011,0.1,2330126
infiltratinglobularcarcinoma,60,0.6031746031746031,233,L-Concrete,linear,0.0011,0.1,2330126
other,23,0.5675675675675675,233,L-Concrete,linear,0.0011,0.1,2330126
infiltratingductalcarcinoma,220,0.6461538461538462,233,L-Concrete,linear,0.0011,0.1,2330127
infiltratinglobularcarcinoma,60,0.6666666666666666,233,L-Concrete,linear,0.0011,0.1,2330127
other,23,0.5675675675675675,233,L-Concrete,linear,0.0011,0.1,2330127
infiltratingductalcarcinoma,220,0.6913256955810148,233,L-Concrete,linear,0.0011,0.1,2330128
infiltratinglobularcarcinoma,60,0.6137566137566137,233,L-Concrete,linear,0.0011,0.1,2330128
other,23,0.5675675675675675,233,L-Concrete,linear,0.0011,0.1,2330128
infiltratingductalcarcinoma,220,0.6697217675941081,233,L-Concrete,linear,0.0011,0.1,2330129
infiltratinglobularcarcinoma,60,0.5555555555555556,233,L-Concrete,linear,0.0011,0.1,2330129
other,23,0.5405405405405406,233,L-Concrete,linear,0.0011,0.1,2330129
infiltratingductalcarcinoma,220,0.6576104746317513,233,L-Concrete,linear,0.0011,0.1,2330130
infiltratinglobularcarcinoma,60,0.6296296296296297,233,L-Concrete,linear,0.0011,0.1,2330130
other,23,0.5675675675675675,233,L-Concrete,linear,0.0011,0.1,2330130
infiltratingductalcarcinoma,220,0.6310965630114567,237,L-Concrete,linear,0.0033,0.1,2370123
infiltratinglobularcarcinoma,60,0.5502645502645502,237,L-Concrete,linear,0.0033,0.1,2370123
other,23,0.5945945945945946,237,L-Concrete,linear,0.0033,0.1,2370123
infiltratingductalcarcinoma,220,0.6058919803600654,237,L-Concrete,linear,0.0033,0.1,2370124
infiltratinglobularcarcinoma,60,0.7142857142857143,237,L-Concrete,linear,0.0033,0.1,2370124
other,23,0.4594594594594595,237,L-Concrete,linear,0.0033,0.1,2370124
infiltratingductalcarcinoma,220,0.6199672667757774,237,L-Concrete,linear,0.0033,0.1,2370125
infiltratinglobularcarcinoma,60,0.6296296296296297,237,L-Concrete,linear,0.0033,0.1,2370125
other,23,0.5675675675675675,237,L-Concrete,linear,0.0033,0.1,2370125
infiltratingductalcarcinoma,220,0.6445171849427168,237,L-Concrete,linear,0.0033,0.1,2370126
infiltratinglobularcarcinoma,60,0.4973544973544973,237,L-Concrete,linear,0.0033,0.1,2370126
other,23,0.5135135135135135,237,L-Concrete,linear,0.0033,0.1,2370126
infiltratingductalcarcinoma,220,0.6330605564648117,237,L-Concrete,linear,0.0033,0.1,2370127
infiltratinglobularcarcinoma,60,0.5714285714285714,237,L-Concrete,linear,0.0033,0.1,2370127
other,23,0.5675675675675675,237,L-Concrete,linear,0.0033,0.1,2370127
infiltratingductalcarcinoma,220,0.5905073649754501,237,L-Concrete,linear,0.0033,0.1,2370128
infiltratinglobularcarcinoma,60,0.6613756613756614,237,L-Concrete,linear,0.0033,0.1,2370128
other,23,0.5945945945945946,237,L-Concrete,linear,0.0033,0.1,2370128
infiltratingductalcarcinoma,220,0.648772504091653,237,L-Concrete,linear,0.0033,0.1,2370129
infiltratinglobularcarcinoma,60,0.6931216931216931,237,L-Concrete,linear,0.0033,0.1,2370129
other,23,0.4594594594594595,237,L-Concrete,linear,0.0033,0.1,2370129
infiltratingductalcarcinoma,220,0.6202945990180033,237,L-Concrete,linear,0.0033,0.1,2370130
infiltratinglobularcarcinoma,60,0.4867724867724867,237,L-Concrete,linear,0.0033,0.1,2370130
other,23,0.6216216216216216,237,L-Concrete,linear,0.0033,0.1,2370130
infiltratingductalcarcinoma,220,0.6461538461538462,241,L-Concrete,linear,0.0011,0.2,2410123
infiltratinglobularcarcinoma,60,0.7037037037037037,241,L-Concrete,linear,0.0011,0.2,2410123
other,23,0.4864864864864865,241,L-Concrete,linear,0.0011,0.2,2410123
infiltratingductalcarcinoma,220,0.678887070376432,241,L-Concrete,linear,0.0011,0.2,2410124
infiltratinglobularcarcinoma,60,0.5132275132275133,241,L-Concrete,linear,0.0011,0.2,2410124
other,23,0.5135135135135135,241,L-Concrete,linear,0.0011,0.2,2410124
infiltratingductalcarcinoma,220,0.6903436988543371,241,L-Concrete,linear,0.0011,0.2,2410125
infiltratinglobularcarcinoma,60,0.6243386243386243,241,L-Concrete,linear,0.0011,0.2,2410125
other,23,0.5405405405405406,241,L-Concrete,linear,0.0011,0.2,2410125
infiltratingductalcarcinoma,220,0.7004909983633388,241,L-Concrete,linear,0.0011,0.2,2410126
infiltratinglobularcarcinoma,60,0.455026455026455,241,L-Concrete,linear,0.0011,0.2,2410126
other,23,0.4864864864864865,241,L-Concrete,linear,0.0011,0.2,2410126
infiltratingductalcarcinoma,220,0.6893617021276596,241,L-Concrete,linear,0.0011,0.2,2410127
infiltratinglobularcarcinoma,60,0.5873015873015873,241,L-Concrete,linear,0.0011,0.2,2410127
other,23,0.5405405405405406,241,L-Concrete,linear,0.0011,0.2,2410127
infiltratingductalcarcinoma,220,0.697545008183306,241,L-Concrete,linear,0.0011,0.2,2410128
infiltratinglobularcarcinoma,60,0.6349206349206349,241,L-Concrete,linear,0.0011,0.2,2410128
other,23,0.5675675675675675,241,L-Concrete,linear,0.0011,0.2,2410128
infiltratingductalcarcinoma,220,0.6415711947626841,241,L-Concrete,linear,0.0011,0.2,2410129
infiltratinglobularcarcinoma,60,0.582010582010582,241,L-Concrete,linear,0.0011,0.2,2410129
other,23,0.5675675675675675,241,L-Concrete,linear,0.0011,0.2,2410129
infiltratingductalcarcinoma,220,0.7181669394435352,241,L-Concrete,linear,0.0011,0.2,2410130
infiltratinglobularcarcinoma,60,0.6031746031746031,241,L-Concrete,linear,0.0011,0.2,2410130
other,23,0.5945945945945946,241,L-Concrete,linear,0.0011,0.2,2410130
infiltratingductalcarcinoma,220,0.681505728314239,245,L-Concrete,linear,0.0033,0.2,2450123
infiltratinglobularcarcinoma,60,0.5396825396825397,245,L-Concrete,linear,0.0033,0.2,2450123
other,23,0.5675675675675675,245,L-Concrete,linear,0.0033,0.2,2450123
infiltratingductalcarcinoma,220,0.6333878887070377,245,L-Concrete,linear,0.0033,0.2,2450124
infiltratinglobularcarcinoma,60,0.5925925925925926,245,L-Concrete,linear,0.0033,0.2,2450124
other,23,0.4864864864864865,245,L-Concrete,linear,0.0033,0.2,2450124
infiltratingductalcarcinoma,220,0.616366612111293,245,L-Concrete,linear,0.0033,0.2,2450125
infiltratinglobularcarcinoma,60,0.4444444444444444,245,L-Concrete,linear,0.0033,0.2,2450125
other,23,0.4864864864864865,245,L-Concrete,linear,0.0033,0.2,2450125
infiltratingductalcarcinoma,220,0.6497545008183306,245,L-Concrete,linear,0.0033,0.2,2450126
infiltratinglobularcarcinoma,60,0.6296296296296297,245,L-Concrete,linear,0.0033,0.2,2450126
other,23,0.5405405405405406,245,L-Concrete,linear,0.0033,0.2,2450126
infiltratingductalcarcinoma,220,0.6072013093289689,245,L-Concrete,linear,0.0033,0.2,2450127
infiltratinglobularcarcinoma,60,0.4074074074074074,245,L-Concrete,linear,0.0033,0.2,2450127
other,23,0.5135135135135135,245,L-Concrete,linear,0.0033,0.2,2450127
infiltratingductalcarcinoma,220,0.6448445171849427,245,L-Concrete,linear,0.0033,0.2,2450128
infiltratinglobularcarcinoma,60,0.5661375661375662,245,L-Concrete,linear,0.0033,0.2,2450128
other,23,0.7027027027027027,245,L-Concrete,linear,0.0033,0.2,2450128
infiltratingductalcarcinoma,220,0.6366612111292962,245,L-Concrete,linear,0.0033,0.2,2450129
infiltratinglobularcarcinoma,60,0.6349206349206349,245,L-Concrete,linear,0.0033,0.2,2450129
other,23,0.5675675675675675,245,L-Concrete,linear,0.0033,0.2,2450129
infiltratingductalcarcinoma,220,0.6566284779050736,245,L-Concrete,linear,0.0033,0.2,2450130
infiltratinglobularcarcinoma,60,0.5767195767195767,245,L-Concrete,linear,0.0033,0.2,2450130
other,23,0.4864864864864865,245,L-Concrete,linear,0.0033,0.2,2450130
infiltratingductalcarcinoma,220,0.6978723404255319,249,L-Concrete,linear,0.0011,0.4,2490123
infiltratinglobularcarcinoma,60,0.5132275132275133,249,L-Concrete,linear,0.0011,0.4,2490123
other,23,0.5675675675675675,249,L-Concrete,linear,0.0011,0.4,2490123
infiltratingductalcarcinoma,220,0.6726677577741408,249,L-Concrete,linear,0.0011,0.4,2490124
infiltratinglobularcarcinoma,60,0.5079365079365079,249,L-Concrete,linear,0.0011,0.4,2490124
other,23,0.5405405405405406,249,L-Concrete,linear,0.0011,0.4,2490124
infiltratingductalcarcinoma,220,0.6664484451718494,249,L-Concrete,linear,0.0011,0.4,2490125
infiltratinglobularcarcinoma,60,0.5343915343915344,249,L-Concrete,linear,0.0011,0.4,2490125
other,23,0.7297297297297297,249,L-Concrete,linear,0.0011,0.4,2490125
infiltratingductalcarcinoma,220,0.7184942716857611,249,L-Concrete,linear,0.0011,0.4,2490126
infiltratinglobularcarcinoma,60,0.5767195767195767,249,L-Concrete,linear,0.0011,0.4,2490126
other,23,0.5405405405405406,249,L-Concrete,linear,0.0011,0.4,2490126
infiltratingductalcarcinoma,220,0.6818330605564649,249,L-Concrete,linear,0.0011,0.4,2490127
infiltratinglobularcarcinoma,60,0.5608465608465608,249,L-Concrete,linear,0.0011,0.4,2490127
other,23,0.5675675675675675,249,L-Concrete,linear,0.0011,0.4,2490127
infiltratingductalcarcinoma,220,0.6988543371522095,249,L-Concrete,linear,0.0011,0.4,2490128
infiltratinglobularcarcinoma,60,0.582010582010582,249,L-Concrete,linear,0.0011,0.4,2490128
other,23,0.5945945945945946,249,L-Concrete,linear,0.0011,0.4,2490128
infiltratingductalcarcinoma,220,0.6576104746317513,249,L-Concrete,linear,0.0011,0.4,2490129
infiltratinglobularcarcinoma,60,0.6666666666666666,249,L-Concrete,linear,0.0011,0.4,2490129
other,23,0.5675675675675675,249,L-Concrete,linear,0.0011,0.4,2490129
infiltratingductalcarcinoma,220,0.6337152209492635,249,L-Concrete,linear,0.0011,0.4,2490130
infiltratinglobularcarcinoma,60,0.5026455026455027,249,L-Concrete,linear,0.0011,0.4,2490130
other,23,0.5405405405405406,249,L-Concrete,linear,0.0011,0.4,2490130
infiltratingductalcarcinoma,220,0.6438625204582651,253,L-Concrete,linear,0.0033,0.4,2530123
infiltratinglobularcarcinoma,60,0.6666666666666666,253,L-Concrete,linear,0.0033,0.4,2530123
other,23,0.5945945945945946,253,L-Concrete,linear,0.0033,0.4,2530123
infiltratingductalcarcinoma,220,0.627823240589198,253,L-Concrete,linear,0.0033,0.4,2530124
infiltratinglobularcarcinoma,60,0.6084656084656085,253,L-Concrete,linear,0.0033,0.4,2530124
other,23,0.6756756756756757,253,L-Concrete,linear,0.0033,0.4,2530124
infiltratingductalcarcinoma,220,0.6386252045826514,253,L-Concrete,linear,0.0033,0.4,2530125
infiltratinglobularcarcinoma,60,0.5767195767195767,253,L-Concrete,linear,0.0033,0.4,2530125
other,23,0.6216216216216216,253,L-Concrete,linear,0.0033,0.4,2530125
infiltratingductalcarcinoma,220,0.6019639934533552,253,L-Concrete,linear,0.0033,0.4,2530126
infiltratinglobularcarcinoma,60,0.5079365079365079,253,L-Concrete,linear,0.0033,0.4,2530126
other,23,0.5135135135135135,253,L-Concrete,linear,0.0033,0.4,2530126
infiltratingductalcarcinoma,220,0.6274959083469722,253,L-Concrete,linear,0.0033,0.4,2530127
infiltratinglobularcarcinoma,60,0.5661375661375662,253,L-Concrete,linear,0.0033,0.4,2530127
other,23,0.5405405405405406,253,L-Concrete,linear,0.0033,0.4,2530127
infiltratingductalcarcinoma,220,0.6343698854337152,253,L-Concrete,linear,0.0033,0.4,2530128
infiltratinglobularcarcinoma,60,0.5873015873015873,253,L-Concrete,linear,0.0033,0.4,2530128
other,23,0.7297297297297297,253,L-Concrete,linear,0.0033,0.4,2530128
infiltratingductalcarcinoma,220,0.6094926350245499,253,L-Concrete,linear,0.0033,0.4,2530129
infiltratinglobularcarcinoma,60,0.5343915343915344,253,L-Concrete,linear,0.0033,0.4,2530129
other,23,0.5405405405405406,253,L-Concrete,linear,0.0033,0.4,2530129
infiltratingductalcarcinoma,220,0.595417348608838,253,L-Concrete,linear,0.0033,0.4,2530130
infiltratinglobularcarcinoma,60,0.5291005291005291,253,L-Concrete,linear,0.0033,0.4,2530130
other,23,0.6756756756756757,253,L-Concrete,linear,0.0033,0.4,2530130
infiltratingductalcarcinoma,220,0.6864157119476268,2,LSPIN,mlp,0.00525,0.0,20123
infiltratinglobularcarcinoma,60,0.4973544973544973,2,LSPIN,mlp,0.00525,0.0,20123
other,23,0.5945945945945946,2,LSPIN,mlp,0.00525,0.0,20123
infiltratingductalcarcinoma,220,0.597708674304419,2,LSPIN,mlp,0.00525,0.0,20124
infiltratinglobularcarcinoma,60,0.6666666666666666,2,LSPIN,mlp,0.00525,0.0,20124
other,23,0.5135135135135135,2,LSPIN,mlp,0.00525,0.0,20124
infiltratingductalcarcinoma,220,0.6356792144026187,2,LSPIN,mlp,0.00525,0.0,20125
infiltratinglobularcarcinoma,60,0.6507936507936508,2,LSPIN,mlp,0.00525,0.0,20125
other,23,0.3783783783783784,2,LSPIN,mlp,0.00525,0.0,20125
infiltratingductalcarcinoma,220,0.6062193126022913,2,LSPIN,mlp,0.00525,0.0,20126
infiltratinglobularcarcinoma,60,0.5555555555555556,2,LSPIN,mlp,0.00525,0.0,20126
other,23,0.5675675675675675,2,LSPIN,mlp,0.00525,0.0,20126
infiltratingductalcarcinoma,220,0.614075286415712,2,LSPIN,mlp,0.00525,0.0,20127
infiltratinglobularcarcinoma,60,0.6031746031746031,2,LSPIN,mlp,0.00525,0.0,20127
other,23,0.5405405405405406,2,LSPIN,mlp,0.00525,0.0,20127
infiltratingductalcarcinoma,220,0.6314238952536825,2,LSPIN,mlp,0.00525,0.0,20128
infiltratinglobularcarcinoma,60,0.5555555555555556,2,LSPIN,mlp,0.00525,0.0,20128
other,23,0.5135135135135135,2,LSPIN,mlp,0.00525,0.0,20128
infiltratingductalcarcinoma,220,0.5643207855973813,2,LSPIN,mlp,0.00525,0.0,20129
infiltratinglobularcarcinoma,60,0.5026455026455027,2,LSPIN,mlp,0.00525,0.0,20129
other,23,0.2972972972972973,2,LSPIN,mlp,0.00525,0.0,20129
infiltratingductalcarcinoma,220,0.6206219312602291,2,LSPIN,mlp,0.00525,0.0,20130
infiltratinglobularcarcinoma,60,0.6455026455026455,2,LSPIN,mlp,0.00525,0.0,20130
other,23,0.5945945945945946,2,LSPIN,mlp,0.00525,0.0,20130
infiltratingductalcarcinoma,220,0.6320785597381342,6,LSPIN,mlp,0.014,0.0,60123
infiltratinglobularcarcinoma,60,0.492063492063492,6,LSPIN,mlp,0.014,0.0,60123
other,23,0.4864864864864865,6,LSPIN,mlp,0.014,0.0,60123
infiltratingductalcarcinoma,220,0.6428805237315875,6,LSPIN,mlp,0.014,0.0,60124
infiltratinglobularcarcinoma,60,0.5079365079365079,6,LSPIN,mlp,0.014,0.0,60124
other,23,0.4594594594594595,6,LSPIN,mlp,0.014,0.0,60124
infiltratingductalcarcinoma,220,0.6238952536824878,6,LSPIN,mlp,0.014,0.0,60125
infiltratinglobularcarcinoma,60,0.5396825396825397,6,LSPIN,mlp,0.014,0.0,60125
other,23,0.7027027027027027,6,LSPIN,mlp,0.014,0.0,60125
infiltratingductalcarcinoma,220,0.618657937806874,6,LSPIN,mlp,0.014,0.0,60126
infiltratinglobularcarcinoma,60,0.6084656084656085,6,LSPIN,mlp,0.014,0.0,60126
other,23,0.5135135135135135,6,LSPIN,mlp,0.014,0.0,60126
infiltratingductalcarcinoma,220,0.4281505728314239,6,LSPIN,mlp,0.014,0.0,60127
infiltratinglobularcarcinoma,60,0.4603174603174603,6,LSPIN,mlp,0.014,0.0,60127
other,23,0.4324324324324324,6,LSPIN,mlp,0.014,0.0,60127
infiltratingductalcarcinoma,220,0.5852700490998364,6,LSPIN,mlp,0.014,0.0,60128
infiltratinglobularcarcinoma,60,0.4179894179894179,6,LSPIN,mlp,0.014,0.0,60128
other,23,0.5675675675675675,6,LSPIN,mlp,0.014,0.0,60128
infiltratingductalcarcinoma,220,0.6304418985270049,6,LSPIN,mlp,0.014,0.0,60129
infiltratinglobularcarcinoma,60,0.4391534391534391,6,LSPIN,mlp,0.014,0.0,60129
other,23,0.6486486486486487,6,LSPIN,mlp,0.014,0.0,60129
infiltratingductalcarcinoma,220,0.4900163666121113,6,LSPIN,mlp,0.014,0.0,60130
infiltratinglobularcarcinoma,60,0.6613756613756614,6,LSPIN,mlp,0.014,0.0,60130
other,23,0.6216216216216216,6,LSPIN,mlp,0.014,0.0,60130
infiltratingductalcarcinoma,220,0.618657937806874,10,LSPIN,mlp,0.00525,0.1,100123
infiltratinglobularcarcinoma,60,0.5925925925925926,10,LSPIN,mlp,0.00525,0.1,100123
other,23,0.6216216216216216,10,LSPIN,mlp,0.00525,0.1,100123
infiltratingductalcarcinoma,220,0.6504091653027824,10,LSPIN,mlp,0.00525,0.1,100124
infiltratinglobularcarcinoma,60,0.5925925925925926,10,LSPIN,mlp,0.00525,0.1,100124
other,23,0.5405405405405406,10,LSPIN,mlp,0.00525,0.1,100124
infiltratingductalcarcinoma,220,0.6029459901800327,10,LSPIN,mlp,0.00525,0.1,100125
infiltratinglobularcarcinoma,60,0.6137566137566137,10,LSPIN,mlp,0.00525,0.1,100125
other,23,0.5945945945945946,10,LSPIN,mlp,0.00525,0.1,100125
infiltratingductalcarcinoma,220,0.627823240589198,10,LSPIN,mlp,0.00525,0.1,100126
infiltratinglobularcarcinoma,60,0.5714285714285714,10,LSPIN,mlp,0.00525,0.1,100126
other,23,0.5675675675675675,10,LSPIN,mlp,0.00525,0.1,100126
infiltratingductalcarcinoma,220,0.6343698854337152,10,LSPIN,mlp,0.00525,0.1,100127
infiltratinglobularcarcinoma,60,0.6666666666666666,10,LSPIN,mlp,0.00525,0.1,100127
other,23,0.5135135135135135,10,LSPIN,mlp,0.00525,0.1,100127
infiltratingductalcarcinoma,220,0.6016366612111292,10,LSPIN,mlp,0.00525,0.1,100128
infiltratinglobularcarcinoma,60,0.6402116402116402,10,LSPIN,mlp,0.00525,0.1,100128
other,23,0.5135135135135135,10,LSPIN,mlp,0.00525,0.1,100128
infiltratingductalcarcinoma,220,0.6477905073649755,10,LSPIN,mlp,0.00525,0.1,100129
infiltratinglobularcarcinoma,60,0.5873015873015873,10,LSPIN,mlp,0.00525,0.1,100129
other,23,0.6216216216216216,10,LSPIN,mlp,0.00525,0.1,100129
infiltratingductalcarcinoma,220,0.6075286415711948,10,LSPIN,mlp,0.00525,0.1,100130
infiltratinglobularcarcinoma,60,0.5132275132275133,10,LSPIN,mlp,0.00525,0.1,100130
other,23,0.7027027027027027,10,LSPIN,mlp,0.00525,0.1,100130
infiltratingductalcarcinoma,220,0.5872340425531914,14,LSPIN,mlp,0.014,0.1,140123
infiltratinglobularcarcinoma,60,0.6137566137566137,14,LSPIN,mlp,0.014,0.1,140123
other,23,0.7027027027027027,14,LSPIN,mlp,0.014,0.1,140123
infiltratingductalcarcinoma,220,0.5450081833060556,14,LSPIN,mlp,0.014,0.1,140124
infiltratinglobularcarcinoma,60,0.3703703703703703,14,LSPIN,mlp,0.014,0.1,140124
other,23,0.4054054054054054,14,LSPIN,mlp,0.014,0.1,140124
infiltratingductalcarcinoma,220,0.6242225859247136,14,LSPIN,mlp,0.014,0.1,140125
infiltratinglobularcarcinoma,60,0.6296296296296297,14,LSPIN,mlp,0.014,0.1,140125
other,23,0.4324324324324324,14,LSPIN,mlp,0.014,0.1,140125
infiltratingductalcarcinoma,220,0.5345335515548282,14,LSPIN,mlp,0.014,0.1,140126
infiltratinglobularcarcinoma,60,0.6349206349206349,14,LSPIN,mlp,0.014,0.1,140126
other,23,0.5675675675675675,14,LSPIN,mlp,0.014,0.1,140126
infiltratingductalcarcinoma,220,0.5561374795417349,14,LSPIN,mlp,0.014,0.1,140127
infiltratinglobularcarcinoma,60,0.5238095238095238,14,LSPIN,mlp,0.014,0.1,140127
other,23,0.3513513513513513,14,LSPIN,mlp,0.014,0.1,140127
infiltratingductalcarcinoma,220,0.55810147299509,14,LSPIN,mlp,0.014,0.1,140128
infiltratinglobularcarcinoma,60,0.6243386243386243,14,LSPIN,mlp,0.014,0.1,140128
other,23,0.5405405405405406,14,LSPIN,mlp,0.014,0.1,140128
infiltratingductalcarcinoma,220,0.5338788870703765,14,LSPIN,mlp,0.014,0.1,140129
infiltratinglobularcarcinoma,60,0.5925925925925926,14,LSPIN,mlp,0.014,0.1,140129
other,23,0.5675675675675675,14,LSPIN,mlp,0.014,0.1,140129
infiltratingductalcarcinoma,220,0.5587561374795418,14,LSPIN,mlp,0.014,0.1,140130
infiltratinglobularcarcinoma,60,0.6137566137566137,14,LSPIN,mlp,0.014,0.1,140130
other,23,0.5675675675675675,14,LSPIN,mlp,0.014,0.1,140130
infiltratingductalcarcinoma,220,0.5967266775777414,18,LSPIN,mlp,0.00525,0.2,180123
infiltratinglobularcarcinoma,60,0.5978835978835979,18,LSPIN,mlp,0.00525,0.2,180123
other,23,0.5945945945945946,18,LSPIN,mlp,0.00525,0.2,180123
infiltratingductalcarcinoma,220,0.6618657937806874,18,LSPIN,mlp,0.00525,0.2,180124
infiltratinglobularcarcinoma,60,0.4761904761904761,18,LSPIN,mlp,0.00525,0.2,180124
other,23,0.5135135135135135,18,LSPIN,mlp,0.00525,0.2,180124
infiltratingductalcarcinoma,220,0.5849427168576105,18,LSPIN,mlp,0.00525,0.2,180125
infiltratinglobularcarcinoma,60,0.708994708994709,18,LSPIN,mlp,0.00525,0.2,180125
other,23,0.5405405405405406,18,LSPIN,mlp,0.00525,0.2,180125
infiltratingductalcarcinoma,220,0.5993453355155482,18,LSPIN,mlp,0.00525,0.2,180126
infiltratinglobularcarcinoma,60,0.5343915343915344,18,LSPIN,mlp,0.00525,0.2,180126
other,23,0.5135135135135135,18,LSPIN,mlp,0.00525,0.2,180126
infiltratingductalcarcinoma,220,0.5927986906710311,18,LSPIN,mlp,0.00525,0.2,180127
infiltratinglobularcarcinoma,60,0.582010582010582,18,LSPIN,mlp,0.00525,0.2,180127
other,23,0.4594594594594595,18,LSPIN,mlp,0.00525,0.2,180127
infiltratingductalcarcinoma,220,0.616366612111293,18,LSPIN,mlp,0.00525,0.2,180128
infiltratinglobularcarcinoma,60,0.5767195767195767,18,LSPIN,mlp,0.00525,0.2,180128
other,23,0.6486486486486487,18,LSPIN,mlp,0.00525,0.2,180128
infiltratingductalcarcinoma,220,0.5358428805237316,18,LSPIN,mlp,0.00525,0.2,180129
infiltratinglobularcarcinoma,60,0.544973544973545,18,LSPIN,mlp,0.00525,0.2,180129
other,23,0.5675675675675675,18,LSPIN,mlp,0.00525,0.2,180129
infiltratingductalcarcinoma,220,0.6363338788870704,18,LSPIN,mlp,0.00525,0.2,180130
infiltratinglobularcarcinoma,60,0.7566137566137566,18,LSPIN,mlp,0.00525,0.2,180130
other,23,0.5675675675675675,18,LSPIN,mlp,0.00525,0.2,180130
infiltratingductalcarcinoma,220,0.6134206219312602,22,LSPIN,mlp,0.014,0.2,220123
infiltratinglobularcarcinoma,60,0.6402116402116402,22,LSPIN,mlp,0.014,0.2,220123
other,23,0.5675675675675675,22,LSPIN,mlp,0.014,0.2,220123
infiltratingductalcarcinoma,220,0.6490998363338789,22,LSPIN,mlp,0.014,0.2,220124
infiltratinglobularcarcinoma,60,0.6137566137566137,22,LSPIN,mlp,0.014,0.2,220124
other,23,0.4054054054054054,22,LSPIN,mlp,0.014,0.2,220124
infiltratingductalcarcinoma,220,0.5754500818330606,22,LSPIN,mlp,0.014,0.2,220125
infiltratinglobularcarcinoma,60,0.5079365079365079,22,LSPIN,mlp,0.014,0.2,220125
other,23,0.5945945945945946,22,LSPIN,mlp,0.014,0.2,220125
infiltratingductalcarcinoma,220,0.5715220949263502,22,LSPIN,mlp,0.014,0.2,220126
infiltratinglobularcarcinoma,60,0.544973544973545,22,LSPIN,mlp,0.014,0.2,220126
