histology,n_test,cindex,global_cfg_idx,model_family,predictor,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.6268412438625205,9,LSPIN,mlp,0.0035,0.1,90127
infiltratinglobularcarcinoma,60,0.6931216931216931,9,LSPIN,mlp,0.0035,0.1,90127
other,23,0.6486486486486487,9,LSPIN,mlp,0.0035,0.1,90127
infiltratingductalcarcinoma,220,0.6225859247135843,9,LSPIN,mlp,0.0035,0.1,90128
infiltratinglobularcarcinoma,60,0.4761904761904761,9,LSPIN,mlp,0.0035,0.1,90128
other,23,0.6216216216216216,9,LSPIN,mlp,0.0035,0.1,90128
infiltratingductalcarcinoma,220,0.6837970540098199,9,LSPIN,mlp,0.0035,0.1,90129
infiltratinglobularcarcinoma,60,0.656084656084656,9,LSPIN,mlp,0.0035,0.1,90129
other,23,0.6486486486486487,9,LSPIN,mlp,0.0035,0.1,90129
infiltratingductalcarcinoma,220,0.6353518821603928,9,LSPIN,mlp,0.0035,0.1,90130
infiltratinglobularcarcinoma,60,0.5873015873015873,9,LSPIN,mlp,0.0035,0.1,90130
other,23,0.5675675675675675,9,LSPIN,mlp,0.0035,0.1,90130
infiltratingductalcarcinoma,220,0.6477905073649755,13,LSPIN,mlp,0.0105,0.1,130123
infiltratinglobularcarcinoma,60,0.4973544973544973,13,LSPIN,mlp,0.0105,0.1,130123
other,23,0.4864864864864865,13,LSPIN,mlp,0.0105,0.1,130123
infiltratingductalcarcinoma,220,0.5692307692307692,13,LSPIN,mlp,0.0105,0.1,130124
infiltratinglobularcarcinoma,60,0.4391534391534391,13,LSPIN,mlp,0.0105,0.1,130124
other,23,0.5675675675675675,13,LSPIN,mlp,0.0105,0.1,130124
infiltratingductalcarcinoma,220,0.6327332242225859,13,LSPIN,mlp,0.0105,0.1,130125
infiltratinglobularcarcinoma,60,0.5132275132275133,13,LSPIN,mlp,0.0105,0.1,130125
other,23,0.3783783783783784,13,LSPIN,mlp,0.0105,0.1,130125
infiltratingductalcarcinoma,220,0.623240589198036,13,LSPIN,mlp,0.0105,0.1,130126
infiltratinglobularcarcinoma,60,0.6613756613756614,13,LSPIN,mlp,0.0105,0.1,130126
other,23,0.6486486486486487,13,LSPIN,mlp,0.0105,0.1,130126
infiltratingductalcarcinoma,220,0.6193126022913257,13,LSPIN,mlp,0.0105,0.1,130127
infiltratinglobularcarcinoma,60,0.5555555555555556,13,LSPIN,mlp,0.0105,0.1,130127
other,23,0.6216216216216216,13,LSPIN,mlp,0.0105,0.1,130127
