model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,global_cfg_idx,cluster_ari,cluster_nmi
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,5,0.4242723169237551,0.401518988530899
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,5,0.4284763780836198,0.3633908183588033
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,9,0.4640586210622317,0.4939355416732611
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,9,0.6401173816198917,0.6925564397950709
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,9,0.6962149439251258,0.6141421551361339
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,9,0.8185535027833144,0.7440921064255258
LSPIN,lspin_tf,mlp,0.0035,0.1,0,5,9,0.7893140276563518,0.6982941430103176
LSPIN,lspin_tf,mlp,0.0035,0.1,0,6,9,0.7778350374641247,0.7031629717342245
LSPIN,lspin_tf,mlp,0.0035,0.1,0,7,9,0.7313045029120517,0.6398323883184719
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,9,0.5815186234545278,0.5744927393409718
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,9,0.5321301481938157,0.489704902748873
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,9,0.5012672855352512,0.5118981500608707
LSPIN,lspin_tf,mlp,0.0035,0.1,1,5,9,0.4700839883685565,0.4660048698929618
LSPIN,lspin_tf,mlp,0.0035,0.1,1,6,9,0.5017239645852029,0.4924067701710909
LSPIN,lspin_tf,mlp,0.0035,0.1,1,7,9,0.5065637438624526,0.4849980426137783
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,9,0.5514475239238775,0.5668772977625647
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,9,0.625132096603277,0.6851380332278048
LSPIN,lspin_tf,mlp,0.0035,0.1,2,5,9,0.6105534506129153,0.6262689921472232
LSPIN,lspin_tf,mlp,0.0035,0.1,2,6,9,0.6303308892938059,0.6529259607705098
LSPIN,lspin_tf,mlp,0.0035,0.1,2,7,9,0.5494101405006643,0.544564734637879
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,9,0.7431717471858896,0.6582195840652032
LSPIN,lspin_tf,mlp,0.0035,0.1,3,5,9,0.7537708610509884,0.6455437124236058
LSPIN,lspin_tf,mlp,0.0035,0.1,3,6,9,0.834721237698499,0.7535106805132268
LSPIN,lspin_tf,mlp,0.0035,0.1,3,7,9,0.6483972629874428,0.5593679622700231
LSPIN,lspin_tf,mlp,0.0035,0.1,4,5,9,0.8845985571241559,0.8316751711438425
LSPIN,lspin_tf,mlp,0.0035,0.1,4,6,9,0.8331544227150552,0.7577098622583561
LSPIN,lspin_tf,mlp,0.0035,0.1,4,7,9,0.6837717257900148,0.5675822219483554
LSPIN,lspin_tf,mlp,0.0035,0.1,5,6,9,0.8840953899854878,0.8125309716818506
LSPIN,lspin_tf,mlp,0.0035,0.1,5,7,9,0.694210946028846,0.5899686988941297
LSPIN,lspin_tf,mlp,0.0035,0.1,6,7,9,0.7046605152279226,0.6198200684327356
LSPIN,lspin_tf,mlp,0.0105,0.1,0,1,13,0.581949150185467,0.5581315595069091
LSPIN,lspin_tf,mlp,0.0105,0.1,0,2,13,0.5683130089838062,0.5475272231771179
LSPIN,lspin_tf,mlp,0.0105,0.1,0,3,13,0.5411035734926147,0.4916882987732518
LSPIN,lspin_tf,mlp,0.0105,0.1,0,4,13,0.5313903922618725,0.520549774115206
LSPIN,lspin_tf,mlp,0.0105,0.1,0,5,13,0.5786140145361715,0.566896639322199
LSPIN,lspin_tf,mlp,0.0105,0.1,0,6,13,0.6281756394172251,0.5832941542248271
LSPIN,lspin_tf,mlp,0.0105,0.1,0,7,13,0.6324834829513032,0.5694120613330562
LSPIN,lspin_tf,mlp,0.0105,0.1,1,2,13,0.6119028744275915,0.5650317303166936
LSPIN,lspin_tf,mlp,0.0105,0.1,1,3,13,0.5988834757231927,0.5290730294771413
LSPIN,lspin_tf,mlp,0.0105,0.1,1,4,13,0.5592073083303907,0.5687313214615928
LSPIN,lspin_tf,mlp,0.0105,0.1,1,5,13,0.6067991138834196,0.5831784296261492
LSPIN,lspin_tf,mlp,0.0105,0.1,1,6,13,0.7156312876101498,0.7047785692596584
LSPIN,lspin_tf,mlp,0.0105,0.1,1,7,13,0.5651806658891453,0.5526969074547735
LSPIN,lspin_tf,mlp,0.0105,0.1,2,3,13,0.7961157605960852,0.719620084363552
LSPIN,lspin_tf,mlp,0.0105,0.1,2,4,13,0.4959673151849915,0.4886598372202675
LSPIN,lspin_tf,mlp,0.0105,0.1,2,5,13,0.5300000146275043,0.4920005167730317
LSPIN,lspin_tf,mlp,0.0105,0.1,2,6,13,0.6032830052870257,0.5432627379121382
LSPIN,lspin_tf,mlp,0.0105,0.1,2,7,13,0.484977993238436,0.4687040151967453
LSPIN,lspin_tf,mlp,0.0105,0.1,3,4,13,0.5069665723518634,0.5069192828229209
LSPIN,lspin_tf,mlp,0.0105,0.1,3,5,13,0.5253814230065437,0.5041622482466567
LSPIN,lspin_tf,mlp,0.0105,0.1,3,6,13,0.5961669215625192,0.5184594814074722
LSPIN,lspin_tf,mlp,0.0105,0.1,3,7,13,0.4634757361867388,0.4300726859811144
LSPIN,lspin_tf,mlp,0.0105,0.1,4,5,13,0.7224251410245028,0.6964853946936171
LSPIN,lspin_tf,mlp,0.0105,0.1,4,6,13,0.596346222413907,0.5867597374304389
LSPIN,lspin_tf,mlp,0.0105,0.1,4,7,13,0.5270923892761982,0.5072366218445449
LSPIN,lspin_tf,mlp,0.0105,0.1,5,6,13,0.5135518014047786,0.5097286843188102
LSPIN,lspin_tf,mlp,0.0105,0.1,5,7,13,0.5604933568454282,0.516751509593882
LSPIN,lspin_tf,mlp,0.0105,0.1,6,7,13,0.5854200003785872,0.5748959258686895
LSPIN,lspin_tf,mlp,0.0035,0.2,0,1,17,0.8481233683989411,0.7445532665865027
LSPIN,lspin_tf,mlp,0.0035,0.2,0,2,17,0.4819719507012324,0.590552313727552
LSPIN,lspin_tf,mlp,0.0035,0.2,0,3,17,0.5145156654575903,0.614876022240734
LSPIN,lspin_tf,mlp,0.0035,0.2,0,4,17,0.6424697823347211,0.5769040586243747
LSPIN,lspin_tf,mlp,0.0035,0.2,0,5,17,0.4092969399713634,0.4528213967914695
LSPIN,lspin_tf,mlp,0.0035,0.2,0,6,17,0.4791912257080368,0.4844307474611097
LSPIN,lspin_tf,mlp,0.0035,0.2,0,7,17,0.7686111639277592,0.6705148928778483
LSPIN,lspin_tf,mlp,0.0035,0.2,1,2,17,0.4956847602180043,0.5909408232027061
LSPIN,lspin_tf,mlp,0.0035,0.2,1,3,17,0.5015103047654329,0.595529897060132
LSPIN,lspin_tf,mlp,0.0035,0.2,1,4,17,0.6223302219370974,0.543904359665436
LSPIN,lspin_tf,mlp,0.0035,0.2,1,5,17,0.3834005769620051,0.4089172526886522
LSPIN,lspin_tf,mlp,0.0035,0.2,1,6,17,0.472156618562461,0.476261673423387
LSPIN,lspin_tf,mlp,0.0035,0.2,1,7,17,0.759565256023266,0.6732185505192745
LSPIN,lspin_tf,mlp,0.0035,0.2,2,3,17,0.6405758000365532,0.6088827906547434
LSPIN,lspin_tf,mlp,0.0035,0.2,2,4,17,0.4802601477220733,0.5108914011015085
LSPIN,lspin_tf,mlp,0.0035,0.2,2,5,17,0.4782986360981061,0.4704634614181579
LSPIN,lspin_tf,mlp,0.0035,0.2,2,6,17,0.3759798805837368,0.466771792195465
LSPIN,lspin_tf,mlp,0.0035,0.2,2,7,17,0.4838538237603814,0.5288017002550229
LSPIN,lspin_tf,mlp,0.0035,0.2,3,4,17,0.5809996646838168,0.6293927415828727
LSPIN,lspin_tf,mlp,0.0035,0.2,3,5,17,0.5804678284070064,0.5258513801762663
LSPIN,lspin_tf,mlp,0.0035,0.2,3,6,17,0.3706634060204222,0.4301767598810384
LSPIN,lspin_tf,mlp,0.0035,0.2,3,7,17,0.5314536309739463,0.597077064178278
LSPIN,lspin_tf,mlp,0.0035,0.2,4,5,17,0.5678296861074638,0.5931144351418309
LSPIN,lspin_tf,mlp,0.0035,0.2,4,6,17,0.5554354522067108,0.5294096406453717
LSPIN,lspin_tf,mlp,0.0035,0.2,4,7,17,0.7078224901556736,0.6621736375181071
LSPIN,lspin_tf,mlp,0.0035,0.2,5,6,17,0.36723892554554,0.4012600113539303
LSPIN,lspin_tf,mlp,0.0035,0.2,5,7,17,0.4450190380827526,0.4837276663531706
LSPIN,lspin_tf,mlp,0.0035,0.2,6,7,17,0.534366621581988,0.5137154551973216
LSPIN,lspin_tf,mlp,0.0105,0.2,0,1,21,0.5576323053813066,0.5333449272420253
LSPIN,lspin_tf,mlp,0.0105,0.2,0,2,21,0.697235053736492,0.6282050124816774
LSPIN,lspin_tf,mlp,0.0105,0.2,0,3,21,0.6920238180048018,0.6382468540192744
LSPIN,lspin_tf,mlp,0.0105,0.2,0,4,21,0.5565044585048472,0.5471453824766453
LSPIN,lspin_tf,mlp,0.0105,0.2,0,5,21,0.6042872294461462,0.5284294356315151
LSPIN,lspin_tf,mlp,0.0105,0.2,0,6,21,0.6855972128519107,0.6186326275462952
LSPIN,lspin_tf,mlp,0.0105,0.2,0,7,21,0.6567285086214864,0.6741082291398801
LSPIN,lspin_tf,mlp,0.0105,0.2,1,2,21,0.61748486968825,0.5875448370999821
LSPIN,lspin_tf,mlp,0.0105,0.2,1,3,21,0.5785186312124746,0.5868901264038512
LSPIN,lspin_tf,mlp,0.0105,0.2,1,4,21,0.6624539841582573,0.6120625873461661
LSPIN,lspin_tf,mlp,0.0105,0.2,1,5,21,0.5797422611915247,0.5648731431512413
LSPIN,lspin_tf,mlp,0.0105,0.2,1,6,21,0.5744852766852075,0.5243602271076196
LSPIN,lspin_tf,mlp,0.0105,0.2,1,7,21,0.588550238214972,0.5360351392045617
LSPIN,lspin_tf,mlp,0.0105,0.2,2,3,21,0.6267901765414606,0.5878044771124258
LSPIN,lspin_tf,mlp,0.0105,0.2,2,4,21,0.5544410993744897,0.5117067257006662
LSPIN,lspin_tf,mlp,0.0105,0.2,2,5,21,0.6259839461549834,0.5535502508967418
LSPIN,lspin_tf,mlp,0.0105,0.2,2,6,21,0.7253961021398205,0.6297464054003957
LSPIN,lspin_tf,mlp,0.0105,0.2,2,7,21,0.6649508127405843,0.6163683713399434
LSPIN,lspin_tf,mlp,0.0105,0.2,3,4,21,0.5073586720326163,0.5150221630188625
LSPIN,lspin_tf,mlp,0.0105,0.2,3,5,21,0.6599708921457368,0.586462025877676
LSPIN,lspin_tf,mlp,0.0105,0.2,3,6,21,0.6256743193133841,0.5698222313908617
LSPIN,lspin_tf,mlp,0.0105,0.2,3,7,21,0.5990221056735701,0.611353985907872
LSPIN,lspin_tf,mlp,0.0105,0.2,4,5,21,0.6115158457321322,0.604127990685516
LSPIN,lspin_tf,mlp,0.0105,0.2,4,6,21,0.5977037923326715,0.5793279681530903
LSPIN,lspin_tf,mlp,0.0105,0.2,4,7,21,0.584344944357489,0.559109169710785
LSPIN,lspin_tf,mlp,0.0105,0.2,5,6,21,0.6709254898411436,0.5882944204752715
LSPIN,lspin_tf,mlp,0.0105,0.2,5,7,21,0.5766441734497129,0.5529590472299163
LSPIN,lspin_tf,mlp,0.0105,0.2,6,7,21,0.6852058303697348,0.6704625497441378
LSPIN,lspin_tf,mlp,0.0035,0.4,0,1,25,0.6361882364862,0.6000497401839088
LSPIN,lspin_tf,mlp,0.0035,0.4,0,2,25,0.5981980094342916,0.6350416542484005
LSPIN,lspin_tf,mlp,0.0035,0.4,0,3,25,0.4544701312084531,0.4761980121641137
LSPIN,lspin_tf,mlp,0.0035,0.4,0,4,25,0.6466818786109383,0.6310443547389867
LSPIN,lspin_tf,mlp,0.0035,0.4,0,5,25,0.4778713542396499,0.5504820512979975
LSPIN,lspin_tf,mlp,0.0035,0.4,0,6,25,0.5362175472143519,0.6113201010922684
LSPIN,lspin_tf,mlp,0.0035,0.4,0,7,25,0.4860531224970011,0.5763924613373737
LSPIN,lspin_tf,mlp,0.0035,0.4,1,2,25,0.5723976962734758,0.5813300497390679
LSPIN,lspin_tf,mlp,0.0035,0.4,1,3,25,0.4110308741882129,0.4400252377058708
LSPIN,lspin_tf,mlp,0.0035,0.4,1,4,25,0.6502517460845811,0.6146004838199443
LSPIN,lspin_tf,mlp,0.0035,0.4,1,5,25,0.5013520162522257,0.5322388377087357
LSPIN,lspin_tf,mlp,0.0035,0.4,1,6,25,0.5204800335154677,0.5399579413411795
LSPIN,lspin_tf,mlp,0.0035,0.4,1,7,25,0.4855377462581525,0.5334352423695866
LSPIN,lspin_tf,mlp,0.0035,0.4,2,3,25,0.3644685674373212,0.4169031936939467
LSPIN,lspin_tf,mlp,0.0035,0.4,2,4,25,0.6691392553175003,0.6573368037988037
LSPIN,lspin_tf,mlp,0.0035,0.4,2,5,25,0.6323071956189499,0.6860865969284453
LSPIN,lspin_tf,mlp,0.0035,0.4,2,6,25,0.5749718167033816,0.6704360931483105
LSPIN,lspin_tf,mlp,0.0035,0.4,2,7,25,0.4961514060625503,0.5977297179265438
LSPIN,lspin_tf,mlp,0.0035,0.4,3,4,25,0.4568434556092738,0.4748321466629022
LSPIN,lspin_tf,mlp,0.0035,0.4,3,5,25,0.4776144103002545,0.4200741756526663
LSPIN,lspin_tf,mlp,0.0035,0.4,3,6,25,0.5543584759504099,0.4678467754766364
LSPIN,lspin_tf,mlp,0.0035,0.4,3,7,25,0.5065844669243431,0.4658765681222923
LSPIN,lspin_tf,mlp,0.0035,0.4,4,5,25,0.5817492544837944,0.5665555241015207
LSPIN,lspin_tf,mlp,0.0035,0.4,4,6,25,0.6566942408483406,0.6599344883791499
LSPIN,lspin_tf,mlp,0.0035,0.4,4,7,25,0.489953524755582,0.523180387825973
LSPIN,lspin_tf,mlp,0.0035,0.4,5,6,25,0.7044688377868832,0.6639229128774992
LSPIN,lspin_tf,mlp,0.0035,0.4,5,7,25,0.5922738209506623,0.5821673612544159
LSPIN,lspin_tf,mlp,0.0035,0.4,6,7,25,0.6261782512560055,0.6142054078693504
LSPIN,lspin_tf,mlp,0.0105,0.4,0,1,29,0.5332277764969763,0.5678737285207138
LSPIN,lspin_tf,mlp,0.0105,0.4,0,2,29,0.520128247492538,0.4873141884324034
LSPIN,lspin_tf,mlp,0.0105,0.4,0,3,29,0.5702756093772701,0.5520528975897813
LSPIN,lspin_tf,mlp,0.0105,0.4,0,4,29,0.6203903063360455,0.5708216466603449
LSPIN,lspin_tf,mlp,0.0105,0.4,0,5,29,0.4909305816010323,0.5682637015798034
LSPIN,lspin_tf,mlp,0.0105,0.4,0,6,29,0.5953521639578051,0.5658255954519357
LSPIN,lspin_tf,mlp,0.0105,0.4,0,7,29,0.5209314483782315,0.5017510463648438
LSPIN,lspin_tf,mlp,0.0105,0.4,1,2,29,0.579705735634781,0.5338323479275582
LSPIN,lspin_tf,mlp,0.0105,0.4,1,3,29,0.5983015643332894,0.5898156220551238
LSPIN,lspin_tf,mlp,0.0105,0.4,1,4,29,0.6573188657897249,0.6025721567649691
LSPIN,lspin_tf,mlp,0.0105,0.4,1,5,29,0.4841060124756267,0.5685563460649804
LSPIN,lspin_tf,mlp,0.0105,0.4,1,6,29,0.6650738305217982,0.6416378594260705
LSPIN,lspin_tf,mlp,0.0105,0.4,1,7,29,0.6595094321614264,0.57870078848774
LSPIN,lspin_tf,mlp,0.0105,0.4,2,3,29,0.4945218219579925,0.4523912179139732
LSPIN,lspin_tf,mlp,0.0105,0.4,2,4,29,0.7268138726354955,0.6593039484299933
LSPIN,lspin_tf,mlp,0.0105,0.4,2,5,29,0.3367200277052536,0.3738329273719405
LSPIN,lspin_tf,mlp,0.0105,0.4,2,6,29,0.6267118819502459,0.6126484225169121
LSPIN,lspin_tf,mlp,0.0105,0.4,2,7,29,0.6434485684055722,0.5902519108710448
LSPIN,lspin_tf,mlp,0.0105,0.4,3,4,29,0.5943858220770847,0.524994913860975
LSPIN,lspin_tf,mlp,0.0105,0.4,3,5,29,0.4871894148295645,0.529784200787989
LSPIN,lspin_tf,mlp,0.0105,0.4,3,6,29,0.5830825362303789,0.5567132661418124
LSPIN,lspin_tf,mlp,0.0105,0.4,3,7,29,0.6547935975861321,0.592075411619305
LSPIN,lspin_tf,mlp,0.0105,0.4,4,5,29,0.4306899671857764,0.4600665674255126
LSPIN,lspin_tf,mlp,0.0105,0.4,4,6,29,0.7054920325620812,0.6751116334130226
LSPIN,lspin_tf,mlp,0.0105,0.4,4,7,29,0.6944408504383073,0.6163578551614795
LSPIN,lspin_tf,mlp,0.0105,0.4,5,6,29,0.4101342045077244,0.4540008827290403
LSPIN,lspin_tf,mlp,0.0105,0.4,5,7,29,0.4144893627750404,0.447708952615395
LSPIN,lspin_tf,mlp,0.0105,0.4,6,7,29,0.7021393484939629,0.6378148113949774
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,33,0.7129329748076167,0.6674029009808599
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,33,0.4154433959146723,0.4158658561252204
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,33,0.5007339090019853,0.4741290094985305
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,33,0.6122224516021054,0.5705192693901818
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,33,0.4087752369919054,0.3862595862201915
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,33,0.4680406798029931,0.4861873329030761
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,33,0.4533717793565355,0.4561914912818074
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,33,0.4357393639030238,0.4176984102533716
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,33,0.4748775942246699,0.436971692571648
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,33,0.6909483332352773,0.6373794332840989
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,33,0.4501578235249038,0.4460823311630196
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,33,0.4637874241470383,0.464045767465258
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,33,0.5736316103133844,0.5633357030896022
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,33,0.4940106698803338,0.4866927139815026
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,33,0.3652523392328718,0.3376432084641644
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,33,0.5243489455749302,0.4997115047059243
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,33,0.3969071504630351,0.4612405922816767
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,33,0.4687062095010603,0.4690675123106834
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,33,0.5421330337426716,0.4551566184536587
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,33,0.5435706818567103,0.4712329809493243
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,33,0.4700924140104127,0.4619297155927941
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,33,0.4309222920512709,0.4594246796941862
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,33,0.5899628372964381,0.5346211601720977
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,33,0.5312458991041938,0.4812298590506058
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,33,0.4700792687420343,0.4953653664059204
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,33,0.4916988277848193,0.4927029922396399
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,33,0.4587637617728093,0.4802637185852821
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,33,0.3633437400713196,0.4099166487156622
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,37,0.3038074050654873,0.3781851200132535
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,37,0.574231607959315,0.5364734042768956
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,37,0.456946171397433,0.4486638446524558
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,37,0.4830033822186017,0.5502374396658828
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,37,0.5057267128531409,0.5248772898997613
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,37,0.6351670528706357,0.6143454645835255
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,37,0.4323977171198839,0.4696824203722101
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,37,0.4563642151514393,0.48827141571353
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,37,0.4487886984554539,0.3830695032282909
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,37,0.3506240184161786,0.398427933407909
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,37,0.3744997396684629,0.4160972249687974
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,37,0.4528694639428373,0.4640031085482105
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,37,0.5197664794062613,0.5824917875366146
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,37,0.4668748325469934,0.4262572849928537
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,37,0.5426135718993795,0.5805362480333214
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,37,0.5535605142427099,0.5438923755097826
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,37,0.6979115996488944,0.6547907479873643
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,37,0.4753212807901217,0.4790876565950973
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,37,0.4089021396624977,0.4334991430995951
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,37,0.4598431969269982,0.4474970461914898
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,37,0.4613234412392741,0.4182981347654928
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,37,0.4212107766860617,0.4263432188166235
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,37,0.5295613591700351,0.5373873573819807
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,37,0.4857844430340731,0.5241200435175757
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,37,0.3705039577461383,0.3749315409565857
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,37,0.5559297281916805,0.5796390798364949
