model_family,lambda_sample_smooth,lambda_sparse,mean_affinity_corr,median_affinity_corr,n_pairs,mean_Khard
Concrete,0.0,0.0066,0.8467546051567314,0.8571316687331427,56,78.83520889282227
Concrete,0.0,0.0055,0.860946307845601,0.8679613451629455,56,98.1430869102478
Concrete,0.0,0.0044,0.8865065923998869,0.8910978679391304,56,126.00623035430908
Concrete,0.0,0.0033,0.8770927783585837,0.8840250307661921,56,190.42725086212158
Concrete,0.0,0.00275,0.8927045382475683,0.9012820286693167,56,233.16338443756104
Concrete,0.0,0.0022,0.8970317457190042,0.907351210257624,56,311.8420400619507
Concrete,0.0,0.00165,0.9188243816287629,0.9201171062922282,56,447.5184860229492
Concrete,0.0,0.0011,0.9106637913283663,0.9170939342281429,56,641.5948505401611
Concrete,0.1,0.0066,0.9016996740181208,0.9231806366474575,56,95.46623706817627
Concrete,0.1,0.0055,0.8694047062324535,0.8861332359528579,56,114.40273332595825
Concrete,0.1,0.0044,0.9010987820347225,0.9080442794981418,56,164.44353008270264
Concrete,0.1,0.0033,0.9125575663555731,0.9171683546573834,56,240.6376609802246
Concrete,0.1,0.00275,0.9014839430866718,0.9154102171307754,56,304.30707359313965
Concrete,0.1,0.0022,0.8781904960836153,0.919578976776178,56,415.44192123413086
Concrete,0.1,0.00165,0.9094182977294951,0.930289864211665,56,582.3484687805176
Concrete,0.1,0.0011,0.9114968312661204,0.9264162093135813,56,1002.6463088989258
Concrete,0.2,0.0066,0.8943350073380615,0.90105748950898,56,106.3374195098877
Concrete,0.2,0.0055,0.8785230674466747,0.911254039009628,56,121.90815877914429
Concrete,0.2,0.0044,0.8884905486470768,0.9171121417836383,56,166.18509006500244
Concrete,0.2,0.0033,0.9092093697632082,0.9224492383139936,56,242.43971347808838
Concrete,0.2,0.00275,0.9072580957442872,0.9175446503369894,56,318.36937522888184
Concrete,0.2,0.0022,0.9083679547142376,0.9223370376474298,56,423.00764083862305
Concrete,0.2,0.00165,0.9246804850155703,0.9257449729441639,56,594.6953392028809
Concrete,0.2,0.0011,0.9541707768683148,0.9613417763782546,56,1013.543212890625
Concrete,0.4,0.0066,0.8923964977002468,0.8997563676177145,56,96.36133527755737
Concrete,0.4,0.0055,0.9293084829803773,0.9365400156968331,56,135.35088396072388
Concrete,0.4,0.0044,0.9220136211184989,0.9485468434029576,56,174.38203477859497
Concrete,0.4,0.0033,0.9123305866314935,0.9182575197516164,56,251.04743194580078
Concrete,0.4,0.00275,0.8787527017221642,0.91487397993568,56,330.74437141418457
Concrete,0.4,0.0022,0.8808861544036072,0.8869385664537701,56,416.13464736938477
Concrete,0.4,0.00165,0.9290147569174503,0.9424970551501735,56,629.8084831237793
