family,gate_sigma,selection,model_family,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft,band_dist,khard_gap_abs,khard_gap_rel
Concrete,0.15,nosmooth,Concrete,0.001,0.0,0.7403989702447467,0.0034071703538619724,199.8193613688151,10.894286974193113,0.9528754225581585,0.01037282354754349,492.0833333333333,395.1666666666667,12,199.8241818745931,10.898287425757907,225.1806386311849,,
Concrete,0.12,smooth,Concrete,0.001,0.05,0.7426045008852579,0.004179401830275659,195.37761433919272,20.411028624430145,0.9506823124406628,0.01739829274722869,454.8333333333333,374.3333333333333,12,195.38135274251303,20.414235849447852,,4.441747029622377,0.022228812059027932
L-Concrete,0.15,nosmooth,L-Concrete,0.0023,0.0,0.7206566686938226,0.0072805513208203335,270.7440694173177,29.7449163198099,0.9657336761822618,0.008951274141548088,465.0833333333333,408.9166666666667,12,270.7433967590332,29.743968886583023,0.0,,
L-Concrete,0.12,smooth,L-Concrete,0.0023,0.1,0.7231843099131918,0.00873733466528171,274.4499282836914,35.44027218440439,0.9614036906647553,0.009708562985688448,411.3333333333333,364.9166666666667,12,274.45154571533203,35.44190305577495,,3.705858866373717,0.013687682520061428
L-LSPIN,0.17,nosmooth,L-LSPIN,0.0025,0.0,0.7126513064670267,0.00956430526814418,451.4977773030599,26.695052006595937,0.97714428078723,0.0032411833179685095,705.0833333333334,622.8333333333334,12,451.4972890218099,26.69446686077041,0.0,,
L-LSPIN,0.17,smooth,L-LSPIN,0.0025,0.15,0.7155580720249489,0.009837767846928655,482.8681411743164,39.87584681931719,0.9781066321797677,0.004347498901886454,696.9166666666666,638.6666666666666,12,482.86805470784503,39.87498328180762,,31.37036387125653,0.06948066069924355
LSPIN,0.2,nosmooth,LSPIN,0.0007,0.0,0.7431720795723599,0.005620399872617543,458.9843343098958,42.52317737542825,0.9785322202302024,0.0046160524274442135,978.75,815.8333333333334,12,458.98540751139325,42.523845846012904,0.0,,
LSPIN,0.2,smooth,LSPIN,0.0007,0.15,0.7430267834228578,0.005667343467920216,480.2395375569661,44.27202877157406,0.9812037447788949,0.00568980495738143,1008.5,899.9166666666666,12,480.23924255371094,44.270986455851975,,21.255203247070312,0.04630921288202242
