model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
L-LSPIN,lspin_tf,0.17,0.0011,0.1,0,2,0.6929317541889756
L-LSPIN,lspin_tf,0.17,0.0011,0.1,1,2,0.7900852310439475
L-LSPIN,lspin_tf,0.17,0.0009,0.1,0,1,0.730343258166586
L-LSPIN,lspin_tf,0.17,0.0009,0.1,0,2,0.8508852025587124
L-LSPIN,lspin_tf,0.17,0.0009,0.1,1,2,0.7698611297247779
Concrete,concrete,0.15,0.002,0.1,0,1,0.7885554892840407
Concrete,concrete,0.15,0.002,0.1,0,2,0.608150005720819
Concrete,concrete,0.15,0.002,0.1,1,2,0.6293117195911063
Concrete,concrete,0.15,0.0017,0.1,0,1,0.6400058789457929
Concrete,concrete,0.15,0.0017,0.1,0,2,0.7107035853607044
Concrete,concrete,0.15,0.0017,0.1,1,2,0.7364828082620827
Concrete,concrete,0.15,0.0014,0.1,0,1,0.7723835038114852
Concrete,concrete,0.15,0.0014,0.1,0,2,0.826095360583585
Concrete,concrete,0.15,0.0014,0.1,1,2,0.7756388406245394
Concrete,concrete,0.15,0.0012,0.1,0,1,0.7859205718009534
Concrete,concrete,0.15,0.0012,0.1,0,2,0.7510826624931638
Concrete,concrete,0.15,0.0012,0.1,1,2,0.8080594458665548
Concrete,concrete,0.15,0.001,0.1,0,1,0.64900530236895
Concrete,concrete,0.15,0.001,0.1,0,2,0.7514318018459851
Concrete,concrete,0.15,0.001,0.1,1,2,0.8130221741299088
Concrete,concrete,0.12,0.002,0.1,0,1,0.7388185451290419
Concrete,concrete,0.12,0.002,0.1,0,2,0.6294219475216446
Concrete,concrete,0.12,0.002,0.1,1,2,0.6501381192216275
Concrete,concrete,0.12,0.0017,0.1,0,1,0.873923660265789
Concrete,concrete,0.12,0.0017,0.1,0,2,0.8449471414591029
Concrete,concrete,0.12,0.0017,0.1,1,2,0.8356130313859826
Concrete,concrete,0.12,0.0014,0.1,0,1,0.6710009375014306
Concrete,concrete,0.12,0.0014,0.1,0,2,0.658117728893281
Concrete,concrete,0.12,0.0014,0.1,1,2,0.7696404697504193
Concrete,concrete,0.12,0.0012,0.1,0,1,0.693802465647177
Concrete,concrete,0.12,0.0012,0.1,0,2,0.4542782756367617
Concrete,concrete,0.12,0.0012,0.1,1,2,0.5710046274290045
Concrete,concrete,0.12,0.001,0.1,0,1,0.7086015205596218
Concrete,concrete,0.12,0.001,0.1,0,2,0.8159624745624333
Concrete,concrete,0.12,0.001,0.1,1,2,0.6581593488905764
L-Concrete,concrete,0.15,0.003,0.1,0,1,0.6274876239809675
L-Concrete,concrete,0.15,0.003,0.1,0,2,0.5946327610946142
L-Concrete,concrete,0.15,0.003,0.1,1,2,0.7000173260419784
L-Concrete,concrete,0.15,0.0023,0.1,0,1,0.5922333818212498
L-Concrete,concrete,0.15,0.0023,0.1,0,2,0.7134047013011993
L-Concrete,concrete,0.15,0.0023,0.1,1,2,0.7183791567066773
