model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
L-Concrete,concrete,0.15,0.0018,0.05,1,2,0.545567711511879
L-Concrete,concrete,0.15,0.0014,0.05,0,1,0.672126850894936
L-Concrete,concrete,0.15,0.0014,0.05,0,2,0.6307417387373143
L-Concrete,concrete,0.15,0.0014,0.05,1,2,0.5722480773757507
L-Concrete,concrete,0.15,0.0012,0.05,0,1,0.7023774971851444
L-Concrete,concrete,0.15,0.0012,0.05,0,2,0.7637414331871886
L-Concrete,concrete,0.15,0.0012,0.05,1,2,0.7072842129552963
L-Concrete,concrete,0.12,0.003,0.05,0,1,0.8363817611230595
L-Concrete,concrete,0.12,0.003,0.05,0,2,0.6839472927239736
L-Concrete,concrete,0.12,0.003,0.05,1,2,0.7767224474094978
L-Concrete,concrete,0.12,0.0023,0.05,0,1,0.5396455938892956
L-Concrete,concrete,0.12,0.0023,0.05,0,2,0.4639367228989564
L-Concrete,concrete,0.12,0.0023,0.05,1,2,0.4917246950007345
L-Concrete,concrete,0.12,0.0018,0.05,0,1,0.6770244173743909
L-Concrete,concrete,0.12,0.0018,0.05,0,2,0.7105156236287802
L-Concrete,concrete,0.12,0.0018,0.05,1,2,0.7647866824377314
L-Concrete,concrete,0.12,0.0014,0.05,0,1,0.471173282699573
L-Concrete,concrete,0.12,0.0014,0.05,0,2,0.4319154250819739
L-Concrete,concrete,0.12,0.0014,0.05,1,2,0.6993128657381924
