family,selection,model,lambda_sparse,lambda_sample_smooth,gate_sigma,representative_seed,test_cindex,best_val_cindex
Concrete,nosmooth,Concrete (no smooth),0.001,0.0,0.15,960123,0.7368379663332345,0.7832185666921704
Concrete,smooth,Concrete + patient smooth,0.001,0.05,0.12,1170123,0.7379284364037255,0.776477475597598
L-Concrete,nosmooth,L-Concrete (no smooth),0.0023,0.0,0.15,1240124,0.7173098642604426,0.753216943729568
L-Concrete,smooth,L-Concrete + patient smooth,0.0023,0.1,0.12,1460125,0.7261459672080072,0.7674526442697828
L-LSPIN,nosmooth,L-LSPIN (no smooth),0.0025,0.0,0.17,600123,0.7087901923601188,0.7603869606547495
L-LSPIN,smooth,L-LSPIN + patient smooth,0.0025,0.15,0.17,630124,0.7100495504806756,0.7650645707263917
LSPIN,nosmooth,LSPIN (no smooth),0.0007,0.0,0.2,80125,0.739654389890983,0.784516936774014
LSPIN,smooth,LSPIN + patient smooth,0.0007,0.15,0.2,110125,0.7479864500106351,0.7829867148918411
