histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
KICH,19,0.896551724137931,LSPIN,0.2,0.0012,0.15,30125
KIRC,158,0.6769954893116298,LSPIN,0.2,0.0012,0.15,30125
KIRP,85,0.8640483383685801,LSPIN,0.2,0.0012,0.15,30125
LGG,152,0.7302360434619708,LSPIN,0.2,0.0012,0.15,30125
LIHC,110,0.6422703510082151,LSPIN,0.2,0.0012,0.15,30125
LUAD,150,0.6442288255508389,LSPIN,0.2,0.0012,0.15,30125
LUSC,148,0.5573412698412699,LSPIN,0.2,0.0012,0.15,30125
MESO,25,0.7301038062283737,LSPIN,0.2,0.0012,0.15,30125
OV,112,0.5392538975501113,LSPIN,0.2,0.0012,0.15,30125
PAAD,53,0.6932826362484157,LSPIN,0.2,0.0012,0.15,30125
PCPG,53,0.9333333333333332,LSPIN,0.2,0.0012,0.15,30125
PRAD,149,0.1785714285714285,LSPIN,0.2,0.0012,0.15,30125
READ,47,0.6291079812206573,LSPIN,0.2,0.0012,0.15,30125
SARC,77,0.6400359066427289,LSPIN,0.2,0.0012,0.15,30125
SKCM,29,0.3629032258064516,LSPIN,0.2,0.0012,0.15,30125
STAD,105,0.5542521994134897,LSPIN,0.2,0.0012,0.15,30125
TGCT,40,0.3888888888888889,LSPIN,0.2,0.0012,0.15,30125
THCA,150,0.7,LSPIN,0.2,0.0012,0.15,30125
THYM,35,0.86,LSPIN,0.2,0.0012,0.15,30125
UCEC,162,0.6603107344632768,LSPIN,0.2,0.0012,0.15,30125
UCS,16,0.7407407407407407,LSPIN,0.2,0.0012,0.15,30125
UVM,24,0.7090909090909091,LSPIN,0.2,0.0012,0.15,30125
ACC,24,0.7593984962406015,LSPIN,0.2,0.0009,0.15,70123
BLCA,121,0.5548887221805452,LSPIN,0.2,0.0009,0.15,70123
BRCA,321,0.5311094452773614,LSPIN,0.2,0.0009,0.15,70123
CESC,87,0.5814696485623003,LSPIN,0.2,0.0009,0.15,70123
CHOL,11,0.2424242424242424,LSPIN,0.2,0.0009,0.15,70123
COAD,130,0.564589352042922,LSPIN,0.2,0.0009,0.15,70123
DLBC,14,0.4888888888888889,LSPIN,0.2,0.0009,0.15,70123
ESCA,48,0.523936170212766,LSPIN,0.2,0.0009,0.15,70123
GBM,46,0.5593434343434344,LSPIN,0.2,0.0009,0.15,70123
HNSC,150,0.5779524924723988,LSPIN,0.2,0.0009,0.15,70123
KICH,19,0.9310344827586208,LSPIN,0.2,0.0009,0.15,70123
KIRC,158,0.6762110217689743,LSPIN,0.2,0.0009,0.15,70123
KIRP,85,0.7990936555891238,LSPIN,0.2,0.0009,0.15,70123
LGG,152,0.8242787560884226,LSPIN,0.2,0.0009,0.15,70123
LIHC,110,0.6277072442120986,LSPIN,0.2,0.0009,0.15,70123
LUAD,150,0.6090559935314331,LSPIN,0.2,0.0009,0.15,70123
LUSC,148,0.4876984126984127,LSPIN,0.2,0.0009,0.15,70123
MESO,25,0.6816608996539792,LSPIN,0.2,0.0009,0.15,70123
OV,112,0.5682071269487751,LSPIN,0.2,0.0009,0.15,70123
PAAD,53,0.6489226869455006,LSPIN,0.2,0.0009,0.15,70123
PCPG,53,0.9333333333333332,LSPIN,0.2,0.0009,0.15,70123
PRAD,149,0.1607142857142857,LSPIN,0.2,0.0009,0.15,70123
READ,47,0.5633802816901409,LSPIN,0.2,0.0009,0.15,70123
SARC,77,0.6535008976660682,LSPIN,0.2,0.0009,0.15,70123
SKCM,29,0.6209677419354839,LSPIN,0.2,0.0009,0.15,70123
STAD,105,0.436950146627566,LSPIN,0.2,0.0009,0.15,70123
TGCT,40,0.4166666666666667,LSPIN,0.2,0.0009,0.15,70123
THCA,150,0.7515625,LSPIN,0.2,0.0009,0.15,70123
THYM,35,0.58,LSPIN,0.2,0.0009,0.15,70123
UCEC,162,0.6555437853107344,LSPIN,0.2,0.0009,0.15,70123
UCS,16,0.4691358024691358,LSPIN,0.2,0.0009,0.15,70123
UVM,24,0.7818181818181819,LSPIN,0.2,0.0009,0.15,70123
ACC,24,0.8120300751879699,LSPIN,0.2,0.0009,0.15,70124
BLCA,121,0.592898224556139,LSPIN,0.2,0.0009,0.15,70124
BRCA,321,0.6551724137931034,LSPIN,0.2,0.0009,0.15,70124
CESC,87,0.7476038338658147,LSPIN,0.2,0.0009,0.15,70124
CHOL,11,0.4242424242424242,LSPIN,0.2,0.0009,0.15,70124
COAD,130,0.5575732562938506,LSPIN,0.2,0.0009,0.15,70124
DLBC,14,0.4,LSPIN,0.2,0.0009,0.15,70124
ESCA,48,0.5159574468085106,LSPIN,0.2,0.0009,0.15,70124
GBM,46,0.5441919191919192,LSPIN,0.2,0.0009,0.15,70124
