model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,mean_Ksoft,mean_Khard
Concrete,concrete,0.15,0.001,0.0,0.7403344357865914,201.1059112548828,201.10920206705728
Concrete,concrete,0.12,0.001,0.05,0.7426897562719503,202.69100952148438,202.68443298339844
L-Concrete,concrete,0.15,0.0023,0.0,0.7195744370647982,267.3639628092448,267.36244710286456
L-Concrete,concrete,0.12,0.0023,0.1,0.7220175094342638,266.3864491780599,266.38197835286456
L-LSPIN,lspin_tf,0.17,0.0025,0.0,0.7125893621249387,453.68971761067706,453.68958536783856
L-LSPIN,lspin_tf,0.17,0.0025,0.15,0.7102694919028604,454.64527384440106,454.64515177408856
LSPIN,lspin_tf,0.2,0.0007,0.0,0.7435811306736649,469.0231221516927,469.0247802734375
LSPIN,lspin_tf,0.2,0.0007,0.15,0.7453506480407986,469.8700256347656,469.86976114908856
