model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
L-LSPIN,lspin_tf,0.17,0.0025,0.0,5,9,0.2708739576899176,0.3989686814228247
L-LSPIN,lspin_tf,0.17,0.0025,0.0,5,10,0.2214033589953109,0.3378339082688873
L-LSPIN,lspin_tf,0.17,0.0025,0.0,5,11,0.1691962161692042,0.3283666854426232
L-LSPIN,lspin_tf,0.17,0.0025,0.0,6,7,0.2865646862554428,0.3874049533518139
L-LSPIN,lspin_tf,0.17,0.0025,0.0,6,8,0.3474525544924729,0.4402175843544062
L-LSPIN,lspin_tf,0.17,0.0025,0.0,6,9,0.2806948956600967,0.3706460165798562
L-LSPIN,lspin_tf,0.17,0.0025,0.0,6,10,0.3208986853877447,0.4043334754551788
L-LSPIN,lspin_tf,0.17,0.0025,0.0,6,11,0.3482871812911932,0.4326452376744252
L-LSPIN,lspin_tf,0.17,0.0025,0.0,7,8,0.2965665795671852,0.3969194470685438
L-LSPIN,lspin_tf,0.17,0.0025,0.0,7,9,0.3830444758150439,0.436601586636429
L-LSPIN,lspin_tf,0.17,0.0025,0.0,7,10,0.3298201995780762,0.4094394212105143
L-LSPIN,lspin_tf,0.17,0.0025,0.0,7,11,0.32211964442255,0.3880606587202298
L-LSPIN,lspin_tf,0.17,0.0025,0.0,8,9,0.3170181538434958,0.4071671605064312
L-LSPIN,lspin_tf,0.17,0.0025,0.0,8,10,0.2830618988149372,0.3815751739928634
L-LSPIN,lspin_tf,0.17,0.0025,0.0,8,11,0.3401750881298274,0.4496646653347609
L-LSPIN,lspin_tf,0.17,0.0025,0.0,9,10,0.2742771984849386,0.3764528687138914
L-LSPIN,lspin_tf,0.17,0.0025,0.0,9,11,0.3834119600562212,0.4982774669913138
L-LSPIN,lspin_tf,0.17,0.0025,0.0,10,11,0.3396313576642607,0.4396235031402022
L-Concrete,concrete,0.15,0.0023,0.0,3,4,0.400054451899271,0.4480385496697578
L-Concrete,concrete,0.15,0.0023,0.0,3,5,0.3601981601407227,0.455905327686567
L-Concrete,concrete,0.15,0.0023,0.0,3,6,0.200408436024341,0.2922440908650257
L-Concrete,concrete,0.15,0.0023,0.0,3,7,0.2522507734966684,0.3247712363978222
L-Concrete,concrete,0.15,0.0023,0.0,3,8,0.2863601316182343,0.3350984586222695
L-Concrete,concrete,0.15,0.0023,0.0,3,9,0.3196765639119729,0.4154454690540685
L-Concrete,concrete,0.15,0.0023,0.0,3,10,0.2941683907172343,0.3711919409534226
L-Concrete,concrete,0.15,0.0023,0.0,3,11,0.3690337822805186,0.433194939923169
L-Concrete,concrete,0.15,0.0023,0.0,4,5,0.3118031679351289,0.439197213357282
L-Concrete,concrete,0.15,0.0023,0.0,4,6,0.2829273742228282,0.3955652884957035
L-Concrete,concrete,0.15,0.0023,0.0,4,7,0.318532259441687,0.4231582716119745
L-Concrete,concrete,0.15,0.0023,0.0,4,8,0.2169794004166335,0.3311593977704081
L-Concrete,concrete,0.15,0.0023,0.0,4,9,0.3434631310478437,0.4333573458858427
L-Concrete,concrete,0.15,0.0023,0.0,4,10,0.2201824191733373,0.3209466949704712
