family,selection,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_Khard,mean_gene_union_count,mean_test_c
Concrete,nosmooth,0.15,0.001,0.0,199.8193613688151,492.0833333333333,0.7403989702447467
Concrete,smooth,0.12,0.001,0.05,195.37761433919272,454.8333333333333,0.7426045008852579
L-Concrete,nosmooth,0.15,0.0023,0.0,270.7440694173177,465.0833333333333,0.7206566686938226
L-Concrete,smooth,0.12,0.0023,0.1,274.4499282836914,411.3333333333333,0.7231843099131918
L-LSPIN,nosmooth,0.17,0.0025,0.0,451.4977773030599,705.0833333333334,0.7126513064670267
L-LSPIN,smooth,0.17,0.0025,0.15,482.8681411743164,696.9166666666666,0.7155580720249489
LSPIN,nosmooth,0.2,0.0007,0.0,458.9843343098958,978.75,0.7431720795723599
LSPIN,smooth,0.2,0.0007,0.15,480.2395375569661,1008.5,0.7430267834228578
