model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.17,0.0009,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,270124,1,27,1,0.7488728314175213,0.7841691590735202,1,388.3911743164063,388.3956604003906,0.9831137909952204,1007.0,836.0,678.5165712979876
LSPIN,lspin_tf,mlp,0.17,0.0009,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,270125,2,27,1,0.7487882001551823,0.7862616215714915,4,396.38275146484375,396.38372802734375,0.9757684567113594,714.0,646.0,541.3739825778549
LSPIN,lspin_tf,mlp,0.17,0.0007,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,310123,0,31,1,0.7472363773625603,0.7760659386520137,3,508.0604248046875,508.0620727539063,0.9803663612235688,1006.0,911.0,720.8679789039503
LSPIN,lspin_tf,mlp,0.17,0.0007,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,310124,1,31,1,0.7488398776516547,0.786250028981475,3,507.2814025878906,507.2756958007813,0.98392964420506,984.0,891.0,742.9268888647873
LSPIN,lspin_tf,mlp,0.17,0.0007,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,310125,2,31,1,0.7414293995524279,0.773840161368853,3,487.06646728515625,487.07470703125,0.980813978780092,981.0,856.0,700.8259271329088
LSPIN,lspin_tf,mlp,0.17,0.0006,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,350123,0,35,1,0.7420109586250491,0.7811782708492732,3,585.6007690429688,585.5980224609375,0.9858288809665896,1125.0,1026.0,861.8829036929095
LSPIN,lspin_tf,mlp,0.17,0.0006,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,350124,1,35,1,0.7499887657616364,0.7766455681528367,1,637.8474731445312,637.8677368164062,0.9894932380682212,1481.0,1252.0,1049.1388987241537
LSPIN,lspin_tf,mlp,0.17,0.0006,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,350125,2,35,1,0.7407774392527284,0.7810449560640839,4,615.60498046875,615.598388671875,0.9855900162993878,1189.0,1081.0,883.8271223976178
LSPIN,lspin_tf,mlp,0.17,0.0005,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,390123,0,39,1,0.7434706606630896,0.7753298091859683,1,731.6390991210938,731.6292724609375,0.9899229516618404,1512.0,1341.0,1117.3615325630683
LSPIN,lspin_tf,mlp,0.17,0.0005,0.15,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,390124,1,39,1,0.7491551852750591,0.772257772831606,1,725.267333984375,725.2623901367188,0.9886566776373512,1477.0,1310.0,1111.7395619071135
