model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_cluster_ari,mean_cluster_nmi
L-LSPIN,0.17,0.0011,0.05,0.2877056703835713,0.4183595593152902
L-LSPIN,0.17,0.0011,0.1,0.4373143598415964,0.5599716337647811
L-LSPIN,0.17,0.0011,0.15,0.441567367457549,0.5732930996581801
L-LSPIN,0.17,0.0014,0.0,0.3613601193965468,0.430369262727965
L-LSPIN,0.17,0.0014,0.05,0.3713576279856833,0.4738561485402854
L-LSPIN,0.17,0.0014,0.1,0.4428268180707793,0.5516263345678993
L-LSPIN,0.17,0.0014,0.15,0.5330689725821017,0.6290610712513311
L-LSPIN,0.17,0.0018,0.0,0.4134786380300745,0.517575332853435
L-LSPIN,0.17,0.0018,0.05,0.3776578764522021,0.4513965911235308
L-LSPIN,0.17,0.0018,0.1,0.4086767475725153,0.5161452851408997
L-LSPIN,0.17,0.0018,0.15,0.40851375398697,0.579996905388799
L-LSPIN,0.17,0.0025,0.0,0.309665236221404,0.4134894207135879
L-LSPIN,0.17,0.0025,0.05,0.2870611927210493,0.3941566468588489
L-LSPIN,0.17,0.0025,0.1,0.3589435900908968,0.457170342391538
L-LSPIN,0.17,0.0025,0.15,0.3789774846921598,0.490961923154573
L-LSPIN,0.2,0.0009,0.0,0.4555860348059424,0.5417427403146668
L-LSPIN,0.2,0.0009,0.05,0.4209987639588943,0.518944778564732
L-LSPIN,0.2,0.0009,0.1,0.4415458621997949,0.5765912502192835
L-LSPIN,0.2,0.0009,0.15,0.4309476802079356,0.5465052095021292
L-LSPIN,0.2,0.0011,0.0,0.3652890737764925,0.4391809410315013
L-LSPIN,0.2,0.0011,0.05,0.4712536431815903,0.5507770870811955
L-LSPIN,0.2,0.0011,0.1,0.3538558413341343,0.4586094889780766
L-LSPIN,0.2,0.0011,0.15,0.5057202658011593,0.6043619144110176
L-LSPIN,0.2,0.0014,0.0,0.2228525674504277,0.3217882916044937
L-LSPIN,0.2,0.0014,0.05,0.4609285072917282,0.551837444046568
L-LSPIN,0.2,0.0014,0.1,0.35219392569265,0.4892838397830372
L-LSPIN,0.2,0.0014,0.15,0.4155874936161637,0.5060049344587514
L-LSPIN,0.2,0.0018,0.0,0.3526127288838435,0.4563600088159915
L-LSPIN,0.2,0.0018,0.05,0.4377552429097617,0.4811135398082277
L-LSPIN,0.2,0.0018,0.1,0.3151875507647818,0.4303426586081189
L-LSPIN,0.2,0.0018,0.15,0.4995992757450953,0.5840745727023896
L-LSPIN,0.2,0.0025,0.0,0.3889608540712873,0.460028677312924
L-LSPIN,0.2,0.0025,0.05,0.422499009434806,0.4918492567339592
L-LSPIN,0.2,0.0025,0.1,0.4456558716282149,0.5378073111328511
L-LSPIN,0.2,0.0025,0.15,0.337116772968779,0.4748933048446437
LSPIN,0.17,0.0005,0.0,0.3483835317548313,0.456895066075938
LSPIN,0.17,0.0005,0.05,0.3545200252951091,0.5260536720418516
LSPIN,0.17,0.0005,0.1,0.4623625324990419,0.5763384089342648
LSPIN,0.17,0.0005,0.15,0.6193404644018209,0.6950378685603055
LSPIN,0.17,0.0006,0.0,0.2901581733192765,0.4008466040652527
LSPIN,0.17,0.0006,0.05,0.3856198164822144,0.5149115219128297
LSPIN,0.17,0.0006,0.1,0.4020360552161972,0.5292606682133443
LSPIN,0.17,0.0006,0.15,0.4709827278283436,0.5865444371143651
LSPIN,0.17,0.0007,0.0,0.4685784120554279,0.5437497762849884
LSPIN,0.17,0.0007,0.05,0.359893372388434,0.4693183372847513
LSPIN,0.17,0.0007,0.1,0.3925589758342447,0.509796065533466
LSPIN,0.17,0.0007,0.15,0.3081104559992144,0.4452701443431511
LSPIN,0.17,0.0009,0.0,0.3088753457299535,0.4141552785084266
LSPIN,0.17,0.0009,0.05,0.3613481111035146,0.4725172402261093
LSPIN,0.17,0.0009,0.1,0.4782090779510182,0.5780501958952746
LSPIN,0.17,0.0009,0.15,0.5242862618311284,0.6278097273908124
LSPIN,0.17,0.0012,0.0,0.4153037091942768,0.4712723087054986
LSPIN,0.17,0.0012,0.05,0.3827518052828991,0.4990628090865535
LSPIN,0.17,0.0012,0.1,0.4599329440400779,0.5279032220095751
LSPIN,0.17,0.0012,0.15,0.4334959321164895,0.497919171077525
LSPIN,0.2,0.0005,0.0,0.4239497404504542,0.505890943686568
LSPIN,0.2,0.0005,0.05,0.5175627691494106,0.6423519927903115
LSPIN,0.2,0.0005,0.1,0.5076345668136323,0.6136219608736231
LSPIN,0.2,0.0005,0.15,0.4801206961644704,0.6053847964944915
LSPIN,0.2,0.0006,0.0,0.3309308751014803,0.4344326890669046
LSPIN,0.2,0.0006,0.05,0.391880799313704,0.5302287488607528
LSPIN,0.2,0.0006,0.1,0.403146222116505,0.5095939066450123
LSPIN,0.2,0.0006,0.15,0.5006929274433105,0.6257874757919955
LSPIN,0.2,0.0007,0.0,0.3271780714718559,0.426226762194651
LSPIN,0.2,0.0007,0.05,0.3046765999786717,0.4078759923405005
LSPIN,0.2,0.0007,0.1,0.4701196948625643,0.5538746521812787
LSPIN,0.2,0.0007,0.15,0.4646499840422851,0.5802475110936527
LSPIN,0.2,0.0009,0.0,0.3313399258607121,0.4367743533830261
LSPIN,0.2,0.0009,0.05,0.392178713201188,0.4626771002768522
LSPIN,0.2,0.0009,0.1,0.3600651602065729,0.4703973944685672
LSPIN,0.2,0.0009,0.15,0.3554898949012464,0.4820042156473818
LSPIN,0.2,0.0012,0.0,0.3224423759425883,0.4121280520820274
LSPIN,0.2,0.0012,0.05,0.3625580646854947,0.4879743624004892
LSPIN,0.2,0.0012,0.1,0.3291948345595876,0.4670138501371049
LSPIN,0.2,0.0012,0.15,0.4426258053373231,0.5526979247016839
