lambda_multiplier,sigma_multiplier,lspin_init_bias,a,gate_sigma_value,lambda_sparse_value,per_patient_stability_median,per_patient_stability_iqr_low,per_patient_stability_iqr_high,per_patient_null_stability_median,per_patient_median_k,dead_zone_fraction,mean_test_cindex,n_bootstrap,stage
1.0,1.0,0.0,1.0,0.2,0.007,-0.0015139045185491584,-0.00171004156763771,0.001704724805755703,-0.00029478509537983477,1116.25,0.9971376028806586,0.7200120353035571,12,baseline
1.0,8.0,0.0,1.0,1.6,0.007,0.000766619293338211,0.0005048316974677614,0.005806015744400983,-0.00022718664525167576,233.0,0.9988312757201646,0.7083110457341535,12,A_sigma
1.0,16.0,0.0,1.0,3.2,0.007,0.005874668509278258,0.00516151307382301,0.007201106109093525,-0.00015597197469041646,85.75,0.9995693801440328,0.691851653739859,12,A_sigma
1.0,32.0,0.0,1.0,6.4,0.007,0.010837108437389664,0.01038984399727036,0.011304199965942507,0.00018842354955306284,52.5,0.9996160622427985,0.7129357225639653,12,A_sigma
1.0,64.0,0.0,1.0,12.8,0.007,0.015533448476693523,0.01300488833152813,0.016528674640940294,5.3786742352901484e-05,53.5,0.9995777391975308,0.7130248729606848,12,A_sigma
1.0,1.0,0.0,1.0,0.2,0.007,0.00270828745733237,0.0011168307247033382,0.002962732514362021,-0.0004131407334537762,1264.25,0.9968033050411522,0.7103949362574663,12,B_init_bias
1.0,1.0,0.0,1.0,0.2,0.007,0.0006741398875405036,0.0005701770407653406,0.0007913701573306064,-0.0002048431810927065,1178.25,0.9962638245884774,0.7177721315859854,12,C_a
1.0,64.0,0.0,1.0,12.8,0.007,0.011873978140019392,0.010917685886155604,0.01409944863437343,-0.00012532282459032373,44.0,0.9997183641975308,0.7110992243915485,15,D_combined
