gene,probe_id
ENSG00000090382,ENSG00000090382.5
ENSG00000229314,ENSG00000229314.5
ENSG00000121552,ENSG00000121552.3
ENSG00000122852,ENSG00000122852.13
ENSG00000171560,ENSG00000171560.13
ENSG00000137440,ENSG00000137440.4
ENSG00000167653,ENSG00000167653.4
ENSG00000172005,ENSG00000172005.9
ENSG00000253755,ENSG00000253755.1
ENSG00000198848,ENSG00000198848.11
ENSG00000167183,ENSG00000167183.2
ENSG00000065618,ENSG00000065618.15
ENSG00000105707,ENSG00000105707.12
ENSG00000240382,ENSG00000240382.3
ENSG00000052344,ENSG00000052344.14
ENSG00000240864,ENSG00000240864.3
ENSG00000196188,ENSG00000196188.9
ENSG00000058085,ENSG00000058085.13
ENSG00000171346,ENSG00000171346.12
ENSG00000211962,ENSG00000211962.2
ENSG00000131771,ENSG00000131771.12
ENSG00000165474,ENSG00000165474.5
ENSG00000133048,ENSG00000133048.11
ENSG00000163347,ENSG00000163347.5
ENSG00000130600,ENSG00000130600.14
ENSG00000211965,ENSG00000211965.3
ENSG00000132692,ENSG00000132692.17
ENSG00000107159,ENSG00000107159.11
ENSG00000169562,ENSG00000169562.9
ENSG00000107485,ENSG00000107485.14
ENSG00000125730,ENSG00000125730.15
ENSG00000137975,ENSG00000137975.7
ENSG00000244575,ENSG00000244575.3
ENSG00000274735,ENSG00000274735.1
ENSG00000211445,ENSG00000211445.10
ENSG00000196878,ENSG00000196878.11
ENSG00000278196,ENSG00000278196.1
ENSG00000109072,ENSG00000109072.12
ENSG00000242887,ENSG00000242887.1
ENSG00000170373,ENSG00000170373.7
ENSG00000165828,ENSG00000165828.12
ENSG00000089199,ENSG00000089199.8
ENSG00000225972,ENSG00000225972.1
ENSG00000224650,ENSG00000224650.2
ENSG00000154277,ENSG00000154277.11
ENSG00000165376,ENSG00000165376.9
ENSG00000163216,ENSG00000163216.6
ENSG00000136872,ENSG00000136872.16
ENSG00000160678,ENSG00000160678.10
ENSG00000002726,ENSG00000002726.18
ENSG00000211638,ENSG00000211638.2
ENSG00000247627,ENSG00000247627.2
ENSG00000267795,ENSG00000267795.4
ENSG00000111341,ENSG00000111341.8
ENSG00000163739,ENSG00000163739.4
ENSG00000203785,ENSG00000203785.7
ENSG00000147676,ENSG00000147676.12
ENSG00000164692,ENSG00000164692.16
ENSG00000107317,ENSG00000107317.10
ENSG00000105894,ENSG00000105894.10
ENSG00000170465,ENSG00000170465.9
ENSG00000130513,ENSG00000130513.6
ENSG00000106927,ENSG00000106927.10
ENSG00000110484,ENSG00000110484.6
ENSG00000102109,ENSG00000102109.8
ENSG00000163017,ENSG00000163017.12
ENSG00000165092,ENSG00000165092.11
ENSG00000099812,ENSG00000099812.7
ENSG00000239855,ENSG00000239855.1
ENSG00000163586,ENSG00000163586.8
ENSG00000125144,ENSG00000125144.12
ENSG00000013588,ENSG00000013588.5
ENSG00000254709,ENSG00000254709.5
ENSG00000129451,ENSG00000129451.10
ENSG00000137699,ENSG00000137699.15
ENSG00000091583,ENSG00000091583.9
ENSG00000125618,ENSG00000125618.15
ENSG00000102554,ENSG00000102554.12
ENSG00000110245,ENSG00000110245.10
ENSG00000047457,ENSG00000047457.12
ENSG00000227063,ENSG00000227063.5
ENSG00000140519,ENSG00000140519.11
ENSG00000131746,ENSG00000131746.11
ENSG00000171234,ENSG00000171234.12
ENSG00000137077,ENSG00000137077.6
ENSG00000096088,ENSG00000096088.15
ENSG00000116299,ENSG00000116299.15
ENSG00000123838,ENSG00000123838.9
ENSG00000157005,ENSG00000157005.3
ENSG00000134762,ENSG00000134762.15
ENSG00000184363,ENSG00000184363.8
ENSG00000167755,ENSG00000167755.12
ENSG00000184012,ENSG00000184012.10
ENSG00000129354,ENSG00000129354.10
ENSG00000121742,ENSG00000121742.14
ENSG00000160307,ENSG00000160307.8
ENSG00000111319,ENSG00000111319.11
ENSG00000144035,ENSG00000144035.3
ENSG00000231475,ENSG00000231475.3
ENSG00000115884,ENSG00000115884.9
ENSG00000132329,ENSG00000132329.9
ENSG00000167751,ENSG00000167751.11
ENSG00000096696,ENSG00000096696.12
ENSG00000166825,ENSG00000166825.12
ENSG00000181885,ENSG00000181885.17
ENSG00000130203,ENSG00000130203.8
ENSG00000185686,ENSG00000185686.16
ENSG00000159763,ENSG00000159763.3
ENSG00000227097,ENSG00000227097.5
ENSG00000257017,ENSG00000257017.7
ENSG00000115414,ENSG00000115414.17
ENSG00000109472,ENSG00000109472.12
ENSG00000091513,ENSG00000091513.13
ENSG00000074410,ENSG00000074410.12
ENSG00000171431,ENSG00000171431.3
ENSG00000039068,ENSG00000039068.17
ENSG00000161798,ENSG00000161798.6
ENSG00000130208,ENSG00000130208.8
ENSG00000179913,ENSG00000179913.9
ENSG00000095932,ENSG00000095932.6
ENSG00000132746,ENSG00000132746.13
ENSG00000189001,ENSG00000189001.9
ENSG00000163435,ENSG00000163435.14
ENSG00000181617,ENSG00000181617.5
ENSG00000275385,ENSG00000275385.1
ENSG00000112378,ENSG00000112378.11
ENSG00000185633,ENSG00000185633.9
ENSG00000114638,ENSG00000114638.6
ENSG00000014257,ENSG00000014257.14
ENSG00000105664,ENSG00000105664.9
ENSG00000131400,ENSG00000131400.6
ENSG00000166145,ENSG00000166145.13
ENSG00000172724,ENSG00000172724.10
ENSG00000262406,ENSG00000262406.2
ENSG00000138755,ENSG00000138755.5
ENSG00000062038,ENSG00000062038.12
ENSG00000073282,ENSG00000073282.11
ENSG00000233041,ENSG00000233041.7
ENSG00000198643,ENSG00000198643.5
