histology,n_test,cindex,model_family,lambda_sparse,lambda_sample_smooth,seed
infiltratingductalcarcinoma,220,0.5983633387888707,LSPIN,0.012,0.0,30127
infiltratinglobularcarcinoma,60,0.6666666666666666,LSPIN,0.012,0.0,30127
other,23,0.3783783783783784,LSPIN,0.012,0.0,30127
infiltratingductalcarcinoma,220,0.5417348608837971,LSPIN,0.012,0.0,30128
infiltratinglobularcarcinoma,60,0.5767195767195767,LSPIN,0.012,0.0,30128
other,23,0.40540540540540543,LSPIN,0.012,0.0,30128
infiltratingductalcarcinoma,220,0.6216039279869067,LSPIN,0.012,0.0,30129
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,0.012,0.0,30129
other,23,0.5405405405405406,LSPIN,0.012,0.0,30129
infiltratingductalcarcinoma,220,0.7201309328968903,LSPIN,0.012,0.0,30130
infiltratinglobularcarcinoma,60,0.5714285714285714,LSPIN,0.012,0.0,30130
other,23,0.5675675675675675,LSPIN,0.012,0.0,30130
infiltratingductalcarcinoma,220,0.5738134206219313,LSPIN,0.012,0.0,30131
infiltratinglobularcarcinoma,60,0.49206349206349204,LSPIN,0.012,0.0,30131
other,23,0.5135135135135135,LSPIN,0.012,0.0,30131
infiltratingductalcarcinoma,220,0.6245499181669394,LSPIN,0.012,0.0,30132
infiltratinglobularcarcinoma,60,0.5555555555555556,LSPIN,0.012,0.0,30132
other,23,0.4594594594594595,LSPIN,0.012,0.0,30132
infiltratingductalcarcinoma,220,0.5296235679214403,LSPIN,0.01,0.0,40123
infiltratinglobularcarcinoma,60,0.5396825396825397,LSPIN,0.01,0.0,40123
other,23,0.5135135135135135,LSPIN,0.01,0.0,40123
infiltratingductalcarcinoma,220,0.537152209492635,LSPIN,0.01,0.0,40124
infiltratinglobularcarcinoma,60,0.4021164021164021,LSPIN,0.01,0.0,40124
other,23,0.4864864864864865,LSPIN,0.01,0.0,40124
infiltratingductalcarcinoma,220,0.5499181669394435,LSPIN,0.01,0.0,40125
