model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi,rank_cindex,rank_affinity,rank_risk,rank_cluster,rank_parsimony,joint_score
Concrete,0.1,0.0022,528.8746002197265,61.623417888005406,0.5906470106470106,0.032183983542447926,0.9750437082564194,0.003967904872189638,1324.6,1148.9,924.8460695412707,10,0.9054799138573134,0.5237753569344182,2.1765908009294255,0.6987190055537275,0.6613563542800287,0.7352941176470589,0.9705882352941176,0.7647058823529411,0.9705882352941176,0.6764705882352942,0.823529411764706
Concrete,0.2,0.0022,557.4938934326171,127.87239412361032,0.6004586404586405,0.030157404894871676,0.9748156216888624,0.005792680884840418,1445.2,1260.0,1007.920884785314,10,0.8725498258788226,0.5525391086467472,2.1905209820553737,0.5979020209250898,0.5847904374522758,0.9411764705882353,0.6764705882352942,0.9411764705882353,0.8823529411764706,0.6176470588235294,0.8117647058823529
Concrete,0.7,0.003,346.94823150634767,80.92779328102428,0.585028665028665,0.035407383965331635,0.9619829235456182,0.00718391419733927,925.9,784.6,633.2094322411252,10,0.8843304383494741,0.5280567176621251,2.140024075473811,0.4959232662823737,0.5183897770097999,0.7058823529411765,0.9117647058823529,0.7941176470588235,0.6764705882352942,0.8235294117647058,0.7823529411764705
Concrete,0.7,0.0014,1013.4485595703125,210.96786712252896,0.6084520884520884,0.04613224495935487,0.9839805034398683,0.005093057498482309,2048.9,1850.6,1536.8707234024564,10,0.8668606244977883,0.5641169723104569,2.310668794266678,0.4742074751759977,0.5011589820531489,0.9705882352941176,0.6470588235294118,1.0,0.5882352941176471,0.4117647058823529,0.7235294117647059
Concrete,0.2,0.003,309.93730010986326,68.19107376018093,0.5804258804258804,0.04084574944114534,0.960010795615508,0.012005056669296266,860.7,726.0,584.2431409578725,10,0.8764236698096525,0.5330433015945425,2.0059460821365587,0.43401170620736634,0.4806366953126667,0.6764705882352942,0.7647058823529411,0.8235294117647058,0.47058823529411764,0.8823529411764706,0.7235294117647059
Concrete,0.1,0.0014,1098.8617431640625,235.09763199055485,0.5735790335790336,0.04292557883645593,0.9866959265721068,0.0018686400142111986,2251.0,2041.5,1688.9942190013087,10,0.9115338493539389,0.5220732746007364,2.019876263262507,0.7043438073288594,0.653394881203442,0.5588235294117647,1.0,0.7058823529411765,1.0,0.3235294117647059,0.7176470588235294
Concrete,0.4,0.003,343.99774780273435,53.18939372553926,0.5711875511875512,0.04157050734711373,0.9648040803701379,0.009871346077908202,956.2,806.3,646.8717451375469,10,0.8792391882558159,0.5231763342311128,2.0581842613588646,0.4971465903644245,0.5278766805418367,0.4411764705882353,0.7941176470588235,0.7352941176470589,0.7058823529411765,0.7941176470588235,0.6941176470588235
Concrete,0.4,0.0022,577.3678405761718,156.56031542859984,0.5727190827190827,0.03842463955934231,0.9763684015461882,0.003898429309859715,1354.9,1193.6,952.094730453914,10,0.8947685354269814,0.49431261808618854,2.133058984910837,0.5424183435114671,0.5747073624989446,0.5,0.9411764705882353,0.5588235294117647,0.7941176470588235,0.6470588235294118,0.6882352941176471
Concrete,0.7,0.0018,739.5546661376953,163.3670018978749,0.5942014742014743,0.04952102747728357,0.9801429663138161,0.0045388031315632795,1621.7,1454.2,1191.0599430559218,10,0.8645874637641253,0.5381756788614775,2.1539542565997594,0.44086181643384087,0.4777656891571147,0.8235294117647058,0.6176470588235294,0.8529411764705882,0.5,0.5882352941176471,0.6764705882352942
Concrete,0.1,0.003,314.56109313964845,99.1903218709009,0.593030303030303,0.041331492107396416,0.9629365156660936,0.00934253754978474,918.2,763.7,615.6394814173779,10,0.8812691171483616,0.4045652722039188,2.000722264214328,0.4757146281297131,0.4742603428811015,0.7941176470588235,0.8823529411764706,0.17647058823529413,0.6176470588235294,0.8529411764705882,0.6647058823529413
