model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,0.02,0.0,0,1,0.26842598878676477,1.3320735701688082,0.1559633027522936,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.02,0.0,0,2,0.3877160635878859,1.8805744520030236,0.23529411764705882,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.02,0.0,0,3,0.3598204011314805,1.7238599143361049,0.21153846153846154,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.02,0.0,0,4,0.2512418965721555,1.488788107835727,0.17757009345794392,1.6455026455026456,0.2
LSPIN,lspin_tf,0.02,0.0,0,5,0.4534958763300009,1.5671453766691863,0.18867924528301888,2.2723607961703203,0.29896907216494845
LSPIN,lspin_tf,0.02,0.0,0,6,0.4348498227259474,1.958931720836483,0.24752475247524752,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.02,0.0,0,7,0.421003897192486,1.8805744520030236,0.23529411764705882,2.1940035273368608,0.2857142857142857
LSPIN,lspin_tf,0.02,0.0,0,8,0.4646280339088992,1.7238599143361049,0.21153846153846154,2.3507180650037793,0.3125
LSPIN,lspin_tf,0.02,0.0,0,9,0.32669131564962833,1.8022171831695641,0.22330097087378642,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.02,0.0,1,2,0.2843174255185073,1.5671453766691863,0.18867924528301888,1.6455026455026456,0.2
LSPIN,lspin_tf,0.02,0.0,1,3,0.33770012741906347,1.6455026455026456,0.2,1.6455026455026456,0.2
LSPIN,lspin_tf,0.02,0.0,1,4,0.19417161460577542,1.1753590325018897,0.13513513513513514,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.02,0.0,1,5,0.3605467683022903,1.6455026455026456,0.2,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.02,0.0,1,6,0.4175694953989617,1.5671453766691863,0.18867924528301888,2.037288989669942,0.26
LSPIN,lspin_tf,0.02,0.0,1,7,0.35713209223919434,1.488788107835727,0.17757009345794392,2.037288989669942,0.26
LSPIN,lspin_tf,0.02,0.0,1,8,0.2826490924228239,1.4104308390022677,0.16666666666666666,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.02,0.0,1,9,0.37974576137188054,1.8022171831695641,0.22330097087378642,2.3507180650037793,0.3125
LSPIN,lspin_tf,0.02,0.0,2,3,0.29763806994967595,1.6455026455026456,0.2,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.02,0.0,2,4,0.24116749969067808,1.018644494834971,0.11504424778761062,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.02,0.0,2,5,0.3878840692984762,1.5671453766691863,0.18867924528301888,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.02,0.0,2,6,0.33630657361792243,1.488788107835727,0.17757009345794392,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.02,0.0,2,7,0.2825551718536,1.958931720836483,0.24752475247524752,1.488788107835727,0.17757009345794392
LSPIN,lspin_tf,0.02,0.0,2,8,0.2604731144203336,1.6455026455026456,0.2,1.6455026455026456,0.2
LSPIN,lspin_tf,0.02,0.0,2,9,0.301269919982353,1.6455026455026456,0.2,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.02,0.0,3,4,0.04721265360688935,1.0970017636684304,0.125,1.0970017636684304,0.125
LSPIN,lspin_tf,0.02,0.0,3,5,0.30633632484752754,1.488788107835727,0.17757009345794392,1.6455026455026456,0.2
LSPIN,lspin_tf,0.02,0.0,3,6,0.35886764114649244,1.7238599143361049,0.21153846153846154,1.5671453766691863,0.18867924528301888
LSPIN,lspin_tf,0.02,0.0,3,7,0.37725730551870834,2.1940035273368608,0.2857142857142857,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.02,0.0,3,8,0.30689842132617834,1.6455026455026456,0.2,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.02,0.0,3,9,0.18531061558389925,1.3320735701688082,0.1559633027522936,1.488788107835727,0.17757009345794392
LSPIN,lspin_tf,0.02,0.0,4,5,0.22931433422733105,1.253716301335349,0.14545454545454545,1.488788107835727,0.17757009345794392
LSPIN,lspin_tf,0.02,0.0,4,6,0.15270052995652192,1.488788107835727,0.17757009345794392,1.8022171831695641,0.22330097087378642
LSPIN,lspin_tf,0.02,0.0,4,7,0.1693740190286019,1.1753590325018897,0.13513513513513514,1.3320735701688082,0.1559633027522936
LSPIN,lspin_tf,0.02,0.0,4,8,0.17277028146734144,1.018644494834971,0.11504424778761062,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.02,0.0,4,9,0.2020081337131851,1.1753590325018897,0.13513513513513514,1.6455026455026456,0.2
LSPIN,lspin_tf,0.02,0.0,5,6,0.5041852706718547,1.7238599143361049,0.21153846153846154,2.3507180650037793,0.3125
LSPIN,lspin_tf,0.02,0.0,5,7,0.3949053222669134,1.5671453766691863,0.18867924528301888,2.2723607961703203,0.29896907216494845
LSPIN,lspin_tf,0.02,0.0,5,8,0.34215994384518267,1.1753590325018897,0.13513513513513514,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.02,0.0,5,9,0.3951323784292522,1.6455026455026456,0.2,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.02,0.0,6,7,0.4906426187428274,2.037288989669942,0.26,2.1156462585034013,0.2727272727272727
LSPIN,lspin_tf,0.02,0.0,6,8,0.29993066067413743,1.488788107835727,0.17757009345794392,1.7238599143361049,0.21153846153846154
LSPIN,lspin_tf,0.02,0.0,6,9,0.34141557557622676,1.4104308390022677,0.16666666666666666,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.02,0.0,7,8,0.2707826471266769,1.6455026455026456,0.2,1.5671453766691863,0.18867924528301888
LSPIN,lspin_tf,0.02,0.0,7,9,0.3708304097701881,1.8805744520030236,0.23529411764705882,2.037288989669942,0.26
LSPIN,lspin_tf,0.02,0.0,8,9,0.213705682132577,1.253716301335349,0.14545454545454545,1.5671453766691863,0.18867924528301888
LSPIN,lspin_tf,0.015,0.0,0,1,0.28720015901815826,1.6455026455026456,0.2,1.958931720836483,0.24752475247524752
LSPIN,lspin_tf,0.015,0.0,0,2,0.3403755351342407,1.8022171831695641,0.22330097087378642,1.8805744520030236,0.23529411764705882
LSPIN,lspin_tf,0.015,0.0,0,3,0.28448776788627245,1.7238599143361049,0.21153846153846154,1.488788107835727,0.17757009345794392
