model_family,gate_type,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,0.015,0.0,5,7,0.7393812088215164
LSPIN,lspin_tf,0.015,0.0,5,8,0.70961194628418
LSPIN,lspin_tf,0.015,0.0,5,9,0.6960212005312613
LSPIN,lspin_tf,0.015,0.0,6,7,0.679195407350469
LSPIN,lspin_tf,0.015,0.0,6,8,0.8040009778295718
LSPIN,lspin_tf,0.015,0.0,6,9,0.5931508988970087
LSPIN,lspin_tf,0.015,0.0,7,8,0.7541655822801615
LSPIN,lspin_tf,0.015,0.0,7,9,0.7697673494534583
LSPIN,lspin_tf,0.015,0.0,8,9,0.6226508862792548
LSPIN,lspin_tf,0.012,0.0,0,1,0.7942315085184767
LSPIN,lspin_tf,0.012,0.0,0,2,0.846282316007927
LSPIN,lspin_tf,0.012,0.0,0,3,0.6373005604060432
LSPIN,lspin_tf,0.012,0.0,0,4,0.6081445526188481
LSPIN,lspin_tf,0.012,0.0,0,5,0.619489018488271
LSPIN,lspin_tf,0.012,0.0,0,6,0.6793320537320489
LSPIN,lspin_tf,0.012,0.0,0,7,0.8356433191138433
LSPIN,lspin_tf,0.012,0.0,0,8,0.661858356033954
LSPIN,lspin_tf,0.012,0.0,0,9,0.8320556766311885
LSPIN,lspin_tf,0.012,0.0,1,2,0.7421593575823326
LSPIN,lspin_tf,0.012,0.0,1,3,0.48786114475114695
LSPIN,lspin_tf,0.012,0.0,1,4,0.5940334324379102
LSPIN,lspin_tf,0.012,0.0,1,5,0.6414626462562386
LSPIN,lspin_tf,0.012,0.0,1,6,0.570827590593199
LSPIN,lspin_tf,0.012,0.0,1,7,0.664964739241129
LSPIN,lspin_tf,0.012,0.0,1,8,0.5823098534738886
LSPIN,lspin_tf,0.012,0.0,1,9,0.717915054278803
LSPIN,lspin_tf,0.012,0.0,2,3,0.6134860964422196
LSPIN,lspin_tf,0.012,0.0,2,4,0.6158864700884742
LSPIN,lspin_tf,0.012,0.0,2,5,0.5827098660606603
LSPIN,lspin_tf,0.012,0.0,2,6,0.6556029039678969
LSPIN,lspin_tf,0.012,0.0,2,7,0.7942873754328795
LSPIN,lspin_tf,0.012,0.0,2,8,0.6874718606460514
LSPIN,lspin_tf,0.012,0.0,2,9,0.7961256034720415
LSPIN,lspin_tf,0.012,0.0,3,4,0.5619849158465849
LSPIN,lspin_tf,0.012,0.0,3,5,0.48414134003592835
LSPIN,lspin_tf,0.012,0.0,3,6,0.5686021844951321
LSPIN,lspin_tf,0.012,0.0,3,7,0.7587447913871459
LSPIN,lspin_tf,0.012,0.0,3,8,0.5772914610402458
LSPIN,lspin_tf,0.012,0.0,3,9,0.6154248225777816
LSPIN,lspin_tf,0.012,0.0,4,5,0.5315518447629709
LSPIN,lspin_tf,0.012,0.0,4,6,0.559911144595316
LSPIN,lspin_tf,0.012,0.0,4,7,0.657223685359001
LSPIN,lspin_tf,0.012,0.0,4,8,0.5528202701657535
LSPIN,lspin_tf,0.012,0.0,4,9,0.6254384487628462
LSPIN,lspin_tf,0.012,0.0,5,6,0.6260207579674696
LSPIN,lspin_tf,0.012,0.0,5,7,0.6735844880396592
LSPIN,lspin_tf,0.012,0.0,5,8,0.7107962097624801
LSPIN,lspin_tf,0.012,0.0,5,9,0.6233447983608986
LSPIN,lspin_tf,0.012,0.0,6,7,0.7892911620655331
