dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,seed_i,seed_j,affinity_corr
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101124,103123,0.859471895528825
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101124,103124,0.893302303899747
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101124,103125,0.8696839148145535
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101125,102123,0.910098823539378
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101125,102124,0.9086096262604613
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101125,102125,0.8767033495882297
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101125,103123,0.8694393965007666
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101125,103124,0.913007786788363
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,101125,103125,0.9249359178122522
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102123,102124,0.925475732852963
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102123,102125,0.9215602349674696
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102123,103123,0.8577756167288781
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102123,103124,0.8534219560004506
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102123,103125,0.8984212909787707
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102124,102125,0.8959340984841648
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102124,103123,0.8556758062201589
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102124,103124,0.8676410149677959
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102124,103125,0.8851413714654303
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102125,103123,0.8847869246765516
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102125,103124,0.8195435880052786
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,102125,103125,0.8860913332773439
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,103123,103124,0.8844004060639746
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,103123,103125,0.9065668873839721
brca,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.10,LSPIN,lspin_tf,103124,103125,0.916882903984237
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,100124,0.9102424201782253
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,100125,0.9520336808010099
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,101123,0.8714098452938438
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,101124,0.8536299891804563
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,101125,0.8872438060946101
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,102123,0.8366360147360394
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,102124,0.9162750875180473
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,102125,0.8662730096604959
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,103123,0.8977102704626448
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,103124,0.9255814776346559
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100123,103125,0.8947561831105041
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,100125,0.9203879280609579
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,101123,0.8505490870636463
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,101124,0.8014366270890554
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,101125,0.8828980540947775
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,102123,0.8821963113716862
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,102124,0.9147181391466411
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,102125,0.8803949217500275
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,103123,0.8836721620319627
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,103124,0.9288051674774317
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100124,103125,0.8933631665309851
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,101123,0.8165942341867208
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,101124,0.7987317068853099
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,101125,0.8367150326220281
brca,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,100125,102123,0.7844018554406399
