dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,mean_affinity_corr,std_affinity_corr,n_pairs
brca,goal1,screen,goal1_smooth_lconcrete_lamx3p0,L-Concrete smooth x3,L-Concrete,concrete,0.8730875658633309,0.07108303035525715,10
brca,goal1,screen,goal1_smooth_llspin,L-LSPIN smooth,L-LSPIN,lspin_tf,0.9347678130463095,0.023957543284987712,10
brca,goal1,screen,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.9382449563724737,0.02491295480491461,10
brca,goal1,screen,goal1_smooth_llspin_lamx1p25,L-LSPIN smooth x1.2,L-LSPIN,lspin_tf,0.9340194286000294,0.0176393095627393,10
brca,goal1,screen,goal1_smooth_llspin_lamx1p5,L-LSPIN smooth x1.5,L-LSPIN,lspin_tf,0.9177120709065607,0.035811684106941126,10
brca,goal1,screen,goal1_smooth_llspin_lamx2p0,L-LSPIN smooth x2,L-LSPIN,lspin_tf,0.8720264516432057,0.024812880217766894,10
brca,goal1,screen,goal1_smooth_llspin_lamx3p0,L-LSPIN smooth x3,L-LSPIN,lspin_tf,0.8361400281601424,0.049379834142182964,10
brca,goal1,screen,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.9124478600509599,0.03722319524337414,10
brca,goal1,screen,goal1_smooth_lspin_lamx1p25,LSPIN smooth x1.2,LSPIN,lspin_tf,0.8814358581782533,0.06215579112278146,10
brca,goal1,screen,goal1_smooth_lspin_lamx1p5,LSPIN smooth x1.5,LSPIN,lspin_tf,0.890724043026044,0.04980452777188681,10
brca,goal1,screen,goal1_smooth_lspin_lamx2p0,LSPIN smooth x2,LSPIN,lspin_tf,0.8754157954066069,0.05565330972565366,10
brca,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,lspin_tf,0.8607025078891969,0.06281440055291276,10
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,lspin_tf,0.8520321302402845,0.04378854688810272,10
kipan,goal1,fixed_init_eval,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,lspin_tf,0.9920536694136424,0.004657890905236947,66
kipan,goal1,fixed_init_eval,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,concrete,0.9876036021515318,0.00501375414032319,66
kipan,goal1,fixed_init_eval,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.9920536694136424,0.004657890905236947,66
kipan,goal1,fixed_init_eval,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,global_stg,,,66
kipan,goal1,fixed_init_eval,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.9918982627232299,0.008672438863262246,66
kipan,goal1,fixed_init_eval,goal1_smooth_lconcrete_lamx1p25,L-Concrete smooth x1.2,L-Concrete,concrete,0.9880957459763909,0.007099584091351058,66
kipan,goal1,fixed_init_eval,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,lspin_tf,0.9876588734277171,0.00972672167161984,66
kipan,goal1,fixed_init_eval,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.9961009227032409,0.002621113208213212,66
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,concrete,0.9674413515336253,0.004344023567782254,10
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,concrete,0.9288577415403788,0.018477737782395115,10
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,lspin_tf,0.9561252624877152,0.009000784919549719,10
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,lspin_tf,0.9685306392164984,0.009533705604459281,10
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,lspin_tf,0.9933759350207165,0.003510305289566822,10
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,concrete,0.9877796530475461,0.00576894211274745,10
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,0.9879899812865934,0.006622553314301596,10
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,concrete,0.9888937546184418,0.0063757252523193725,10
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p0,Concrete nosmooth x2,Concrete,concrete,0.9874661013257302,0.007648176723325767,10
kipan,goal1,screen,goal1_nosmooth_concrete_lamx2p5,Concrete nosmooth x2.5,Concrete,concrete,0.9864700879858989,0.008954355831373313,10
kipan,goal1,screen,goal1_nosmooth_concrete_lamx3p0,Concrete nosmooth x3,Concrete,concrete,0.9864507393960942,0.005690187152886189,10
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p0,LSPIN nosmooth x1,LSPIN,lspin_tf,0.9933759350207165,0.003510305289566822,10
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p25,LSPIN nosmooth x1.2,LSPIN,lspin_tf,0.9917033684100757,0.003763837656317426,10
kipan,goal1,screen,goal1_nosmooth_lspin_lamx1p5,LSPIN nosmooth x1.5,LSPIN,lspin_tf,0.9933008574713409,0.003455473479962709,10
kipan,goal1,screen,goal1_nosmooth_lspin_lamx2p0,LSPIN nosmooth x2,LSPIN,lspin_tf,0.9925362359951523,0.002949039944945692,10
kipan,goal1,screen,goal1_nosmooth_lspin_lamx2p5,LSPIN nosmooth x2.5,LSPIN,lspin_tf,0.991319832155605,0.0040703032756121745,10
kipan,goal1,screen,goal1_nosmooth_lspin_lamx3p0,LSPIN nosmooth x3,LSPIN,lspin_tf,0.992593911237155,0.0019304743305462008,10
kipan,goal1,screen,goal1_nosmooth_stg_lamx0p5,MLP+STG nosmooth x0.5,MLP+STG,global_stg,,,10
kipan,goal1,screen,goal1_nosmooth_stg_lamx0p75,MLP+STG nosmooth x0.75,MLP+STG,global_stg,,,10
kipan,goal1,screen,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,global_stg,,,10
kipan,goal1,screen,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,global_stg,,,10
kipan,goal1,screen,goal1_nosmooth_stg_lamx1p5,MLP+STG nosmooth x1.5,MLP+STG,global_stg,,,10
kipan,goal1,screen,goal1_nosmooth_stg_lamx2p0,MLP+STG nosmooth x2,MLP+STG,global_stg,,,10
kipan,goal1,screen,goal1_nosmooth_stg_lamx3p0,MLP+STG nosmooth x3,MLP+STG,global_stg,,,10
kipan,goal1,screen,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,concrete,0.9890320174095846,0.007850207546052411,10
kipan,goal1,screen,goal1_smooth_concrete_lamx1p25,Concrete smooth x1.2,Concrete,concrete,0.9911806624624173,0.007807345498135605,10
kipan,goal1,screen,goal1_smooth_concrete_lamx1p5,Concrete smooth x1.5,Concrete,concrete,0.9947205058232305,0.0025221632483055268,10
