dataset,experiment,variant_key,variant_label,model_family,model_kind,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,selection,sigma_match,lambda_base,lambda_multiplier,goal0_target_reference,goal1_group,goal1_target_reference,predictor
kipan,goal1,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,gated,lspin_tf,0.22,0.0175,0.1,goal1_smooth_sweep,exact,0.007,2.5,False,smooth,False,mlp
kipan,goal1,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,gated,lspin_tf,0.22,0.021,0.1,goal1_smooth_sweep,exact,0.007,3.0,False,smooth,False,mlp
kipan,goal1,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,gated,concrete,0.15,0.002,0.025,goal1_smooth_sweep,exact,0.002,1.0,False,smooth,False,mlp
kipan,goal1,goal1_smooth_concrete_lamx1p25,Concrete smooth x1.2,Concrete,gated,concrete,0.15,0.0025,0.025,goal1_smooth_sweep,exact,0.002,1.25,False,smooth,False,mlp
kipan,goal1,goal1_smooth_concrete_lamx1p5,Concrete smooth x1.5,Concrete,gated,concrete,0.15,0.003,0.025,goal1_smooth_sweep,exact,0.002,1.5,False,smooth,False,mlp
kipan,goal1,goal1_smooth_concrete_lamx2p0,Concrete smooth x2,Concrete,gated,concrete,0.15,0.004,0.025,goal1_smooth_sweep,exact,0.002,2.0,False,smooth,False,mlp
kipan,goal1,goal1_smooth_concrete_lamx2p5,Concrete smooth x2.5,Concrete,gated,concrete,0.15,0.005,0.025,goal1_smooth_sweep,exact,0.002,2.5,False,smooth,False,mlp
kipan,goal1,goal1_smooth_concrete_lamx3p0,Concrete smooth x3,Concrete,gated,concrete,0.15,0.006,0.025,goal1_smooth_sweep,exact,0.002,3.0,False,smooth,False,mlp
kipan,goal1,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,gated,lspin_tf,0.22,0.007,0.0,nosmooth,exact,0.007,1.0,False,alt_sigma,False,mlp
kipan,goal1,goal1_smooth_llspin_lamx0p75,L-LSPIN smooth x0.75,L-LSPIN,gated,lspin_tf,0.22,0.00525,0.1,goal1_smooth_sweep,exact,0.007,0.75,False,linear_gated,False,linear
