dataset,experiment,task_stage,variant_key,variant_label,model_family,gate_type,lambda_sparse,lambda_base,lambda_multiplier,gate_sigma,goal1_group,n_runs,mean_test_cindex,std_test_cindex,mean_best_val_cindex,mean_best_epoch,std_best_epoch,mean_Ksoft,std_Ksoft,mean_Khard,std_Khard,mean_gene_union_count,std_gene_union_count,mean_effective_gene_count,std_effective_gene_count,ci95_test_cindex,ci95_Ksoft,ci95_Khard,ci95_gene_union_count,ci95_effective_gene_count
brca,goal1,screen,goal1_smooth_llspin_lamx1p25,L-LSPIN smooth x1.2,L-LSPIN,lspin_tf,0.00875,0.007,1.25,0.15,linear_gated,5,0.6424570024570024,0.015831690454041678,0.7792857423288154,51.2,20.96902477465273,613.0049621582032,75.09135010112097,613.0045043945313,75.08804982919743,2856.0,965.3450160434869,783.8085971415794,120.50034441330415,0.013877088533156907,65.82047043255012,65.81757761666294,846.1622144246337,105.62320887675175
brca,goal1,screen,goal1_smooth_llspin_lamx1p5,L-LSPIN smooth x1.5,L-LSPIN,lspin_tf,0.0105,0.007,1.5,0.15,linear_gated,5,0.6339066339066339,0.012740662724081937,0.7511612586140579,47.2,15.139352694220452,475.34763793945314,68.99990884783475,475.34856567382815,69.00582150781311,2343.2,883.0032276271702,615.9236519034666,112.30183280370676,0.011167683268342384,60.481086757018694,60.48626943199736,773.9864545998205,98.4368966015864
brca,goal1,screen,goal1_smooth_llspin_lamx2p0,L-LSPIN smooth x2,L-LSPIN,lspin_tf,0.014,0.007,2.0,0.15,linear_gated,5,0.6350204750204751,0.034974959869060754,0.7547088188550505,40.2,12.794530081249565,335.0782043457031,47.092317059607105,335.07073974609375,47.070515481231226,2213.4,539.7154806006587,445.21633037336926,60.0504013583598,0.03065690400879842,41.27823588799576,41.259125961979784,473.08147722776033,52.636497569267775
brca,goal1,screen,goal1_smooth_llspin_lamx3p0,L-LSPIN smooth x3,L-LSPIN,lspin_tf,0.021,0.007,3.0,0.15,linear_gated,5,0.6019000819000819,0.0538294292910859,0.7517643062824719,42.8,8.105553651663778,234.53362426757812,25.874067120715406,234.52476196289064,25.873220294412647,1559.0,347.7376884952219,296.79396465536564,28.243068990898962,0.047183575129275464,22.679619791034263,22.67887751505245,304.80552304707334,24.756141485491653
brca,goal1,screen,goal1_smooth_lspin_lamx1p0,LSPIN smooth x1,LSPIN,lspin_tf,0.007,0.007,1.0,0.15,smooth,5,0.6216216216216217,0.03676720811557269,0.723562924623274,9.0,1.5811388300841893,448.9921447753906,49.08267536311642,448.96913452148436,49.07446882586935,2815.2,649.7212479209835,848.3420675941755,168.0028622343005,0.03222787886220657,43.02286186275713,43.015668515700554,569.5057836967067,147.26100158520782
brca,goal1,screen,goal1_smooth_lspin_lamx1p25,LSPIN smooth x1.2,LSPIN,lspin_tf,0.00875,0.007,1.25,0.15,smooth,5,0.6498607698607699,0.024032783254146057,0.7022710187673715,11.2,4.919349550499537,360.58982543945314,59.67641807669833,360.5594848632812,59.66932967495805,2358.2,556.4357105722098,658.2530470871736,188.88350988474818,0.02106566332155736,52.30868676949233,52.30247351142023,487.7374049875609,165.56369622897176
brca,goal1,screen,goal1_smooth_lspin_lamx1p5,LSPIN smooth x1.5,LSPIN,lspin_tf,0.0105,0.007,1.5,0.15,smooth,5,0.622997542997543,0.026069865147849557,0.6896230089724243,9.6,1.5165750888103102,311.18024291992185,36.42267037763716,311.16656494140625,36.44063659496391,2178.8,586.8412902991745,556.4786882564938,100.14856228623269,0.02285124432885893,31.925878219494134,31.94162630332466,514.3890707081557,87.78408530338811
brca,goal1,screen,goal1_smooth_lspin_lamx2p0,LSPIN smooth x2,LSPIN,lspin_tf,0.014,0.007,2.0,0.15,smooth,5,0.6172972972972973,0.04471453461984383,0.7021166865871564,14.2,7.9498427657407165,247.47992553710938,28.7641823308137,247.4829559326172,28.763642065824257,1710.4,357.65947491992995,395.31539840983476,68.03308654236413,0.0391940176849575,25.212917467487927,25.212443904344962,313.502352297395,59.63362964131811
brca,goal1,screen,goal1_smooth_lspin_lamx2p5,LSPIN smooth x2.5,LSPIN,lspin_tf,0.0175,0.007,2.5,0.15,smooth,5,0.6061588861588861,0.031499840483261286,0.6935554094366245,10.4,1.1401754250991376,223.7736846923828,23.566570644442127,223.7318328857422,23.530960538192943,1669.0,324.6990914677773,357.5119548225502,37.279174133830416,0.027610827563581044,20.657009951349256,20.625796316991664,284.6113023757138,32.676636863252284
brca,goal1,screen,goal1_smooth_lspin_lamx3p0,LSPIN smooth x3,LSPIN,lspin_tf,0.021,0.007,3.0,0.15,smooth,5,0.5876494676494677,0.04049072461129737,0.695980358565384,11.2,3.2710854467592254,195.78592529296876,17.545964945029457,195.79550170898438,17.531587323690424,1553.4,307.24469075966147,312.4542785287823,51.8904589079078,0.03549168497412119,15.379716376382376,15.367113835624194,269.31184559168577,45.4839926526826
brca,goal1,screen,mlp,MLP,MLP,,,,,,dense,5,0.6525470925470926,0.018528760016189774,0.7701632263459737,32.2,15.155856953666461,,,,,,,,,0.01624117423851233,,,,
kipan,goal1,screen,goal1_floor_concrete,Concrete floor (λ=0),Concrete,concrete,0.0,0.0,0.0,0.15,floor,5,0.7127760853008378,0.009313736459788677,0.7864602228867237,1.0,1.224744871391589,3018.066845703125,44.11538071490098,3026.251708984375,53.75417306912947,5966.6,12.033287165192993,5088.556983294041,31.990434950105513,0.008163849956653441,38.668836131666325,47.1176101422899,10.54764125290573,28.04085257386264
kipan,goal1,screen,goal1_floor_lconcrete,L-Concrete floor (λ=0),L-Concrete,concrete,0.0,0.0,0.0,0.15,floor,5,0.7273229246001524,0.006518162630050756,0.7901684820851639,3.2,1.7888543819998317,2976.775244140625,23.24993989062482,2968.92666015625,29.94516823413153,5963.8,4.086563348340495,5108.569817293534,26.339802049666105,0.005713421453843382,20.37947085874268,26.24809725352069,3.5820307089694117,23.087854455601146
kipan,goal1,screen,goal1_floor_llspin,L-LSPIN floor (λ=0),L-LSPIN,lspin_tf,0.0,0.0,0.0,0.22,floor,5,0.7051599390708302,0.01970482364629893,0.7952737989743571,2.0,2.345207879911715,2920.5470703125,43.8425926514567,2920.084228515625,43.55170603413603,5912.8,29.727092020579455,4962.344184933328,62.57049244720519,0.017272039461845714,38.42972685156804,38.17475348953905,26.056945024311634,54.84545480305448
kipan,goal1,screen,goal1_floor_lspin,LSPIN floor (λ=0),LSPIN,lspin_tf,0.0,0.0,0.0,0.22,floor,5,0.7081302361005332,0.012945943474632972,0.7839226223960973,0.6,0.5477225575051661,2960.568701171875,35.34626311593032,2960.528955078125,35.73353693129044,5931.8,13.718600511714026,4987.264791588264,40.995355282541794,0.011347619779722465,30.982365654502978,31.321826120706938,12.024883533739537,35.93401326001927
kipan,goal1,screen,goal1_linear_cox,Linear Cox,LinearCox,,,,,,dense,5,0.7284082254379284,0.016307103283541305,0.788983107365365,28.8,39.13693907295255,,,,,,,,,0.014293806251578485,,,,
kipan,goal1,screen,goal1_lspin_alt_nosmooth,LSPIN sigma=0.22,LSPIN,lspin_tf,0.007,0.007,1.0,0.22,alt_sigma,5,0.7206968773800456,0.015047220366832483,0.783102233320305,8.6,1.6733200530681511,228.64908142089843,43.036218041139506,228.63089294433593,43.017334932065,733.6,165.57415257219347,438.48885916600966,90.6872244949447,0.013189470184161447,37.72290834152038,37.70635656663766,145.1321437035917,79.49085707530031
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p0,Concrete nosmooth x1,Concrete,concrete,0.002,0.002,1.0,0.15,nosmooth,5,0.7286557501904036,0.005927183537299075,0.7825038363753436,7.6,1.6733200530681511,266.20111694335935,48.089965454779986,245.0393859863281,42.256858748656576,2047.8,330.3629821877748,824.0283727074269,179.26954870055891,0.005195405439371209,42.15271326266181,37.039769801620295,289.57592148519524,157.13668769854226
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p25,Concrete nosmooth x1.2,Concrete,concrete,0.0025,0.002,1.25,0.15,nosmooth,5,0.7277227722772277,0.006550273195647227,0.7794060651388985,8.6,1.1401754250991383,192.9052001953125,26.94107140658431,179.26177368164062,23.34229366987043,1564.4,236.17006584239252,590.3294563203183,81.43366412278102,0.005741567605571496,23.61489028430497,20.460422515464575,207.01219001788277,71.37975378508627
kipan,goal1,screen,goal1_nosmooth_concrete_lamx1p5,Concrete nosmooth x1.5,Concrete,concrete,0.003,0.002,1.5,0.15,nosmooth,5,0.7237623762376237,0.009930148493202636,0.7855857151146346,9.4,2.3021728866442674,160.81009521484376,29.314323813011004,149.76679382324218,26.045408385832644,1353.8,189.90444965824258,498.65552745910327,80.56390580668669,0.008704158926527535,25.695137738050708,22.829807031766226,166.4585893968827,70.61737700732346
