dataset,experiment,task_stage,variant_key,variant_label,model_family,goal1_group,n_splits,mean_of_split_means_test_cindex,between_split_sd_test_cindex,mean_within_split_sd_test_cindex,mean_of_split_means_Ksoft,between_split_sd_Ksoft,mean_within_split_sd_Ksoft,mean_of_split_means_Khard,between_split_sd_Khard,mean_within_split_sd_Khard
brca,goal1,screen,goal1_nosmooth_lspin_lamx3p0,LSPIN nosmooth x3,LSPIN,nosmooth,5,0.6008517608517608,0.028309578092080803,,137.07331390380858,18.685484704272152,,137.0398727416992,18.705580405893215,
brca,goal1,screen,goal1_nosmooth_stg_lamx0p5,MLP+STG nosmooth x0.5,MLP+STG,nosmooth,5,0.5656511056511057,0.08543528255689051,,185.88272352218627,109.61218486385792,,92.2,67.36987457313543,
brca,goal1,screen,goal1_nosmooth_stg_lamx0p75,MLP+STG nosmooth x0.75,MLP+STG,nosmooth,5,0.60004914004914,0.02303530619740338,,99.41745929718017,54.380753586301985,,50.6,50.69319480955999,
brca,goal1,screen,goal1_nosmooth_stg_lamx1p0,MLP+STG nosmooth x1,MLP+STG,nosmooth,5,0.6151351351351352,0.04878253099825065,,65.0308391571045,35.88207452508553,,40.6,30.59901959213726,
brca,goal1,screen,goal1_nosmooth_stg_lamx1p25,MLP+STG nosmooth x1.2,MLP+STG,nosmooth,5,0.5512858312858313,0.03174293343940723,,38.23425025939942,19.832641275257416,,20.6,15.469324484281787,
brca,goal1,screen,goal1_nosmooth_stg_lamx1p5,MLP+STG nosmooth x1.5,MLP+STG,nosmooth,5,0.5514168714168715,0.046269356858472,,27.58481616973877,15.241881457333596,,16.4,13.831124321616086,
brca,goal1,screen,goal1_nosmooth_stg_lamx2p0,MLP+STG nosmooth x2,MLP+STG,nosmooth,5,0.5406879606879607,0.020118134565616973,,13.22913236618042,8.775353249884638,,6.4,5.366563145999495,
brca,goal1,screen,goal1_nosmooth_stg_lamx3p0,MLP+STG nosmooth x3,MLP+STG,nosmooth,5,0.5300900900900901,0.045765865429321706,,13.26908187866211,9.931755037233224,,8.4,7.231873892705818,
brca,goal1,screen,goal1_rsf,RSF,RSF,dense,5,0.6149058149058149,0.01650281569628586,,,,,,,
brca,goal1,screen,goal1_smooth_concrete_lamx1p0,Concrete smooth x1,Concrete,smooth,5,0.6377395577395577,0.02994511609246253,,483.26544189453125,47.78055744677627,,430.34404296875,46.09374605071023,
brca,goal1,screen,goal1_smooth_concrete_lamx1p25,Concrete smooth x1.2,Concrete,smooth,5,0.6206060606060606,0.039427961763382896,,359.236962890625,17.678831325939857,,320.1826416015625,24.831094251922902,
brca,goal1,screen,goal1_smooth_concrete_lamx1p5,Concrete smooth x1.5,Concrete,smooth,5,0.6409172809172808,0.030547610714753273,,296.16802978515625,35.90172792603973,,256.4758819580078,29.47015940800983,
brca,goal1,screen,goal1_smooth_concrete_lamx2p0,Concrete smooth x2,Concrete,smooth,5,0.6176248976248976,0.029870431878305806,,203.52668151855468,20.836022284589674,,176.90610961914064,21.580993688184854,
brca,goal1,screen,goal1_smooth_concrete_lamx2p5,Concrete smooth x2.5,Concrete,smooth,5,0.6277805077805078,0.026839895183312996,,159.41964416503907,28.156174350424973,,133.47074127197266,25.67892770930614,
brca,goal1,screen,goal1_smooth_concrete_lamx3p0,Concrete smooth x3,Concrete,smooth,5,0.6078296478296478,0.01971442319786644,,127.07490844726563,22.755306072685705,,105.35626983642578,22.407303124601658,
