gene
SLC6A3
FABP7
XIST
RPS4Y1
CP
FGB
CA9
GSTA2
GSTA1
RHCG
SLC34A2
LCN2
ATP6V0A4
DDX3Y
FGG
RBP4
SLC22A6
PTGER3
REG1A
PVALB
CYP4A11
TMEM213
FOXI1
SLC17A3
NPTX2
AKR1B10
REN
UGT1A9
KDM5D
KLK1
ATP6V0D2
SLC5A12
SAA1
DNAH11
FGA
PIGR
NDUFA4L2
SLPI
HMGCS2
UGT3A1
SLC4A1
SLC6A19
GSTT1
MSLN
PRIMA1
USP9Y
SLC13A1
CKMT1B
CYP2J2
SORCS3
NAT8
SLC5A8
LRP2
CDHR5
SCEL
STAC2
ACSM2A
ENPP3
C6orf223
SST
CFTR
CLCNKB
CREB3L3
PPP1R1A
PNCK
CLDN8
GSTM1
ABP1
UPK1B
CKMT1A
PLG
SLC22A2
CNTN6
SLC22A12
SOSTDC1
KRT7
DMRT2
UGT2A3
SLC6A20
C5orf46
PAH
EIF1AY
LBP
GPR110
PROM1
LOC339535
ACSM2B
PRAP1
PCP4
UTY
HAPLN1
PLA2G4F
HEPACAM2
SAA2
WBSCR17
ESRP1
ANGPTL4
GRIK3
KRT19
AGXT2
FTCD
ALDOB
HP
RAB25
CXCL6
IGFN1
HHLA2
SLC10A2
CKMT2
GRIA4
RHBG
CYP24A1
ATP6V1B1
EEF1A2
GLYAT
SLC17A4
CHIT1
PRAME
SLC22A11
ACE2
SFRP2
MT3
MYEOV
ALPI
ANXA13
KLK4
VSTM2L
ZFY
CD70
SLC6A18
SLC39A5
ASPG
VIL1
HABP2
PCSK6
DPYS
DDC
C10orf99
FABP6
CWH43
LGALS4
SLC15A1
SLC2A2
MYH8
LRRN4
TMPRSS2
PTHLH
KISS1R
MIOX
SPON1
BHMT
LGI4
C9orf71
NEFL
GDF6
TJP3
APOB
CXCL14
SPINK1
CAPN6
CDHR2
LPPR5
CHL1
SCGN
CXCL5
ALPK2
GBA3
KCNS1
BMPR1B
HAO2
DHRS2
BBOX1
EPHA7
IGFBP1
C1QL1
LOC389332
SLC28A1
GGT6
PRODH2
CLRN3
SLC5A10
GC
TSIX
SLC17A1
CLCNKA
CCL21
FGF9
CUBN
SLC26A7
DACT2
BSND
RPS28
PKLR
CRTAC1
EPO
LOC100131551
RNF186
SLC5A1
USH1C
KCNK3
LOC440173
ATP6V1G3
SH3GL2
CLEC18C
LTF
CYorf15A
UPB1
SPTBN2
HAVCR1
RELN
SLC6A13
TMEM82
MCHR1
NR0B2
GCGR
C12orf36
CLIC6
CLDN2
PCSK1N
FAM83F
CDH4
VSTM2A
TEX15
ITGB1BP3
FBN3
NAPSA
CCL18
COL23A1
PRR15L
BMP7
PREX2
SLC47A2
MAP7D2
MGAM
DPEP1
KNG1
TRIM50
CHRDL1
IRX6
NLGN4Y
C8orf22
FMO1
TUBA3D
FUT6
SLC22A7
CYP11A1
