family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000155380,1,KIRC,1,1.0,0.2007575780153274,636.0,19.228559380323105,2.5656461275321893,16.662913252790915,1.0,ENSG00000155380,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000134222,1,BRCA,1,1.0,1.0,3167.0,19.10201877051016,2.550471247955903,16.55154752255425,1.0,ENSG00000134222,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000185133,1,BRCA,1,1.0,0.4662247598171234,1477.0,19.54061147045887,2.990571040862811,16.55004042959606,1.0,ENSG00000185133,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000134690,1,BRCA,1,1.0,0.9137985706329346,2894.0,18.618576125328705,2.164041544441896,16.454534580886808,1.0,ENSG00000134690,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000141526,1,KIRC,1,1.0,0.5587121248245239,1770.0,20.760055372271804,4.339356524938115,16.42069884733369,1.0,ENSG00000141526,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000131747,1,PRAD,1,1.0,0.2569444477558136,814.0,18.066628012341607,1.6942644367708075,16.372363575570798,1.0,ENSG00000131747,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000103449,1,COAD,1,1.0,0.3078623414039612,975.0,18.165696800468147,1.9000009607222972,16.26569583974585,1.0,ENSG00000103449,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000161638,1,BRCA,1,1.0,0.9816861152648926,3109.0,18.47846202253099,2.2150812481967552,16.263380774334237,1.0,ENSG00000161638,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000124920,1,BRCA,1,1.0,0.1016414165496826,322.0,17.332209923601336,1.0790685822173756,16.253141341383962,1.0,ENSG00000124920,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000089685,1,LGG,1,1.0,0.2229239046573639,706.0,18.08888858347246,1.895958232969499,16.192930350502962,1.0,ENSG00000089685,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000197744,1,LGG,1,1.0,0.407196968793869,1290.0,17.360095112920096,1.1785817748375358,16.18151333808256,1.0,ENSG00000197744,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000100504,1,LGG,1,1.0,0.2428165525197982,769.0,20.338765296522865,4.208799159446365,16.1299661370765,1.0,ENSG00000100504,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000188910,1,BRCA,1,1.0,0.3585858643054962,1136.0,18.484961874941455,2.504715557734789,15.980246317206667,1.0,ENSG00000188910,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000153294,1,BRCA,1,1.0,1.0,3167.0,17.666527462913805,1.7217443661001233,15.944783096813682,1.0,ENSG00000153294,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000153294,1,BRCA,1,1.0,1.0,3167.0,17.666527462913805,1.7329330562998273,15.933594406613976,1.0,ENSG00000153294,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000114737,1,BRCA,1,1.0,0.972537875175476,3081.0,19.92754126252281,4.062459512440755,15.865081750082052,1.0,ENSG00000114737,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000148773,1,LGG,1,1.0,0.1335648894309997,423.0,17.422612174614592,1.5956085223767698,15.827003652237822,1.0,ENSG00000148773,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000196517,1,KIRC,1,1.0,0.0887275040149688,281.0,17.850565216382634,2.104994384689213,15.74557083169342,1.0,ENSG00000196517,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000171617,1,LGG,1,1.0,0.2267129719257354,718.0,18.95124505600901,3.216492335140539,15.734752720868476,1.0,ENSG00000171617,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000267541,1,KIRC,1,1.0,0.6239343285560608,1976.0,16.484474660332495,0.8621056970922156,15.62236896324028,1.0,ENSG00000267541,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000188313,1,BRCA,1,1.0,0.9981054663658142,3161.0,17.503048920880573,1.966029431289606,15.537019489590968,1.0,ENSG00000188313,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000186868,1,BRCA,1,1.0,0.2657828330993652,842.0,17.970875432975728,2.45913105758046,15.511744375395269,1.0,ENSG00000186868,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000273760,1,BRCA,1,1.0,0.3320707082748413,1052.0,16.89174965075457,1.4750257477736457,15.416723902980925,1.0,ENSG00000273760,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000104738,1,KIRC,1,1.0,0.3504894077777862,1110.0,17.576650264814752,2.225801926637716,15.350848338177038,1.0,ENSG00000104738,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000105835,1,LGG,1,1.0,0.1309974789619445,415.0,16.724434440467896,1.3992962175306285,15.325138222937268,1.0,ENSG00000105835,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000094804,1,LGG,1,1.0,0.1998737007379531,633.0,16.746510825664433,1.4246873891103031,15.32182343655413,1.0,ENSG00000094804,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000070404,1,HNSC,1,1.0,0.4853173494338989,1537.0,17.0650844616216,1.7489456267648804,15.316138834856718,1.0,ENSG00000070404,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000088325,1,KIRC,1,1.0,0.1755604743957519,556.0,16.657912888372604,1.355030699732466,15.302882188640137,1.0,ENSG00000088325,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000144218,1,BRCA,1,1.0,0.4540574550628662,1438.0,16.842471164645485,1.5578549839858784,15.284616180659606,1.0,ENSG00000144218,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000164687,1,LGG,1,1.0,0.1998737007379531,633.0,16.23475613531845,0.9690373870258984,15.265718748292551,1.0,ENSG00000164687,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000178078,1,UCEC,1,1.0,0.4212188124656677,1334.0,17.147768731783454,1.8844463691824551,15.263322362601,1.0,ENSG00000178078,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000230897,1,LGG,1,1.0,0.063446968793869,201.0,16.0579558962409,0.8302591586255637,15.227696737615338,1.0,ENSG00000230897,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000133048,1,LGG,1,1.0,0.1566150933504104,496.0,16.37435102189314,1.168766330606675,15.205584691286466,1.0,ENSG00000133048,,,False
L-LSPIN,smooth_lamx3_smooth0p15,L-LSPIN smooth,ENSG00000129195,1,LGG,1,1.0,0.065340906381607,207.0,18.24327504575477,3.037718650781799,15.205556394972977,1.0,ENSG00000129195,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000117461,1,BRCA,1,1.0,0.5389959216117859,1707.0,16.271380598420805,1.1163388652791268,15.155041733141678,1.0,ENSG00000117461,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000105971,1,HNSC,1,1.0,0.3915377259254455,1240.0,16.433135286744527,1.329996227480854,15.103139059263672,1.0,ENSG00000105971,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000178999,1,THCA,1,1.0,0.0735712051391601,233.0,16.05774016409039,1.018709186277576,15.039030977812814,1.0,ENSG00000178999,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000159182,1,PRAD,1,1.0,0.0748106092214584,237.0,18.06685875279353,3.0921543965322003,14.974704356261332,1.0,ENSG00000159182,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000161800,1,LGG,1,1.0,0.126302495598793,400.0,17.044592387493694,2.081904467332992,14.962687920160702,1.0,ENSG00000161800,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000071242,1,THCA,1,1.0,0.0498894862830638,158.0,16.84333515651571,2.029923449250944,14.813411707264766,1.0,ENSG00000071242,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000267541,1,BRCA,1,1.0,1.0,3168.0,18.751375941182413,3.965089435879614,14.7862865053028,1.0,ENSG00000267541,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000166743,1,BRCA,1,1.0,0.2175560444593429,689.0,17.669008131399877,2.9411286125456693,14.727879518854207,1.0,ENSG00000166743,,,False
L-Concrete,smooth_lamx3_smooth0p1,L-Concrete smooth,ENSG00000128965,1,BRCA,1,1.0,0.4736343622207641,1500.0,16.284306355972436,1.6734394119920388,14.610866943980398,1.0,ENSG00000128965,,,False
Concrete,smooth_lamx3_smooth0p05,Concrete smooth,ENSG00000163683,1,BRCA,1,1.0,0.622039794921875,1970.0,16.7345648941133,2.134064886629149,14.600500007484152,1.0,ENSG00000163683,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000136574,1,BRCA,1,1.0,1.0,3167.0,17.540016677642928,2.95490938705678,14.585107290586148,1.0,ENSG00000136574,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000185904,1,BRCA,1,1.0,0.4868961274623871,1542.0,17.153860693091488,2.657048515408543,14.496812177682944,1.0,ENSG00000185904,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000091831,1,BRCA,1,1.0,0.4532828330993652,1436.0,16.321482737446292,1.8481757546568045,14.473306982789488,1.0,ENSG00000091831,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000164109,1,LGG,1,1.0,0.0972529202699661,308.0,16.079559116400386,1.6735142904791835,14.406044825921205,1.0,ENSG00000164109,,,False
L-Concrete,nosmooth_lamx3,L-Concrete nosmooth,ENSG00000099284,1,LGG,1,1.0,0.066624566912651,211.0,16.677317875168196,2.343725187624368,14.333592687543828,1.0,ENSG00000099284,,,False
L-LSPIN,nosmooth_lamx3,L-LSPIN nosmooth,ENSG00000115107,1,LGG,1,1.0,0.0719924196600914,228.0,16.323313292131743,2.011848526915161,14.311464765216584,1.0,ENSG00000115107,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000182107,1,LGG,1,1.0,0.39658984541893,1256.0,16.847527348767937,2.594347601334311,14.253179747433624,1.0,ENSG00000182107,,,False
LSPIN,smooth_lamx3_smooth0p15,LSPIN smooth,ENSG00000257084,1,BRCA,1,1.0,0.8065025210380554,2555.0,17.401246033221945,3.235138047954909,14.166107985267036,1.0,ENSG00000257084,,,False
LSPIN,nosmooth_lamx3,LSPIN nosmooth,ENSG00000161800,1,BRCA,1,1.0,0.993053376674652,3145.0,16.065105359495025,1.9292980797129744,14.13580727978205,1.0,ENSG00000161800,,,False
Concrete,nosmooth_lamx3,Concrete nosmooth,ENSG00000146966,1,LGG,1,1.0,0.1550363153219223,491.0,16.110895214509313,1.9776430908612408,14.133252123648072,1.0,ENSG00000146966,,,False
