model,tumor_type,gene_symbol,ensembl_id,refit_recurrence,same_top_gated_tumor_across_refits,median_gate_rate,median_selected_patients,median_cox_signal_neglog10p,median_random_signal_neglog10p,median_gated_gene_advantage_neglog10p,fraction_refits_beating_random_median,top100_refit_overlap_vs_random_for_model,curated_tumor_gene_note
LSPIN nosmooth,BRCA,ENSG00000166840,ENSG00000166840,2/6,2/2,0.7845644056797028,2485.0,9.452542677555364,1.8936165706360297,7.558926106919333,1.0,2.6 vs 2.0; p=0.139,
LSPIN smooth,BRCA,ENSG00000142627,ENSG00000142627,2/6,2/2,0.9332175552845001,2955.5,9.722708469226275,2.285691225582169,7.437017243644106,1.0,2.7 vs 2.0; p=0.022,
Concrete nosmooth,BRCA,ENSG00000134215,ENSG00000134215,2/6,2/2,0.27468864619731903,870.0,8.119401211693903,1.111162081193198,7.008239130500704,1.0,5.0 vs 2.0; p=8.3e-09,
LSPIN nosmooth,BRCA,ENSG00000106404,ENSG00000106404,2/6,2/2,0.7245896458625793,2295.5,10.299857298078665,3.293979510742016,7.005877787336649,1.0,2.6 vs 2.0; p=0.139,
Concrete smooth,BRCA,ENSG00000144218,ENSG00000144218,2/6,2/2,0.409015491604805,1295.5,8.583665180615826,2.075565920302202,6.5080992603136245,1.0,5.0 vs 2.0; p=4.2e-09,
L-LSPIN nosmooth,PRAD,ENSG00000167034,ENSG00000167034,2/6,2/2,0.1674687191843986,530.5,7.885777748645484,1.6051865938086085,6.280591154836875,1.0,3.2 vs 2.0; p=0.003,
LSPIN nosmooth,BRCA,ENSG00000147256,ENSG00000147256,2/6,2/2,0.6630976200103759,2100.5,8.42804848466389,2.2258669654028536,6.202181519261036,1.0,2.6 vs 2.0; p=0.139,
Concrete nosmooth,LGG,ENSG00000172380,ENSG00000172380,2/6,2/2,0.17540258914232248,555.5,6.805170098250573,0.7636794619929205,6.041490636257652,1.0,5.0 vs 2.0; p=8.3e-09,
LSPIN smooth,BRCA,ENSG00000161800,ENSG00000161800,2/6,2/2,0.7921401560306549,2509.0,8.39148575312017,2.51513139265477,5.876354360465402,0.5,2.7 vs 2.0; p=0.022,
Concrete nosmooth,BRCA,ENSG00000112414,ENSG00000112414,2/6,2/2,0.6109532713890076,1935.5,7.376279972098985,1.507190034490492,5.869089937608493,1.0,5.0 vs 2.0; p=8.3e-09,
