family,selection,n_genes,n_fold_reps,fraction_gt_random_median,binomial_p_gt_random_median_vs_0p5,fraction_gt_random_p90,binomial_p_gt_random_p90_vs_0p1,median_target_minus_random_median,mean_target_minus_random_median,wilcoxon_p_delta_gt_zero,median_target_abs_neglog10_p,median_random_median_abs_neglog10_p
Concrete,nosmooth_lamx3,1888,6,0.6774364406779662,6.316792321361615e-55,0.2796610169491525,1.4275865707932882e-106,0.5345999161956605,2.388750297292573,1.3990623780130415e-120,1.2203824231582046,0.6843427043486106
Concrete,smooth_lamx3_smooth0p05,1888,6,0.6520127118644068,1.2989368981953907e-40,0.2468220338983051,4.372853040910857e-75,0.44410036923513085,2.007644259710496,5.507784735628151e-107,1.0941145401151036,0.6548569194696156
L-Concrete,nosmooth_lamx3,927,6,0.6925566343042071,1.1638884832706192e-32,0.2858683926645092,1.6819033178060337e-56,0.4746092747028183,2.9980831615808885,4.998239103545242e-65,1.0876508431799052,0.6203689193130703
L-Concrete,smooth_lamx3_smooth0p1,926,6,0.6511879049676026,1.239519307848241e-20,0.265658747300216,2.094258527807024e-46,0.3651649116000193,2.3462781159885986,9.872854662876704e-52,0.8863074118088675,0.5668499714374475
L-LSPIN,nosmooth_lamx3,938,6,0.6236673773987207,1.7183284339593406e-14,0.232409381663113,4.0131552580425126e-32,0.33982424425859015,2.4456202491148664,7.1563730711841e-41,1.1067958447563901,0.6739111113947354
L-LSPIN,smooth_lamx3_smooth0p15,745,6,0.6523489932885906,3.5683427845654314e-17,0.26174496644295303,3.287277780958566e-36,0.5593907913194918,2.6900046521972967,1.2294334332901688e-38,1.5464250224872,0.9175226942648507
LSPIN,nosmooth_lamx3,2984,6,0.6176273458445041,2.478152556124594e-38,0.21615281501340483,8.265896552927625e-78,0.43422938476862505,2.266290106022295,1.1683544373971038e-119,1.3586613011932474,0.9856972165875552
LSPIN,smooth_lamx3_smooth0p15,2402,6,0.6378018318068276,2.854852781778695e-42,0.2218984179850125,1.3728825189570912e-68,0.5817776253681834,2.6867398100362165,1.2025346758636687e-103,1.760361828533156,1.2685914706535588
