family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
LSPIN,smooth_lamx3_smooth0p15,2,0,1329,ENSG00000249992,0.15945689380168915,505,184,LGG,183,16.988789371346012,16.988789371346012,1.1380683808089085,6.765321068073,15.850720990537104,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,4614,ENSG00000119508,0.15945689380168915,505,199,HNSC,156,1.9497975267491225,1.9497975267491225,0.5693385552241812,1.798627339847103,1.3804589715249413,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,1364,ENSG00000072274,0.157878115773201,500,197,HNSC,158,0.40552048286500614,0.40552048286500614,0.45762795656027855,1.5076041813154202,-0.05210747369527241,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,2874,ENSG00000136158,0.1550363153219223,491,181,LGG,183,10.29982551366451,10.29982551366451,1.8227939169750331,9.792500637620039,8.477031596689477,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,4199,ENSG00000102962,0.1550363153219223,491,192,HNSC,103,2.324157111256639,-2.324157111256639,0.6204552884975317,2.154451405576973,1.7037018227591072,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,2770,ENSG00000082014,0.1531417816877365,485,185,LGG,183,5.228265478104157,5.228265478104157,1.1073145578761907,5.298554786954621,4.1209509202279655,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,2827,ENSG00000102287,0.15156298875808716,480,175,LGG,182,0.08709061373704335,-0.08709061373704335,1.0573082513650292,6.926403250179611,-0.9702176376279859,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4766,ENSG00000115138,0.1471424102783203,466,203,LGG,78,7.90729537019166,-7.90729537019166,2.0093842828628175,7.124646168874008,5.8979110873288425,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,4007,ENSG00000264425,0.1471424102783203,466,172,LGG,183,0.9611074698502106,0.9611074698502106,1.4276570716132533,5.082132389985747,-0.4665496017630427,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4206,ENSG00000136295,0.14619514346122742,463,162,LGG,183,9.958233687107269,9.958233687107269,1.9102624003776039,7.267405568225951,8.047971286729664,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,1575,ENSG00000003436,0.1449321061372757,459,197,LGG,175,8.619906819122122,8.619906819122122,1.1105355820600642,3.637901597006085,7.509371237062057,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,3876,ENSG00000132535,0.1439848393201828,456,32,THCA,164,0.36343095236028805,0.36343095236028805,0.7673676359989219,3.4349210929794225,-0.40393668363863383,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4873,ENSG00000132669,0.14366908371448517,455,112,KIRC,151,4.176477841430763,-4.176477841430763,1.6370752586032487,5.516492039786958,2.539402582827514,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,2597,ENSG00000256148,0.14177455008029938,449,70,LIHC,121,0.7223871271485871,-0.7223871271485871,2.434164805752915,10.494043819106578,-1.711777678604328,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,2032,ENSG00000101134,0.1398800164461136,443,76,KIRC,156,1.035187474509223,1.035187474509223,1.007372366190756,4.44855813626724,0.027815108318467008,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,2725,ENSG00000100162,0.1370382010936737,434,151,LGG,183,12.471817865806738,12.471817865806738,1.6587511854511436,10.754943597318752,10.813066680355595,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,403,ENSG00000175063,0.13482791185379028,427,142,LGG,183,16.784217330761198,16.784217330761198,2.108358155041738,10.541870035243532,14.67585917571946,True,True
LSPIN,smooth_lamx3_smooth0p15,2,0,4112,ENSG00000174502,0.13482791185379028,427,112,KIRC,156,0.6044568965083195,-0.6044568965083195,0.908849968004094,4.312713477395955,-0.30439307149577455,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4241,ENSG00000163823,0.1329333782196045,421,169,LGG,183,5.095087713893147,5.095087713893147,1.232311093345015,8.989341188883621,3.8627766205481318,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,659,ENSG00000083307,0.1310388445854187,415,155,KIRC,125,1.0502281872134525,-1.0502281872134525,1.1107926154687333,3.7577357370806377,-0.060564428255280855,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3871,ENSG00000198431,0.13072308897972107,414,162,LGG,175,0.43469279049150095,0.43469279049150095,1.2491806188975816,5.216493256653215,-0.8144878284060806,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3056,ENSG00000075426,0.12882854044437408,408,141,LGG,183,0.239455256294079,0.239455256294079,2.376473571942632,13.049239006306285,-2.1370183156485534,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,255,ENSG00000111319,0.12661825120449066,401,140,LGG,183,0.4357174975049358,-0.4357174975049358,1.3733336305190815,5.541655066772918,-0.9376161330141457,False,False
LSPIN,smooth_lamx3_smooth0p15,2,0,3448,ENSG00000178814,0.12472371011972427,395,155,LGG,183,2.6847776709683657,2.6847776709683657,1.3862272369827924,7.146902685743995,1.2985504339855733,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,4869,ENSG00000121957,0.11809283494949341,374,128,LGG,183,2.1685440735399246,2.1685440735399246,1.7272006732352383,9.884363499843834,0.44134340030468633,True,False
LSPIN,smooth_lamx3_smooth0p15,2,0,1698,ENSG00000198576,0.11335648596286774,359,128,LGG,183,1.0937089656532022,1.0937089656532022,2.2695013982693872,13.51682318002147,-1.175792432616185,False,False
