model,noise_k,mean,std,count,delta_from_k0
Concrete_smooth,0,0.7689335313978339,0.03641231784401279,3,0.0
Concrete_smooth,200,0.7778735479093376,0.026582096959877292,3,0.008940016511503668
Concrete_smooth,1000,0.7667561633360757,0.02663000495664868,3,-0.002177368061758278
LSPIN_smooth,0,0.7636155628776016,0.024817478379675385,3,0.0
LSPIN_smooth,200,0.7584512185975386,0.027401431528409317,3,-0.00516434428006296
LSPIN_smooth,1000,0.754655091242698,0.019243236635273036,3,-0.008960471634903544
dense_mlp,0,0.7700737068201623,0.029488440043568365,3,0.0
dense_mlp,200,0.7624828285870396,0.03759127492246076,3,-0.007590878233122655
dense_mlp,1000,0.770052292600042,0.014794833369797472,3,-2.1414220120252736e-05
