model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,cluster_ari,cluster_nmi
LSPIN,lspin_tf,mlp,0.0035,0.025,1,5,0.9783517452100648,0.9629807017481892
LSPIN,lspin_tf,mlp,0.0035,0.025,1,6,0.9783517452100648,0.9629807017481892
LSPIN,lspin_tf,mlp,0.0035,0.025,1,7,0.9648980275440032,0.9229813600764828
LSPIN,lspin_tf,mlp,0.0035,0.025,2,3,0.9611807880100818,0.9289445334183676
LSPIN,lspin_tf,mlp,0.0035,0.025,2,4,0.9611807880100818,0.9289445334183676
LSPIN,lspin_tf,mlp,0.0035,0.025,2,5,0.9506579967539516,0.9168568866305596
LSPIN,lspin_tf,mlp,0.0035,0.025,2,6,0.9506579967539516,0.9168568866305596
LSPIN,lspin_tf,mlp,0.0035,0.025,2,7,0.93772783026673,0.8826206140030924
LSPIN,lspin_tf,mlp,0.0035,0.025,3,4,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,3,5,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,3,6,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,3,7,0.9755126930491704,0.9387060394129496
LSPIN,lspin_tf,mlp,0.0035,0.025,4,5,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,4,6,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.025,4,7,0.9755126930491704,0.9387060394129496
LSPIN,lspin_tf,mlp,0.0035,0.025,5,6,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,5,7,0.9862727722104884,0.9599922662553078
LSPIN,lspin_tf,mlp,0.0035,0.025,6,7,0.9862727722104884,0.9599922662553078
LSPIN,lspin_tf,mlp,0.0105,0.025,0,1,0.8465261258856643,0.8005202787208832
LSPIN,lspin_tf,mlp,0.0105,0.025,0,2,0.8360140009751565,0.8029453112857797
LSPIN,lspin_tf,mlp,0.0105,0.025,0,3,0.8360140009751565,0.8029453112857797
LSPIN,lspin_tf,mlp,0.0105,0.025,0,4,0.98645953964903,0.9647805258322972
LSPIN,lspin_tf,mlp,0.0105,0.025,0,5,0.9931729463789538,0.9791555804941978
LSPIN,lspin_tf,mlp,0.0105,0.025,0,6,0.9690909799838012,0.931304295701582
LSPIN,lspin_tf,mlp,0.0105,0.025,0,7,0.8192427728615403,0.796491621409322
LSPIN,lspin_tf,mlp,0.0105,0.025,1,2,0.9670805609883718,0.9319750396431736
LSPIN,lspin_tf,mlp,0.0105,0.025,1,3,0.9670805609883718,0.9319750396431736
LSPIN,lspin_tf,mlp,0.0105,0.025,1,4,0.8389485436443177,0.7821248494922002
LSPIN,lspin_tf,mlp,0.0105,0.025,1,5,0.8431698866199158,0.8048042065182754
LSPIN,lspin_tf,mlp,0.0105,0.025,1,6,0.8297509298003442,0.8043417153172242
LSPIN,lspin_tf,mlp,0.0105,0.025,1,7,0.940828108381104,0.886519747764366
LSPIN,lspin_tf,mlp,0.0105,0.025,2,3,0.9864345820145874,0.9598043885016468
LSPIN,lspin_tf,mlp,0.0105,0.025,2,4,0.83548315256353,0.7850747493209422
LSPIN,lspin_tf,mlp,0.0105,0.025,2,5,0.8330421962078676,0.8054802707169632
LSPIN,lspin_tf,mlp,0.0105,0.025,2,6,0.8128451402224705,0.7941229864259244
LSPIN,lspin_tf,mlp,0.0105,0.025,2,7,0.9718140080330836,0.9427916511076438
LSPIN,lspin_tf,mlp,0.0105,0.025,3,4,0.8423430357412028,0.8010029402787058
LSPIN,lspin_tf,mlp,0.0105,0.025,3,5,0.8330421962078676,0.8054802707169632
LSPIN,lspin_tf,mlp,0.0105,0.025,3,6,0.8128451402224705,0.7941229864259244
LSPIN,lspin_tf,mlp,0.0105,0.025,3,7,0.9587581589401832,0.9084286745068476
LSPIN,lspin_tf,mlp,0.0105,0.025,4,5,0.9798737212123528,0.9535155942584445
LSPIN,lspin_tf,mlp,0.0105,0.025,4,6,0.956017297333454,0.9108699463698255
LSPIN,lspin_tf,mlp,0.0105,0.025,4,7,0.8184662742439842,0.7746583870015588
LSPIN,lspin_tf,mlp,0.0105,0.025,5,6,0.9758042231104638,0.9445309564786816
LSPIN,lspin_tf,mlp,0.0105,0.025,5,7,0.8126741358274863,0.7774143319755327
LSPIN,lspin_tf,mlp,0.0105,0.025,6,7,0.7928349198672276,0.7751997651589877
LSPIN,lspin_tf,mlp,0.0035,0.05,0,1,0.9503735234577226,0.9168748753502118
LSPIN,lspin_tf,mlp,0.0035,0.05,0,2,0.9608288709972108,0.9292094903264608
LSPIN,lspin_tf,mlp,0.0035,0.05,0,3,0.9714305151480505,0.9428928874502024
LSPIN,lspin_tf,mlp,0.0035,0.05,0,4,0.9754528091232852,0.9441775087063404
LSPIN,lspin_tf,mlp,0.0035,0.05,0,5,0.9930721938849072,0.9799704490240622
LSPIN,lspin_tf,mlp,0.0035,0.05,0,6,0.9438692039299278,0.9023595112764656
LSPIN,lspin_tf,mlp,0.0035,0.05,0,7,0.9821783353597272,0.9586568663264508
LSPIN,lspin_tf,mlp,0.0035,0.05,1,2,0.9891666036602486,0.9784589811222298
LSPIN,lspin_tf,mlp,0.0035,0.05,1,3,0.9784359342832616,0.9627168988162196
LSPIN,lspin_tf,mlp,0.0035,0.05,1,4,0.9613602268984488,0.929158083480458
LSPIN,lspin_tf,mlp,0.0035,0.05,1,5,0.95728581670756,0.9370468611991848
LSPIN,lspin_tf,mlp,0.0035,0.05,1,6,0.9933745695931896,0.979685331632778
LSPIN,lspin_tf,mlp,0.0035,0.05,1,7,0.9678087536384248,0.9491705004418136
LSPIN,lspin_tf,mlp,0.0035,0.05,2,3,0.98914622396049,0.9785449494981008
LSPIN,lspin_tf,mlp,0.0035,0.05,2,4,0.9718140080330836,0.9427916511076438
LSPIN,lspin_tf,mlp,0.0035,0.05,2,5,0.9677459277913032,0.9493373045664472
LSPIN,lspin_tf,mlp,0.0035,0.05,2,6,0.9825398152401904,0.9581661319573492
LSPIN,lspin_tf,mlp,0.0035,0.05,2,7,0.9783945995820656,0.9628504246567072
LSPIN,lspin_tf,mlp,0.0035,0.05,3,4,0.9824117446711296,0.9585304697106728
LSPIN,lspin_tf,mlp,0.0035,0.05,3,5,0.9783517452100648,0.9629807017481892
LSPIN,lspin_tf,mlp,0.0035,0.05,3,6,0.9718083066551396,0.9424561159965475
LSPIN,lspin_tf,mlp,0.0035,0.05,3,7,0.989125056765531,0.9786286105903444
LSPIN,lspin_tf,mlp,0.0035,0.05,4,5,0.982254644827518,0.9586064664658552
LSPIN,lspin_tf,mlp,0.0035,0.05,4,6,0.9680175319049632,0.949169933583635
LSPIN,lspin_tf,mlp,0.0035,0.05,4,7,0.971635179144417,0.93734043621255
LSPIN,lspin_tf,mlp,0.0035,0.05,5,6,0.9506579967539516,0.9168568866305596
LSPIN,lspin_tf,mlp,0.0035,0.05,5,7,0.9891031484068808,0.9787100041769288
LSPIN,lspin_tf,mlp,0.0035,0.05,6,7,0.9611807880100818,0.9289445334183676
LSPIN,lspin_tf,mlp,0.0105,0.05,0,1,0.8417230322325441,0.8122419395194456
LSPIN,lspin_tf,mlp,0.0105,0.05,0,2,0.9671785610858098,0.9327004554514404
LSPIN,lspin_tf,mlp,0.0105,0.05,0,3,0.8317139352406072,0.8038594914695574
LSPIN,lspin_tf,mlp,0.0105,0.05,0,4,0.8417230322325441,0.8122419395194456
LSPIN,lspin_tf,mlp,0.0105,0.05,0,5,0.8448146707146812,0.8136876945731242
LSPIN,lspin_tf,mlp,0.0105,0.05,0,6,0.8347810581829515,0.8057862216661642
LSPIN,lspin_tf,mlp,0.0105,0.05,0,7,0.8379681944362039,0.8078109808503843
LSPIN,lspin_tf,mlp,0.0105,0.05,1,2,0.8124155475603696,0.7867965913122916
LSPIN,lspin_tf,mlp,0.0105,0.05,1,3,0.9823361054592886,0.958580807404036
LSPIN,lspin_tf,mlp,0.0105,0.05,1,4,1.0,1.0
LSPIN,lspin_tf,mlp,0.0105,0.05,1,5,0.9341924073755368,0.8771066978706122
LSPIN,lspin_tf,mlp,0.0105,0.05,1,6,0.989125056765531,0.9786286105903444
LSPIN,lspin_tf,mlp,0.0105,0.05,1,7,0.9823511843290764,0.9584638872603234
LSPIN,lspin_tf,mlp,0.0105,0.05,2,3,0.8029974554772523,0.7859873220219654
LSPIN,lspin_tf,mlp,0.0105,0.05,2,4,0.8124155475603696,0.7867965913122917
LSPIN,lspin_tf,mlp,0.0105,0.05,2,5,0.8124163001336263,0.7724690144807702
LSPIN,lspin_tf,mlp,0.0105,0.05,2,6,0.8059638401071223,0.7877034018542077
LSPIN,lspin_tf,mlp,0.0105,0.05,2,7,0.8090507213970023,0.7895084943720906
LSPIN,lspin_tf,mlp,0.0105,0.05,3,4,0.9823361054592886,0.958580807404036
LSPIN,lspin_tf,mlp,0.0105,0.05,3,5,0.9390241421395936,0.8850084760179634
LSPIN,lspin_tf,mlp,0.0105,0.05,3,6,0.9932222847362367,0.9798514100041428
LSPIN,lspin_tf,mlp,0.0105,0.05,3,7,0.9865723792458944,0.9653421307602674
LSPIN,lspin_tf,mlp,0.0105,0.05,4,5,0.9341924073755368,0.8771066978706122
LSPIN,lspin_tf,mlp,0.0105,0.05,4,6,0.989125056765531,0.9786286105903444
LSPIN,lspin_tf,mlp,0.0105,0.05,4,7,0.9823511843290764,0.9584638872603232
LSPIN,lspin_tf,mlp,0.0105,0.05,5,6,0.944938160244322,0.8927869634028838
LSPIN,lspin_tf,mlp,0.0105,0.05,5,7,0.9509706752446664,0.9011459510659872
LSPIN,lspin_tf,mlp,0.0105,0.05,6,7,0.993227794200153,0.9798141194347708
LSPIN,lspin_tf,mlp,0.0035,0.1,0,1,0.9680175319049632,0.949169933583635
LSPIN,lspin_tf,mlp,0.0035,0.1,0,2,0.989173658564539,0.9786943849641498
LSPIN,lspin_tf,mlp,0.0035,0.1,0,3,0.982254644827518,0.9586064664658552
LSPIN,lspin_tf,mlp,0.0035,0.1,0,4,0.989173658564539,0.97869438496415
LSPIN,lspin_tf,mlp,0.0035,0.1,0,5,0.9785343048969498,0.9628376081202634
LSPIN,lspin_tf,mlp,0.0035,0.1,0,6,0.9680175319049632,0.949169933583635
LSPIN,lspin_tf,mlp,0.0035,0.1,0,7,0.9784908687798864,0.957385985693519
LSPIN,lspin_tf,mlp,0.0035,0.1,1,2,0.9575648267882664,0.9370649021587384
LSPIN,lspin_tf,mlp,0.0035,0.1,1,3,0.9506579967539516,0.9168568866305596
LSPIN,lspin_tf,mlp,0.0035,0.1,1,4,0.9575648267882664,0.9370649021587384
LSPIN,lspin_tf,mlp,0.0035,0.1,1,5,0.989235857784294,0.9784398961046256
LSPIN,lspin_tf,mlp,0.0035,0.1,1,6,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.1,1,7,0.9680175319049632,0.949169933583635
LSPIN,lspin_tf,mlp,0.0035,0.1,2,3,0.993078140514175,0.979935251216191
LSPIN,lspin_tf,mlp,0.0035,0.1,2,4,1.0,1.0000000000000002
LSPIN,lspin_tf,mlp,0.0035,0.1,2,5,0.9679559516762976,0.9493377896007172
LSPIN,lspin_tf,mlp,0.0035,0.1,2,6,0.9575648267882664,0.9370649021587384
LSPIN,lspin_tf,mlp,0.0035,0.1,2,7,0.989173658564539,0.9786943849641498
LSPIN,lspin_tf,mlp,0.0035,0.1,3,4,0.993078140514175,0.9799352512161912
LSPIN,lspin_tf,mlp,0.0035,0.1,3,5,0.9610444525327488,0.9291745814003542
LSPIN,lspin_tf,mlp,0.0035,0.1,3,6,0.9506579967539516,0.9168568866305596
LSPIN,lspin_tf,mlp,0.0035,0.1,3,7,0.982254644827518,0.9586064664658552
LSPIN,lspin_tf,mlp,0.0035,0.1,4,5,0.9679559516762976,0.949337789600717
LSPIN,lspin_tf,mlp,0.0035,0.1,4,6,0.9575648267882664,0.9370649021587384
LSPIN,lspin_tf,mlp,0.0035,0.1,4,7,0.989173658564539,0.97869438496415
LSPIN,lspin_tf,mlp,0.0035,0.1,5,6,0.989235857784294,0.9784398961046256
LSPIN,lspin_tf,mlp,0.0035,0.1,5,7,0.9785343048969498,0.9628376081202634
LSPIN,lspin_tf,mlp,0.0035,0.1,6,7,0.9680175319049632,0.949169933583635
LSPIN,lspin_tf,mlp,0.0105,0.1,0,1,0.9783517452100648,0.9629807017481892
LSPIN,lspin_tf,mlp,0.0105,0.1,0,2,0.9755350490663736,0.944109196333274
LSPIN,lspin_tf,mlp,0.0105,0.1,0,3,0.9783517452100648,0.9629807017481892
LSPIN,lspin_tf,mlp,0.0105,0.1,0,4,0.9499494297240688,0.9015799834448842
LSPIN,lspin_tf,mlp,0.0105,0.1,0,5,0.9715767058961388,0.9428464313313132
LSPIN,lspin_tf,mlp,0.0105,0.1,0,6,0.9457686125577576,0.8949448129249414
LSPIN,lspin_tf,mlp,0.0105,0.1,0,7,0.9561515884191738,0.9107382107450798
LSPIN,lspin_tf,mlp,0.0105,0.1,1,2,0.9758263933893848,0.9440769179685802
LSPIN,lspin_tf,mlp,0.0105,0.1,1,3,1.0,1.0
LSPIN,lspin_tf,mlp,0.0105,0.1,1,4,0.9507678379508644,0.9018672209902692
LSPIN,lspin_tf,mlp,0.0105,0.1,1,5,0.993227794200153,0.979814119434771
LSPIN,lspin_tf,mlp,0.0105,0.1,1,6,0.967418778607328,0.9319396404199932
LSPIN,lspin_tf,mlp,0.0105,0.1,1,7,0.9568397584749104,0.9109281472820692
LSPIN,lspin_tf,mlp,0.0105,0.1,2,3,0.9758263933893848,0.9440769179685802
LSPIN,lspin_tf,mlp,0.0105,0.1,2,4,0.9734308518176448,0.941868022581354
LSPIN,lspin_tf,mlp,0.0105,0.1,2,5,0.9824875598611866,0.9584767709640832
LSPIN,lspin_tf,mlp,0.0105,0.1,2,6,0.9693638924811296,0.9313703076838876
LSPIN,lspin_tf,mlp,0.0105,0.1,2,7,0.9798803862142204,0.9528690352838732
LSPIN,lspin_tf,mlp,0.0105,0.1,3,4,0.9507678379508644,0.9018672209902692
LSPIN,lspin_tf,mlp,0.0105,0.1,3,5,0.993227794200153,0.979814119434771
LSPIN,lspin_tf,mlp,0.0105,0.1,3,6,0.967418778607328,0.9319396404199932
LSPIN,lspin_tf,mlp,0.0105,0.1,3,7,0.9568397584749104,0.9109281472820692
LSPIN,lspin_tf,mlp,0.0105,0.1,4,5,0.9569381314724702,0.9108557068861388
LSPIN,lspin_tf,mlp,0.0105,0.1,4,6,0.9696574971227964,0.923588148340494
LSPIN,lspin_tf,mlp,0.0105,0.1,4,7,0.9931834153922025,0.9796711269168942
LSPIN,lspin_tf,mlp,0.0105,0.1,5,6,0.9737010717614166,0.9418317723906304
LSPIN,lspin_tf,mlp,0.0105,0.1,5,7,0.9631330415271244,0.9207453397205853
LSPIN,lspin_tf,mlp,0.0105,0.1,6,7,0.9631960400754006,0.9092957170337248
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,0.9755948574420964,0.938621482886193
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,0.9798108890300704,0.9531221055460282
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,0.986446639734958,0.9653210382299344
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,0.9625403221467737,0.911881779218276
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,0.9669943731530452,0.9321708898059596
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,0.9755948574420964,0.938621482886193
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,0.9798108890300704,0.9531221055460282
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,0.9755948574420964,0.938621482886193
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,0.9798108890300704,0.9531221055460282
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,0.9755948574420964,0.938621482886193
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,0.9798108890300704,0.9531221055460282
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,0.9755948574420964,0.938621482886193
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,0.9798108890300704,0.9531221055460282
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,0.9689497711320584,0.9320707892270054
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.932199903345098,0.8780074916824522
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.9346174899911184,0.8838022566175248
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.932199903345098,0.8780074916824522
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.9797626555963712,0.9532903947493978
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,0.9669132318240428,0.9323562960737948
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,0.9389917698410206,0.88711642346348
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,0.9797626555963712,0.9532903947493978
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.9189484313258186,0.8312768613921914
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.9866170838839132,0.9594436870893952
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.9502038783606328,0.9015629347143252
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,0.9628007692591332,0.920530656570334
LSPIN,lspin_tf,mlp,0.0105,0.0,1,6,0.9479724951218887,0.9024504020254256
LSPIN,lspin_tf,mlp,0.0105,0.0,1,7,0.9502038783606328,0.9015629347143252
LSPIN,lspin_tf,mlp,0.0105,0.0,2,3,0.9306491089088584,0.85122714328201
LSPIN,lspin_tf,mlp,0.0105,0.0,2,4,0.9530317882252696,0.9090062118196186
LSPIN,lspin_tf,mlp,0.0105,0.0,2,5,0.9530680412922328,0.8990142642376421
LSPIN,lspin_tf,mlp,0.0105,0.0,2,6,0.9433272253629608,0.8774120278107577
LSPIN,lspin_tf,mlp,0.0105,0.0,2,7,0.9530317882252696,0.9090062118196186
LSPIN,lspin_tf,mlp,0.0105,0.0,3,4,0.9502038783606328,0.9015629347143252
LSPIN,lspin_tf,mlp,0.0105,0.0,3,5,0.9628007692591332,0.920530656570334
LSPIN,lspin_tf,mlp,0.0105,0.0,3,6,0.9479724951218887,0.9024504020254256
LSPIN,lspin_tf,mlp,0.0105,0.0,3,7,0.9502038783606328,0.9015629347143252
LSPIN,lspin_tf,mlp,0.0105,0.0,4,5,0.9864122093276296,0.9654804902709708
LSPIN,lspin_tf,mlp,0.0105,0.0,4,6,0.958189318582964,0.9166933717812452
LSPIN,lspin_tf,mlp,0.0105,0.0,4,7,1.0,1.0
LSPIN,lspin_tf,mlp,0.0105,0.0,5,6,0.9715785095241622,0.9431618407851488
LSPIN,lspin_tf,mlp,0.0105,0.0,5,7,0.9864122093276296,0.9654804902709708
LSPIN,lspin_tf,mlp,0.0105,0.0,6,7,0.958189318582964,0.9166933717812452
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.9610444525327488,0.9291745814003542
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,0,4,0.993078140514175,0.9799352512161912
LSPIN,lspin_tf,mlp,0.0035,0.025,0,5,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,0,6,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,0,7,1.0,1.0
LSPIN,lspin_tf,mlp,0.0035,0.025,1,2,0.9610444525327488,0.9291745814003542
LSPIN,lspin_tf,mlp,0.0035,0.025,1,3,0.9610444525327488,0.9291745814003542
