model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10123,0,0.7193450114242194,0.778969957081545,8,339.4517517089844,0.9899251062246224,1319.0,813.0,720.1553232418747
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10124,1,0.7368621477532369,0.8011444921316166,7,471.3050231933594,0.9890306908252676,1568.0,1006.0,931.0048596452464
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10125,2,0.7196306169078446,0.8047210300429185,6,439.2278137207031,0.992298765872575,1676.0,953.0,905.646747564639
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10126,3,0.7467631378522468,0.7911301859799714,5,537.602294921875,0.9931602815109304,1888.0,1202.0,1098.7426762115065
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10127,4,0.7290555978674791,0.7775393419170243,6,432.8764343261719,0.9908019595357662,1566.0,943.0,872.8210186433085
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10128,5,0.7373381568926123,0.7703862660944206,6,431.9768371582031,0.9844538624590146,1446.0,941.0,872.6641756564497
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10129,6,0.7388613861386139,0.7811158798283262,6,440.4324340820313,0.988846428047258,1598.0,1011.0,921.2268295586248
LSPIN,lspin_tf,mlp,0.22,0.0035,0.0,10130,7,0.7305788271134805,0.7682403433476395,8,415.4131164550781,0.9860935858864216,1303.0,900.0,819.4129341117341
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50123,0,0.7141089108910891,0.7782546494992847,11,168.19691467285156,0.9663003224787614,455.0,333.0,310.2238042427384
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50124,1,0.7085872048743336,0.7639484978540773,8,153.5791473388672,0.9689854787960794,530.0,320.0,302.5246399495099
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50125,2,0.7004950495049505,0.7739628040057225,10,152.18533325195312,0.958237483502175,530.0,299.0,284.7685518437142
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50126,3,0.7381949733434882,0.7804005722460658,11,140.15057373046875,0.966187262000732,428.0,289.0,270.0613200997024
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50127,4,0.7335300837776085,0.7947067238912733,8,198.84556579589844,0.9738808708864992,709.0,407.0,382.9708271224076
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50128,5,0.7156321401370906,0.7632331902718169,7,200.6525115966797,0.9758428823371949,625.0,410.0,394.8231100766311
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50129,6,0.7121096725057121,0.765379113018598,9,176.56370544433594,0.9631162079853444,503.0,354.0,327.58472274622653
LSPIN,lspin_tf,mlp,0.22,0.0105,0.0,50130,7,0.7161081492764662,0.7846924177396281,11,154.8687286376953,0.9657272446411868,457.0,311.0,289.1257504629344
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90123,0,0.7509520182787509,0.7689556509298998,4,1364.482666015625,0.9983633704298568,2898.0,2591.0,2331.474913945713
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90124,1,0.7312452399086062,0.7896995708154506,5,1357.5328369140625,0.998511471397758,2812.0,2624.0,2323.7955387414304
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90125,2,0.7210586443259711,0.7811158798283262,7,1396.891845703125,0.9985324361576072,2824.0,2727.0,2361.4951094643257
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90126,3,0.7263899466869764,0.7811158798283262,5,1472.328125,0.9986675513155172,2952.0,2755.0,2469.9366455509808
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90127,4,0.7204874333587205,0.7682403433476395,2,1500.7027587890625,0.9986083365091568,3565.0,3027.0,2673.402964831276
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90128,5,0.7256283320639756,0.7732474964234621,3,1295.4053955078125,0.9981941345026076,2889.0,2402.0,2214.910916741952
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90129,6,0.7353389185072353,0.7947067238912733,4,1499.0347900390625,0.9985961477511978,3029.0,2852.0,2517.15245590572
LSPIN,lspin_tf,mlp,0.22,0.0035,0.025,90130,7,0.7273419649657273,0.790414878397711,2,1525.5906982421875,0.9988278152831824,3507.0,3028.0,2677.6830827409926
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130123,0,0.725057121096725,0.8047210300429185,13,474.061767578125,0.9915430446160148,933.0,824.0,773.4952840475642
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130124,1,0.7402894135567403,0.7632331902718169,9,394.5096435546875,0.9883364373279244,815.0,724.0,665.9773486801173
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130125,2,0.6857387661843107,0.801859799713877,12,383.6795349121094,0.98713633797357,746.0,688.0,630.1127948198426
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130126,3,0.7174409748667174,0.7839771101573677,8,484.9845581054688,0.9877168250263388,1002.0,882.0,814.5636337393234
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130127,4,0.7141089108910891,0.7825464949928469,12,426.687255859375,0.9895555600648364,795.0,720.0,670.7897334749938
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130128,5,0.7063023610053313,0.7839771101573677,12,401.0849304199219,0.9879242860611442,789.0,704.0,655.6005438051774
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130129,6,0.6906892612338157,0.751788268955651,11,444.9652404785156,0.9890629561168052,891.0,763.0,719.8449342000989
LSPIN,lspin_tf,mlp,0.22,0.0105,0.025,130130,7,0.710967250571211,0.8004291845493562,11,388.66021728515625,0.9878257781758084,800.0,706.0,650.03788467887
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170123,0,0.7307692307692307,0.7947067238912733,2,1577.4671630859375,0.9990319100958864,3526.0,3173.0,2782.691034738874
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170124,1,0.7263899466869764,0.8032904148783977,10,1460.517333984375,0.9986087415795109,2856.0,2789.0,2462.6112003354883
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170125,2,0.7271515613099772,0.771101573676681,3,1535.0733642578125,0.9988774016813506,3410.0,3237.0,2737.736726948816
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170126,3,0.7309596344249809,0.7846924177396281,2,1515.7606201171875,0.9986833858557372,3424.0,3027.0,2663.875845623741
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170127,4,0.7231530845392231,0.7997138769670958,4,1567.79150390625,0.99880623219889,3208.0,3034.0,2669.092607510161
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170128,5,0.7258187357197258,0.7668097281831188,3,1460.7645263671875,0.9987254377411025,3355.0,3015.0,2620.7329063431444
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170129,6,0.7283891850723534,0.7854077253218884,4,1419.8184814453125,0.998706646670339,3068.0,2814.0,2470.745610005304
LSPIN,lspin_tf,mlp,0.22,0.0035,0.05,170130,7,0.7197258187357197,0.7932761087267525,2,1548.8648681640625,0.9987397843789118,3407.0,2975.0,2667.052307041839
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210123,0,0.727056359482102,0.7560801144492132,6,699.6911010742188,0.9959475379679888,1384.0,1250.0,1173.588186080672
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210124,1,0.7185833968012186,0.7839771101573677,8,672.1389770507812,0.9941695585867478,1352.0,1260.0,1122.7643184991814
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210125,2,0.7056359482102056,0.7939914163090128,13,545.6563720703125,0.9930435809833034,979.0,938.0,877.5959007022601
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210126,3,0.7047791317593298,0.7532188841201717,10,578.0347290039062,0.9932769743535989,1147.0,1048.0,986.7802626828308
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210127,4,0.7045887281035796,0.7811158798283262,9,646.7026977539062,0.9950139226866058,1198.0,1147.0,1065.5915451168607
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210128,5,0.7334348819497334,0.8054363376251789,13,623.393798828125,0.9940569729625268,1175.0,1108.0,1016.436514169838
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210129,6,0.7303884234577304,0.7868383404864091,6,700.1930541992188,0.9956804756543144,1446.0,1323.0,1206.0927845799745
LSPIN,lspin_tf,mlp,0.22,0.0105,0.05,210130,7,0.7108720487433359,0.8118741058655222,11,580.2857055664062,0.993967405760175,1118.0,1071.0,963.3875567565732
LSPIN,lspin_tf,mlp,0.22,0.0035,0.1,250123,0,0.7337204874333587,0.7854077253218884,3,1489.46337890625,0.9985278608304068,3185.0,2790.0,2531.966988886292
LSPIN,lspin_tf,mlp,0.22,0.0035,0.1,250124,1,0.7171553693830921,0.7854077253218884,5,1531.478759765625,0.9987553435804836,3203.0,3052.0,2618.001789483684
LSPIN,lspin_tf,mlp,0.22,0.0035,0.1,250125,2,0.7359101294744859,0.7732474964234621,2,1545.100341796875,0.9989193309962184,3441.0,2988.0,2677.4251197178405
LSPIN,lspin_tf,mlp,0.22,0.0035,0.1,250126,3,0.7327684691546078,0.7818311874105865,2,1595.899658203125,0.9990110468981276,3459.0,3181.0,2796.388097815223
LSPIN,lspin_tf,mlp,0.22,0.0035,0.1,250127,4,0.7229626808834729,0.7796852646638054,3,1621.7606201171875,0.9987915592504614,3393.0,3055.0,2730.466883244233
LSPIN,lspin_tf,mlp,0.22,0.0035,0.1,250128,5,0.7230578827113481,0.8004291845493562,4,1545.1929931640625,0.998751283250622,3115.0,2908.0,2628.3683045638377
