model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
Concrete,0.0,0.006,0.8949338132253501,3.976747411242603,0.6675348750694425,3.4430935650887577,0.5330840200452042,56,85.24734497070312
Concrete,0.0,0.004,0.9110832174690232,4.110160872781065,0.7040822662356533,3.4533561390532546,0.5344549700833923,56,120.23407363891602
Concrete,0.0,0.003,0.9206964167896169,4.031481139053255,0.6832165440832879,3.520062869822485,0.5490597872977148,56,178.69932556152344
Concrete,0.0,0.0025,0.9342704335454342,4.248705621301775,0.7451269911955618,3.80570451183432,0.6207400013385014,56,227.61293506622314
Concrete,0.0,0.002,0.9375160347712282,4.294887204142012,0.7602602147479296,3.795441937869822,0.617527039373921,56,280.1006278991699
Concrete,0.0,0.0015,0.9505271827732932,4.347910502958579,0.7754452953842197,3.8809633875739644,0.6411405715161803,56,382.088321685791
Concrete,0.0,0.001,0.9580962145406682,4.358173076923077,0.7797332483762976,3.9442492603550297,0.6607349072953602,56,533.5953254699707
Concrete,0.0,0.00075,0.9542027786913649,4.370146079881656,0.7825105882183356,3.8279400887573964,0.6282803116310961,56,805.3320465087891
Concrete,0.025,0.006,0.8873831894247918,3.879252958579882,0.6407196199719242,3.266919378698225,0.4903581485321906,56,79.60521292686462
Concrete,0.025,0.004,0.9170088965533832,4.046875,0.6860210397481522,3.319942677514793,0.5034760187483892,56,110.28257846832275
Concrete,0.025,0.003,0.9362047318495573,4.199103180473372,0.7308865677139041,3.393491124260355,0.5212029950335516,56,143.0815634727478
Concrete,0.025,0.0025,0.9380372382421996,4.14950073964497,0.7150536066404626,3.5474297337278107,0.5564315495071156,56,169.90516424179077
Concrete,0.025,0.002,0.9267409460117927,4.060558431952662,0.6896221116251634,3.4533561390532546,0.5354197979189131,56,200.3438720703125
Concrete,0.025,0.0015,0.9422050471091615,4.235022189349112,0.7412828080282122,3.7133413461538463,0.5973977620969375,56,296.85497283935547
Concrete,0.025,0.001,0.9503328001410368,4.282914201183432,0.7561954218931602,3.899778106508876,0.646516291593635,56,427.11848640441895
Concrete,0.025,0.00075,0.9592805434773102,4.320543639053254,0.7673526179950285,3.8621486686390534,0.6367565469137844,56,544.7309322357178
Concrete,0.05,0.006,0.8905348153032226,3.870700813609467,0.6385072431643818,3.2908653846153846,0.49741711413588074,56,79.53933429718018
Concrete,0.05,0.004,0.9281133112825913,4.147790310650888,0.7168374649316743,3.5337463017751483,0.5546700214442284,56,117.2039098739624
Concrete,0.05,0.003,0.9026248510193653,3.863859097633136,0.6363888503079467,3.395201553254438,0.5204989947828152,56,129.24348545074463
Concrete,0.05,0.0025,0.9237435626808658,4.103319156804734,0.7037213592790572,3.458487426035503,0.5368825768784765,56,155.63320446014404
Concrete,0.05,0.002,0.924990476519852,3.9750369822485205,0.6678014038232101,3.6261094674556213,0.5755975575845383,56,176.37934398651123
Concrete,0.05,0.0015,0.9478062310488851,4.216207470414201,0.7353599446744548,3.7834689349112423,0.6176724423301545,56,268.7606191635132
Concrete,0.05,0.001,0.9456795607793582,4.2812037721893486,0.7554254609397609,3.7304456360946747,0.6054807805726329,56,408.48238372802734
Concrete,0.05,0.00075,0.9477560297193609,4.258968195266272,0.7499456590262897,3.7937315088757395,0.6187460579677334,56,674.7555484771729
