model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,risk_corr,top_risk_overlap_ratio,top_risk_jaccard,bottom_risk_overlap_ratio,bottom_risk_jaccard
LSPIN,lspin_tf,mlp,0.0035,0.0,0,1,0.8855988586058224,3.831360946745562,0.625,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,0,2,0.869270671778119,3.927144970414201,0.6507936507936508,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0035,0.0,0,3,0.8603300313377393,4.02292899408284,0.6774193548387096,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,0,4,0.9144635894068672,3.5440088757396446,0.5522388059701493,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,0,5,0.902180155790993,3.735576923076923,0.6,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0035,0.0,0,6,0.8988738243606148,4.02292899408284,0.6774193548387096,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.0035,0.0,0,7,0.9135423173008976,3.831360946745562,0.625,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.0035,0.0,1,2,0.9302097826334116,4.214497041420118,0.7333333333333333,3.5440088757396446,0.5522388059701493
LSPIN,lspin_tf,mlp,0.0035,0.0,1,3,0.919298977930718,4.214497041420118,0.7333333333333333,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,1,4,0.9154202193468116,3.927144970414201,0.6507936507936508,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,1,5,0.933407367682714,4.02292899408284,0.6774193548387096,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,1,6,0.9109498614517502,4.214497041420118,0.7333333333333333,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,1,7,0.9225530068781528,4.118713017751479,0.7049180327868853,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0035,0.0,2,3,0.9292894427245816,4.310281065088757,0.7627118644067796,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.0035,0.0,2,4,0.9029554615775184,4.118713017751479,0.7049180327868853,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,2,5,0.9294450858462644,4.02292899408284,0.6774193548387096,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.0035,0.0,2,6,0.9244141708652498,4.693417159763313,0.8909090909090909,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,2,7,0.9093503395499593,4.02292899408284,0.6774193548387096,3.352440828402367,0.5072463768115942
LSPIN,lspin_tf,mlp,0.0035,0.0,3,4,0.9114562923309956,4.310281065088757,0.7627118644067796,3.927144970414201,0.6507936507936508
LSPIN,lspin_tf,mlp,0.0035,0.0,3,5,0.9304573640364466,4.214497041420118,0.7333333333333333,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0035,0.0,3,6,0.8843482880375821,4.406065088757396,0.7931034482758621,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.0035,0.0,3,7,0.8963515458094714,4.214497041420118,0.7333333333333333,3.735576923076923,0.6
LSPIN,lspin_tf,mlp,0.0035,0.0,4,5,0.9344153187240444,4.02292899408284,0.6774193548387096,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,4,6,0.92559522839278,4.310281065088757,0.7627118644067796,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,4,7,0.928992681202112,4.118713017751479,0.7049180327868853,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0035,0.0,5,6,0.9231301189694998,4.310281065088757,0.7627118644067796,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0035,0.0,5,7,0.9312194786668532,3.831360946745562,0.625,3.831360946745562,0.625
LSPIN,lspin_tf,mlp,0.0035,0.0,6,7,0.9195855729451188,4.118713017751479,0.7049180327868853,3.639792899408284,0.5757575757575758
LSPIN,lspin_tf,mlp,0.0105,0.0,0,1,0.8053322660084217,3.352440828402367,0.5072463768115942,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,mlp,0.0105,0.0,0,2,0.7879136892877839,2.9693047337278107,0.4246575342465753,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.0105,0.0,0,3,0.7983135763431795,3.448224852071006,0.5294117647058824,2.7777366863905324,0.3866666666666666
LSPIN,lspin_tf,mlp,0.0105,0.0,0,4,0.8191574338034305,3.5440088757396446,0.5522388059701493,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.0105,0.0,0,5,0.8308941941322419,3.735576923076923,0.6,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,0,6,0.8542486850038589,3.831360946745562,0.625,3.1608727810650885,0.4647887323943662
LSPIN,lspin_tf,mlp,0.0105,0.0,0,7,0.8560710086578666,3.5440088757396446,0.5522388059701493,3.448224852071006,0.5294117647058824
LSPIN,lspin_tf,mlp,0.0105,0.0,1,2,0.8242291683455734,3.1608727810650885,0.4647887323943662,2.9693047337278107,0.4246575342465753
LSPIN,lspin_tf,mlp,0.0105,0.0,1,3,0.8571923771918527,3.639792899408284,0.5757575757575758,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,1,4,0.860045152492341,3.352440828402367,0.5072463768115942,3.256656804733728,0.4857142857142857
LSPIN,lspin_tf,mlp,0.0105,0.0,1,5,0.8656804700555141,3.927144970414201,0.6507936507936508,3.448224852071006,0.5294117647058824
