model_family,lambda_sample_smooth,lambda_sparse,mean_cluster_ari,mean_cluster_nmi,n_pairs,mean_Khard
Concrete,0.0,0.006,0.9531180507691089,0.9052753725290591,56,85.24734497070312
Concrete,0.0,0.004,0.9626375373828149,0.9228790410268035,56,120.23407363891602
Concrete,0.0,0.003,0.9302337638137456,0.9063906929305799,56,178.69932556152344
Concrete,0.0,0.0025,0.9732536489862981,0.9393822090735947,56,227.61293506622314
Concrete,0.0,0.002,0.9308816898280421,0.9077313340023394,56,280.1006278991699
Concrete,0.0,0.0015,0.9331420599777142,0.8946329399069507,56,382.088321685791
Concrete,0.0,0.001,0.9620208449289385,0.9244073236336334,56,533.5953254699707
Concrete,0.0,0.00075,0.9729880120485499,0.9417263968586794,56,805.3320465087891
Concrete,0.025,0.006,0.9689018365301131,0.9355261055294191,56,79.60521292686462
Concrete,0.025,0.004,0.973712522541942,0.9406429803224909,56,110.28257846832275
Concrete,0.025,0.003,0.9868707314425086,0.967047164492589,56,143.0815634727478
Concrete,0.025,0.0025,0.9778133367776525,0.9507948132233863,56,169.90516424179077
Concrete,0.025,0.002,0.9795424741389513,0.9536670193166206,56,200.3438720703125
Concrete,0.025,0.0015,0.9843673838642929,0.9658978917605255,56,296.85497283935547
Concrete,0.025,0.001,0.98129607719381,0.9658080659700753,56,427.11848640441895
Concrete,0.025,0.00075,0.9789413522704138,0.9621542705568019,56,544.7309322357178
Concrete,0.05,0.006,0.9586981398379987,0.9275914653115507,56,79.53933429718018
Concrete,0.05,0.004,0.9836775262725244,0.963712721916892,56,117.2039098739624
Concrete,0.05,0.003,0.9836246017726549,0.9632174779214687,56,129.24348545074463
Concrete,0.05,0.0025,0.9890515066050843,0.9753491518778034,56,155.63320446014404
Concrete,0.05,0.002,0.9806542131876629,0.9584319575650221,56,176.37934398651123
Concrete,0.05,0.0015,0.9830300530602276,0.9655738077235024,56,268.7606191635132
Concrete,0.05,0.001,0.9709303124457774,0.9518813384888906,56,408.48238372802734
Concrete,0.05,0.00075,0.9673675422052772,0.9456086804760834,56,674.7555484771729
Concrete,0.1,0.006,0.9637752942708081,0.938274608607993,56,73.53088760375977
Concrete,0.1,0.004,0.987068660379016,0.9721449774007703,56,98.69377422332764
Concrete,0.1,0.0025,0.9852596272634838,0.9698349348618622,56,140.20559930801392
Concrete,0.1,0.003,0.9919617438484725,0.9822835316699569,56,142.01858186721802
Concrete,0.1,0.002,0.9890908290434994,0.9769044152555187,56,205.41819286346436
Concrete,0.1,0.0015,0.9778427915928416,0.9596743731527421,56,274.89406394958496
Concrete,0.1,0.001,0.9790320497380266,0.9641139722415534,56,469.19956970214844
Concrete,0.1,0.00075,0.9791613570588034,0.9638985304227106,56,578.0313701629639
L-Concrete,0.0,0.006,0.9504340637754257,0.9028760827980117,56,62.641891956329346
L-Concrete,0.0,0.004,0.7439371665543391,0.7884846081912784,56,119.94546270370483
L-Concrete,0.0,0.003,0.7474924567072022,0.7760448987684355,56,201.1949806213379
L-Concrete,0.0,0.0025,0.7902007966784614,0.8268039850486509,56,276.7717180252075
L-Concrete,0.0,0.002,0.6947257597904659,0.7528961023621513,56,367.4112014770508
L-Concrete,0.0,0.0015,0.7215176111848592,0.7748013108398502,56,584.6833992004395
L-Concrete,0.0,0.001,0.7506442881400138,0.7853909078977176,56,1122.4770736694336
L-Concrete,0.0,0.00075,0.8058134615734565,0.8174889324762484,56,1829.7333602905273
L-Concrete,0.025,0.006,0.9554953403213302,0.9211674514910292,56,55.015443563461304
L-Concrete,0.025,0.004,0.9725454669106721,0.9396118960522248,56,108.68146800994873
L-Concrete,0.025,0.003,0.9813746872779073,0.9567466833031472,56,150.25192975997925
L-Concrete,0.025,0.0025,0.980181162300209,0.9543648233206016,56,204.01447868347168
L-Concrete,0.025,0.002,0.986350066771725,0.9691551277814412,56,294.12427616119385
L-Concrete,0.025,0.0015,0.9774421015141609,0.9547564267798515,56,422.4102325439453
L-Concrete,0.025,0.001,0.9763253403263926,0.9568068825371282,56,756.0168876647949
L-Concrete,0.025,0.00075,0.9783827414812416,0.9612788578161485,56,1137.0106315612793
L-Concrete,0.05,0.006,0.9810697657877526,0.9551645629742792,56,58.678571701049805
L-Concrete,0.05,0.004,0.9811265425089625,0.9579070819111203,56,96.51809930801392
L-Concrete,0.05,0.003,0.9823265431304916,0.9633637355320627,56,141.67181539535522
L-Concrete,0.05,0.0025,0.9885012447834866,0.9724068084841301,56,177.43750095367432
L-Concrete,0.05,0.002,0.9807790409920961,0.9601866239121514,56,247.20873546600342
L-Concrete,0.05,0.0015,0.9760059435277999,0.9567716584029514,56,388.8055019378662
L-Concrete,0.05,0.001,0.9765718961639169,0.9590774294562301,56,604.4558410644531
L-Concrete,0.05,0.00075,0.9783885061856613,0.9619074898426886,56,1095.9990463256836
L-Concrete,0.1,0.006,0.9855643348172659,0.968954313749129,56,53.13610076904297
L-Concrete,0.1,0.004,0.9859215212827079,0.9700988842859715,56,89.06780910491943
L-Concrete,0.1,0.003,0.9811297355837482,0.9655097246913019,56,119.63368654251099
L-Concrete,0.1,0.0025,0.9776536744300482,0.95937474425882,56,155.4555983543396
