model_family,gate_type,predictor,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
LSPIN,lspin_tf,mlp,0.028,0.0,0,2,0.9889606416789172
LSPIN,lspin_tf,mlp,0.028,0.0,0,3,0.9780499118536038
LSPIN,lspin_tf,mlp,0.028,0.0,0,4,0.9920166128319816
LSPIN,lspin_tf,mlp,0.028,0.0,1,2,0.986807676940413
LSPIN,lspin_tf,mlp,0.028,0.0,1,3,0.9811570399675332
LSPIN,lspin_tf,mlp,0.028,0.0,1,4,0.9912950482639324
LSPIN,lspin_tf,mlp,0.028,0.0,2,3,0.9861150465328888
LSPIN,lspin_tf,mlp,0.028,0.0,2,4,0.9949680034174954
LSPIN,lspin_tf,mlp,0.028,0.0,3,4,0.9820705011818632
LSPIN,lspin_tf,mlp,0.0035,0.025,0,1,0.9971325179153278
LSPIN,lspin_tf,mlp,0.0035,0.025,0,2,0.985601932134849
LSPIN,lspin_tf,mlp,0.0035,0.025,0,3,0.9940974450906128
LSPIN,lspin_tf,mlp,0.0035,0.025,0,4,0.9981216647299757
LSPIN,lspin_tf,mlp,0.0035,0.025,1,2,0.9928488180147932
LSPIN,lspin_tf,mlp,0.0035,0.025,1,3,0.998141518990427
LSPIN,lspin_tf,mlp,0.0035,0.025,1,4,0.9977579197107408
LSPIN,lspin_tf,mlp,0.0035,0.025,2,3,0.9946064706297764
LSPIN,lspin_tf,mlp,0.0035,0.025,2,4,0.9866585281946286
LSPIN,lspin_tf,mlp,0.0035,0.025,3,4,0.9966124435571064
LSPIN,lspin_tf,mlp,0.00525,0.025,0,1,0.997745427811228
LSPIN,lspin_tf,mlp,0.00525,0.025,0,2,0.9966458562290336
LSPIN,lspin_tf,mlp,0.00525,0.025,0,3,0.9987158753370394
LSPIN,lspin_tf,mlp,0.00525,0.025,0,4,0.9934208551953032
LSPIN,lspin_tf,mlp,0.00525,0.025,1,2,0.9915173813320756
LSPIN,lspin_tf,mlp,0.00525,0.025,1,3,0.9966548115074092
LSPIN,lspin_tf,mlp,0.00525,0.025,1,4,0.9859147529904468
LSPIN,lspin_tf,mlp,0.00525,0.025,2,3,0.9978724643818062
LSPIN,lspin_tf,mlp,0.00525,0.025,2,4,0.9984125931264566
LSPIN,lspin_tf,mlp,0.00525,0.025,3,4,0.994497401291372
