model_family,gate_type,predictor,gate_sigma,temperature,lambda_sparse,lambda_sample_smooth,seed,run_id,test_cindex,best_val_cindex,best_epoch,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.15,0.5,0.0035,0.0,10123,0,0.726961157654227,0.7753934191702432,7,434.83782958984375,0.9905313927414926,1587.0,994.0,899.3750295019647
LSPIN,lspin_tf,mlp,0.15,0.5,0.0035,0.0,10124,1,0.7254379284082254,0.8125894134477826,8,572.2432250976562,0.9901437327878028,1588.0,1123.0,1046.6550523093613
LSPIN,lspin_tf,mlp,0.15,0.5,0.0035,0.0,10125,2,0.7123952779893374,0.7939914163090128,8,507.57916259765625,0.9918195354293892,1569.0,1020.0,964.0300324973886
LSPIN,lspin_tf,mlp,0.15,0.5,0.0035,0.0,10126,3,0.7358149276466108,0.7832618025751072,5,653.355224609375,0.9942022406000048,2145.0,1393.0,1282.1922008548286
LSPIN,lspin_tf,mlp,0.15,0.5,0.0035,0.0,10127,4,0.7155369383092155,0.7639484978540773,5,606.5984497070312,0.9937631720373328,2061.0,1289.0,1188.7299531433878
LSPIN,lspin_tf,mlp,0.15,0.5,0.00525,0.0,20123,0,0.7205826351865956,0.7746781115879828,7,385.9034729003906,0.9899730730812664,1291.0,819.0,747.4668224475487
LSPIN,lspin_tf,mlp,0.15,0.5,0.00525,0.0,20124,1,0.734006092916984,0.7896995708154506,7,470.5907287597656,0.990800866291932,1385.0,918.0,860.6376691538071
LSPIN,lspin_tf,mlp,0.15,0.5,0.00525,0.0,20125,2,0.7326732673267327,0.7732474964234621,8,383.729736328125,0.9856392732292454,1184.0,772.0,730.0815674873509
LSPIN,lspin_tf,mlp,0.15,0.5,0.00525,0.0,20126,3,0.7391469916222392,0.7825464949928469,7,404.2934265136719,0.9868600480455352,1239.0,820.0,753.8745598762533
LSPIN,lspin_tf,mlp,0.15,0.5,0.00525,0.0,20127,4,0.7356245239908606,0.7775393419170243,5,575.521240234375,0.9940847741274876,1839.0,1197.0,1113.0748360308953
