model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi,rank_cindex,rank_affinity,rank_risk,rank_cluster,rank_parsimony,joint_score
Concrete,0.025,0.0015,298.3540512084961,77.90960462438629,0.7329303122619955,0.0070277680107742905,0.9849525565207504,0.004177428464279863,1501.6,816.7,738.1040179988003,10,0.9937582036540912,0.93570193542896,4.224075443786982,0.9882928739913759,0.9722915407409394,0.96875,0.6875,0.65625,0.96875,0.40625,0.7375
Concrete,0.025,0.002,191.8953643798828,48.18159020840451,0.7300456968773801,0.009137854764741868,0.9765749414965352,0.00848128017144183,1026.7,566.8,504.98224165919964,10,0.9953637483025037,0.9301936612561039,3.9941937869822484,0.9822712268106153,0.9626960095366496,0.71875,0.96875,0.59375,0.71875,0.53125,0.70625
Concrete,0.025,0.001,439.4185363769531,120.19356627649954,0.734472581873572,0.006921557728081671,0.9885658363990751,0.0059199789678194455,2038.2,1234.4,1080.2402657085554,10,0.9947028047628098,0.9426555017862606,4.281545857988165,0.9756620643085508,0.953548649896414,1.0,0.90625,0.78125,0.46875,0.3125,0.69375
Concrete,0.1,0.0015,252.10308990478515,68.47778059372698,0.7307882711348058,0.009801093810267163,0.9811709856700574,0.008167459365780831,1184.1,669.5,581.6945487614148,10,0.9935776912268285,0.9416393867456966,4.099556213017751,0.9860448416729067,0.9741236515225152,0.8125,0.65625,0.75,0.8125,0.4375,0.69375
Concrete,0.05,0.0015,229.87142791748047,25.217523706371963,0.7256378522467631,0.013032991539411707,0.9797546896335879,0.004580202830739592,1105.3,625.8,552.0935195810798,10,0.9940084712337154,0.9372709993672534,4.128291420118343,0.9878202412032506,0.9744612796220885,0.375,0.75,0.6875,0.9375,0.5,0.65
Concrete,0.1,0.0025,145.15405197143554,54.29804752890973,0.7232006854531607,0.007642578371480929,0.9628594807880775,0.012936628773627293,642.4,374.3,329.9627625799162,10,0.994320378847226,0.9216388849190557,4.02292899408284,0.9897476357905344,0.9778331479802954,0.25,0.84375,0.3125,1.0,0.84375,0.65
Concrete,0.025,0.0025,158.77065734863282,22.022946130869876,0.7318640517897943,0.01130265300087653,0.974255673851293,0.005936012750025744,893.8,455.9,411.0090291527613,10,0.9934226605005113,0.9272858866742076,4.013350591715976,0.979398972476333,0.9531906425271448,0.90625,0.625,0.5,0.59375,0.59375,0.64375
Concrete,0.05,0.0025,164.70385971069337,44.82244717895353,0.7282939832444784,0.013760680612203764,0.9722652793739839,0.010432753542895464,812.1,459.7,403.32775681103203,10,0.9944401375791909,0.9210296983782744,4.133080621301775,0.9810934698132636,0.960491694769375,0.53125,0.875,0.28125,0.6875,0.6875,0.6125
Concrete,0.05,0.00075,686.3602294921875,191.82260252524588,0.7317402894135567,0.004757932996308544,0.9935196448120045,0.00416610116825401,2755.6,1743.0,1506.2037071698064,10,0.9950314750149843,0.9462518435878442,4.305491863905326,0.9669108637790226,0.9433842532761638,0.875,0.9375,0.84375,0.25,0.125,0.60625
Concrete,0.025,0.00075,546.494595336914,125.97646022245118,0.730455064737243,0.00708826465182997,0.9919605507539684,0.002911196131698816,2330.3,1443.6,1268.9969194572645,10,0.9930287620628917,0.9531425361396624,4.276756656804734,0.9786617218742657,0.9618861848246164,0.75,0.53125,1.0,0.5625,0.1875,0.60625
Concrete,0.025,0.003,140.27876358032228,38.81581106967096,0.7236957349581112,0.00689350790183753,0.970344632461283,0.00993544373351079,779.5,389.6,356.52111691348307,10,0.9954163888486708,0.9244430923680845,3.9846153846153847,0.9766091137257842,0.9495658654090887,0.28125,1.0,0.40625,0.5,0.71875,0.58125
Concrete,0.05,0.004,111.15714492797852,23.649299171937994,0.7251047220106626,0.009796926491561988,0.9630181365508814,0.014458883760269757,612.7,310.1,278.6050894276483,10,0.9932265927313345,0.9272828874737472,4.113923816568047,0.979772464354529,0.9535205998246032,0.34375,0.5625,0.46875,0.625,0.875,0.575
L-Concrete,0.025,0.0015,394.93706970214845,66.82366184520608,0.7270277989337395,0.007006672001570408,0.9897589534997813,0.004098671057469982,1544.7,1047.2,898.4827470784988,10,0.9907451741546517,0.9456664594801258,4.228864644970414,0.9891810493919637,0.9748829516928478,0.59375,0.65625,0.9375,0.90625,0.40625,0.7
L-Concrete,0.025,0.002,260.79922943115236,48.89733152762602,0.7306264280274182,0.008325458966828531,0.9799501210253814,0.006762101200934456,1106.0,685.3,606.4479397435191,10,0.9893570441473001,0.9442329430212997,4.147448224852071,0.9837241692699784,0.9633290821527639,0.78125,0.53125,0.84375,0.78125,0.53125,0.69375
L-Concrete,0.1,0.001,561.54208984375,204.92846425170288,0.7317022086824067,0.007561313574175631,0.9868306775484126,0.007820513624974724,1650.2,1232.1,1031.0684016508765,10,0.9934383845380855,0.9309866332489743,4.161815828402366,0.9914286398500307,0.9834294991962406,0.90625,0.90625,0.28125,1.0,0.34375,0.6875
L-Concrete,0.025,0.00075,1096.2779907226563,156.71089230216998,0.731426123381569,0.0066528528634221505,0.9980162927016144,0.0005862433107325264,3471.3,2591.3,2201.573144043438,10,0.9939347465671551,0.9438150421983028,4.176183431952663,0.9834813872424603,0.9701552689554788,0.875,0.9375,0.78125,0.75,0.09375,0.6875
L-Concrete,0.025,0.001,810.7617736816406,226.1746536351861,0.7322353389185072,0.007687111205880076,0.9965517884922332,0.001742778294308795,2830.2,1993.6,1701.0137395169909,10,0.9924238694432763,0.9470544182279959,4.262389053254438,0.9762904401475729,0.9579289441667287,0.9375,0.78125,1.0,0.5,0.1875,0.68125
L-Concrete,0.05,0.0015,349.59845275878905,65.55448983882059,0.7276942117288652,0.007528111251670949,0.9847776884694991,0.004201652409212881,1292.8,861.1,742.9265297486634,10,0.9924315439314633,0.9464305099760526,4.176183431952663,0.9784565892734987,0.9550399586431464,0.625,0.8125,0.96875,0.5625,0.4375,0.68125
