model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs,mean_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_cluster_ari,mean_cluster_nmi
Concrete,0.0,0.006,85.39112014770508,8.9548192737518,0.7216774562071592,0.013013721918732348,0.9611247537458905,0.008409367825390125,859.1,263.7,285.5740490356851,10,0.9870645794572661,0.9004817202732884,4.046875,0.9542960072925613,0.9074547706474665
Concrete,0.0,0.004,123.27644653320313,17.80400178501596,0.7289318354912415,0.006031294395676686,0.9715667677116203,0.010017695504145385,1170.8,389.7,421.02206667442886,10,0.9895878616117397,0.919087993066858,3.9941937869822484,0.9603237415122712,0.9177481262113238
Concrete,0.0,0.003,184.6540512084961,37.42988345752505,0.7291793602437167,0.0057154671946741875,0.9816162111427479,0.006654331781907231,1632.8,579.1,616.3431325614404,10,0.9896026527604175,0.9226767707481486,4.109134615384615,0.9693755097724207,0.9318742406083242
Concrete,0.0,0.0025,197.4505813598633,32.874365510199695,0.7261995430312262,0.006692176132568913,0.9818207737852969,0.005257245699066837,1694.5,615.1,649.2342408914021,10,0.9855996704611512,0.9281973286561133,4.056453402366864,0.9653857158139608,0.9250017907511913
Concrete,0.0,0.002,267.72741546630857,35.35751888987578,0.7267231530845393,0.006554922199846698,0.9869698593725182,0.004292018489486815,2249.3,840.3,883.6250480574002,10,0.9908161728649352,0.9348072057061889,4.324648668639053,0.9748846730619185,0.942801018632547
Concrete,0.0,0.0015,356.60772094726565,80.22632059899956,0.7276275704493527,0.006348216391807523,0.990188295377356,0.002911735725359666,2774.0,1179.6,1192.9675936712142,10,0.9842538806746663,0.9399997065639955,4.276756656804734,0.934650046668307,0.8979819204533662
Concrete,0.0,0.001,520.0166046142579,86.48458693198295,0.7296744097486672,0.007443385487160653,0.9943153411729743,0.0017178102639821883,3698.0,1743.3,1711.2615759140376,10,0.9872770156167645,0.9491140660223314,4.401275887573965,0.9740200211234951,0.9409749704814121
Concrete,0.0,0.00075,854.0015625,197.2178646095896,0.7291412795125667,0.010009777918402185,0.9972794372500887,0.001574201740969598,4601.3,2669.1,2474.6228966319945,10,0.9892964471615399,0.9517712939053924,4.358173076923077,0.9705631732780795,0.9383086492629331
Concrete,0.025,0.006,74.02278060913086,15.516082582378385,0.7193164508758568,0.010234779498912928,0.9495907239483079,0.014607042993373218,571.3,198.3,194.95777536943166,10,0.9914666016941507,0.8814490759104883,3.7786797337278104,0.9660617244573071,0.9297723046352969
Concrete,0.025,0.004,107.08648681640625,20.662546899425482,0.7172124904798173,0.008390036741445738,0.9568240711515239,0.012174010565291498,691.8,287.3,274.2017801372539,10,0.9939379944183356,0.9125768702466809,4.027718195266273,0.9808028687510755,0.9555102118058609
Concrete,0.025,0.003,140.27876358032228,38.81581106967096,0.7236957349581112,0.00689350790183753,0.970344632461283,0.00993544373351079,779.5,389.6,356.52111691348307,10,0.9954163888486708,0.9244430923680845,3.9846153846153847,0.9766091137257842,0.9495658654090887
Concrete,0.025,0.0025,158.77065734863282,22.022946130869876,0.7318640517897943,0.01130265300087653,0.974255673851293,0.005936012750025744,893.8,455.9,411.0090291527613,10,0.9934226605005113,0.9272858866742076,4.013350591715976,0.979398972476333,0.9531906425271448
Concrete,0.025,0.002,191.8953643798828,48.18159020840451,0.7300456968773801,0.009137854764741868,0.9765749414965352,0.00848128017144183,1026.7,566.8,504.98224165919964,10,0.9953637483025037,0.9301936612561039,3.9941937869822484,0.9822712268106153,0.9626960095366496
Concrete,0.025,0.0015,298.3540512084961,77.90960462438629,0.7329303122619955,0.0070277680107742905,0.9849525565207504,0.004177428464279863,1501.6,816.7,738.1040179988003,10,0.9937582036540912,0.93570193542896,4.224075443786982,0.9882928739913759,0.9722915407409394
Concrete,0.025,0.001,439.4185363769531,120.19356627649954,0.734472581873572,0.006921557728081671,0.9885658363990751,0.0059199789678194455,2038.2,1234.4,1080.2402657085554,10,0.9947028047628098,0.9426555017862606,4.281545857988165,0.9756620643085508,0.953548649896414
Concrete,0.025,0.00075,546.494595336914,125.97646022245118,0.730455064737243,0.00708826465182997,0.9919605507539684,0.002911196131698816,2330.3,1443.6,1268.9969194572645,10,0.9930287620628917,0.9531425361396624,4.276756656804734,0.9786617218742657,0.9618861848246164
Concrete,0.05,0.006,85.89227752685547,19.304445395168756,0.720011424219345,0.008428095462582483,0.9589142583802108,0.011057088501280619,438.1,232.8,211.28162124348438,10,0.9926164965948174,0.9046174612714111,3.9654585798816564,0.9771800429606914,0.9524969438175621
Concrete,0.05,0.004,111.15714492797852,23.649299171937994,0.7251047220106626,0.009796926491561988,0.9630181365508814,0.014458883760269757,612.7,310.1,278.6050894276483,10,0.9932265927313345,0.9272828874737472,4.113923816568047,0.979772464354529,0.9535205998246032
Concrete,0.05,0.003,147.0702697753906,50.30354801474352,0.7239337395277989,0.0035566940812311837,0.9699535701852937,0.013273837817209441,716.4,401.8,359.31915525165886,10,0.9933306856987894,0.9169036458456578,4.003772189349112,0.9835857540988536,0.9650767941997233
Concrete,0.05,0.0025,164.70385971069337,44.82244717895353,0.7282939832444784,0.013760680612203764,0.9722652793739839,0.010432753542895464,812.1,459.7,403.32775681103203,10,0.9944401375791909,0.9210296983782744,4.133080621301775,0.9810934698132636,0.960491694769375
Concrete,0.05,0.002,193.94787673950196,80.06940056656445,0.723019801980198,0.014053458092313292,0.9746834709781048,0.00921057864793455,943.2,524.2,469.15049661251743,10,0.9924350067613948,0.9284871960307338,4.061242603550296,0.9863594552462953,0.969854616073974
Concrete,0.05,0.0015,229.87142791748047,25.217523706371963,0.7256378522467631,0.013032991539411707,0.9797546896335879,0.004580202830739592,1105.3,625.8,552.0935195810798,10,0.9940084712337154,0.9372709993672534,4.128291420118343,0.9878202412032506,0.9744612796220885
Concrete,0.05,0.001,490.003857421875,106.4295100090878,0.7329207920792079,0.004216484550088789,0.9915112871016738,0.003541063931140557,2222.7,1275.3,1133.0951034419936,10,0.9922388068095133,0.9512946654509502,4.324648668639053,0.9685723493003733,0.9484179711094702
Concrete,0.05,0.00075,686.3602294921875,191.82260252524588,0.7317402894135567,0.004757932996308544,0.9935196448120045,0.00416610116825401,2755.6,1743.0,1506.2037071698064,10,0.9950314750149843,0.9462518435878442,4.305491863905326,0.9669108637790226,0.9433842532761638
Concrete,0.1,0.006,69.5772201538086,14.957267136592119,0.7118907083015994,0.01718673828775174,0.9400931018697184,0.01799654713580142,408.4,173.8,163.2222473049213,10,0.9940805273544804,0.8758273915474216,3.8936205621301774,0.9619203625185715,0.9450740256699601
Concrete,0.1,0.004,99.2656364440918,23.54626179265245,0.7199352627570449,0.006592996752484835,0.9518915748640486,0.017641821006825504,480.1,250.8,228.35435084557315,10,0.9942446861988221,0.9145237682853988,3.9750369822485205,0.9842179030689093,0.9668025780505222
Concrete,0.1,0.0025,145.15405197143554,54.29804752890973,0.7232006854531607,0.007642578371480929,0.9628594807880775,0.012936628773627293,642.4,374.3,329.9627625799162,10,0.994320378847226,0.9216388849190557,4.02292899408284,0.9897476357905344,0.9778331479802954
Concrete,0.1,0.003,145.97065505981445,49.569422791144824,0.7257996953541508,0.010296556812552347,0.9679416567667335,0.018449028122576077,701.7,409.9,354.7504386901224,10,0.9881246005447787,0.9265163392984658,4.157026627218935,0.9869384967505173,0.9730332342907765
Concrete,0.1,0.002,194.7185302734375,61.17393094087846,0.728922315308454,0.01254981743919381,0.9741136619685242,0.010184982114363451,884.3,520.6,449.8310478002615,10,0.9912121053160832,0.9244098572314956,3.931934171597633,0.9876045962279051,0.9750906461286503
Concrete,0.1,0.0015,252.10308990478515,68.47778059372698,0.7307882711348058,0.009801093810267163,0.9811709856700574,0.008167459365780831,1184.1,669.5,581.6945487614148,10,0.9935776912268285,0.9416393867456966,4.099556213017751,0.9860448416729067,0.9741236515225152
Concrete,0.1,0.001,471.6274078369141,99.61364921132896,0.7310929169840061,0.006991730092237774,0.989551516350186,0.00433327426138448,2120.2,1198.6,1034.7147317532203,10,0.9927932083513239,0.9439866930563519,4.252810650887573,0.969800034378981,0.9496165781355208
Concrete,0.1,0.00075,707.0220001220703,253.45901986966928,0.7305978674790555,0.004673150346867313,0.9920912360741166,0.005729129569026877,2692.8,1673.0,1448.8292926691709,10,0.9903718978245228,0.9498177553043871,4.295913461538461,0.9642709067650614,0.9400695716487991
