model_family,lambda_sample_smooth,lambda_sparse,mean_Khard,std_Khard,mean_test_c,std_test_c,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,mean_effective_gene_count,n_runs
Concrete,0.0,0.006,85.39112014770508,8.9548192737518,0.7216774562071592,0.013013721918732348,0.9611247537458905,0.008409367825390125,859.1,263.7,285.5740490356851,10
Concrete,0.0,0.004,123.27644653320313,17.80400178501596,0.7289318354912415,0.006031294395676686,0.9715667677116203,0.010017695504145385,1170.8,389.7,421.02206667442886,10
Concrete,0.0,0.003,184.6540512084961,37.42988345752505,0.7291793602437167,0.0057154671946741875,0.9816162111427479,0.006654331781907231,1632.8,579.1,616.3431325614404,10
Concrete,0.0,0.0025,197.4505813598633,32.874365510199695,0.7261995430312262,0.006692176132568913,0.9818207737852969,0.005257245699066837,1694.5,615.1,649.2342408914021,10
Concrete,0.0,0.002,267.72741546630857,35.35751888987578,0.7267231530845393,0.006554922199846698,0.9869698593725182,0.004292018489486815,2249.3,840.3,883.6250480574002,10
Concrete,0.0,0.0015,356.60772094726565,80.22632059899956,0.7276275704493527,0.006348216391807523,0.990188295377356,0.002911735725359666,2774.0,1179.6,1192.9675936712142,10
Concrete,0.0,0.001,520.0166046142579,86.48458693198295,0.7296744097486672,0.007443385487160653,0.9943153411729743,0.0017178102639821883,3698.0,1743.3,1711.2615759140376,10
Concrete,0.0,0.00075,854.0015625,197.2178646095896,0.7291412795125667,0.010009777918402185,0.9972794372500887,0.001574201740969598,4601.3,2669.1,2474.6228966319945,10
Concrete,0.025,0.006,74.02278060913086,15.516082582378385,0.7193164508758568,0.010234779498912928,0.9495907239483079,0.014607042993373218,571.3,198.3,194.95777536943166,10
Concrete,0.025,0.004,107.08648681640625,20.662546899425482,0.7172124904798173,0.008390036741445738,0.9568240711515239,0.012174010565291498,691.8,287.3,274.2017801372539,10
Concrete,0.025,0.003,140.27876358032228,38.81581106967096,0.7236957349581112,0.00689350790183753,0.970344632461283,0.00993544373351079,779.5,389.6,356.52111691348307,10
Concrete,0.025,0.0025,158.77065734863282,22.022946130869876,0.7318640517897943,0.01130265300087653,0.974255673851293,0.005936012750025744,893.8,455.9,411.0090291527613,10
Concrete,0.025,0.002,191.8953643798828,48.18159020840451,0.7300456968773801,0.009137854764741868,0.9765749414965352,0.00848128017144183,1026.7,566.8,504.98224165919964,10
Concrete,0.025,0.0015,298.3540512084961,77.90960462438629,0.7329303122619955,0.0070277680107742905,0.9849525565207504,0.004177428464279863,1501.6,816.7,738.1040179988003,10
Concrete,0.025,0.001,439.4185363769531,120.19356627649954,0.734472581873572,0.006921557728081671,0.9885658363990751,0.0059199789678194455,2038.2,1234.4,1080.2402657085554,10
Concrete,0.025,0.00075,546.494595336914,125.97646022245118,0.730455064737243,0.00708826465182997,0.9919605507539684,0.002911196131698816,2330.3,1443.6,1268.9969194572645,10
Concrete,0.05,0.006,85.89227752685547,19.304445395168756,0.720011424219345,0.008428095462582483,0.9589142583802108,0.011057088501280619,438.1,232.8,211.28162124348438,10
Concrete,0.05,0.004,111.15714492797852,23.649299171937994,0.7251047220106626,0.009796926491561988,0.9630181365508814,0.014458883760269757,612.7,310.1,278.6050894276483,10
Concrete,0.05,0.003,147.0702697753906,50.30354801474352,0.7239337395277989,0.0035566940812311837,0.9699535701852937,0.013273837817209441,716.4,401.8,359.31915525165886,10
