model_family,lambda_sample_smooth,lambda_sparse,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,n_pairs,mean_Khard
Concrete,0.0,0.006,0.9004817202732884,4.046875,0.6857890058284097,3.45780325443787,0.5327576966383024,20,85.39112014770508
Concrete,0.0,0.004,0.919087993066858,3.9941937869822484,0.6720170985376317,3.5823224852071007,0.564627364117849,20,123.27644653320313
Concrete,0.0,0.003,0.9226767707481486,4.109134615384615,0.7053007147573175,3.534430473372781,0.5552282110480258,20,184.6540512084961
Concrete,0.0,0.0025,0.9281973286561133,4.056453402366864,0.6883596296092375,3.6972633136094673,0.591525750605664,20,197.4505813598633
Concrete,0.0,0.002,0.9348072057061889,4.324648668639053,0.7681297301949338,3.7691013313609467,0.6125919406373501,20,267.72741546630857
Concrete,0.0,0.0015,0.9399997065639955,4.276756656804734,0.7541438392537968,3.8553069526627217,0.633999745269045,20,356.60772094726565
Concrete,0.0,0.001,0.9491140660223314,4.401275887573965,0.7926991636664166,3.644582100591716,0.585771092676091,20,520.0166046142579
Concrete,0.0,0.00075,0.9517712939053924,4.358173076923077,0.7787986320920102,3.970247781065089,0.6668297137176677,20,854.0015625
Concrete,0.025,0.006,0.8814490759104883,3.7786797337278104,0.6146299395450848,3.06508875739645,0.4483190003284349,20,74.02278060913086
Concrete,0.025,0.004,0.9125768702466809,4.027718195266273,0.6814842392720936,3.338073224852071,0.5088481712897811,20,107.08648681640625
Concrete,0.025,0.003,0.9244430923680845,3.9846153846153847,0.6701838086835711,3.45780325443787,0.5352129946877524,20,140.27876358032228
Concrete,0.025,0.0025,0.9272858866742076,4.013350591715976,0.6770417774369946,3.4721708579881656,0.5377930246853881,20,158.77065734863282
Concrete,0.025,0.002,0.9301936612561039,3.9941937869822484,0.6711617194049814,3.505695266272189,0.548114548222493,20,191.8953643798828
Concrete,0.025,0.0015,0.93570193542896,4.224075443786982,0.7374137108071234,3.438646449704142,0.5316799528828574,20,298.3540512084961
Concrete,0.025,0.001,0.9426555017862606,4.281545857988165,0.7547398065855546,3.7068417159763314,0.595818312271658,20,439.4185363769531
Concrete,0.025,0.00075,0.9531425361396624,4.276756656804734,0.7555148860011196,3.85051775147929,0.6340437939774806,20,546.494595336914
Concrete,0.05,0.006,0.9046174612714111,3.9654585798816564,0.6648347997938993,3.2806028106508878,0.49609444917610024,20,85.89227752685547
Concrete,0.05,0.004,0.9272828874737472,4.113923816568047,0.704915593810812,3.4721708579881656,0.5388985798083161,20,111.15714492797852
Concrete,0.05,0.003,0.9169036458456578,4.003772189349112,0.6740935072766645,3.3332840236686385,0.5064298258483317,20,147.0702697753906
Concrete,0.05,0.0025,0.9210296983782744,4.133080621301775,0.71078956267159,3.544008875739645,0.5540487262176097,20,164.70385971069337
Concrete,0.05,0.002,0.9284871960307338,4.061242603550296,0.6898307385976675,3.6397928994082838,0.5787368226389769,20,193.94787673950196
Concrete,0.05,0.0015,0.9372709993672534,4.128291420118343,0.7085048215810036,3.7116309171597637,0.5968431416868162,20,229.87142791748047
Concrete,0.05,0.001,0.9512946654509502,4.324648668639053,0.7701863784019495,3.773890532544379,0.6187461610626769,20,490.003857421875
Concrete,0.05,0.00075,0.9462518435878442,4.305491863905326,0.7621072231027406,3.611057692307692,0.5757577309661668,20,686.3602294921875
Concrete,0.1,0.006,0.8758273915474216,3.8936205621301774,0.6447306598522667,2.9070451183431953,0.4190650056190206,20,69.5772201538086
Concrete,0.1,0.004,0.9145237682853988,3.9750369822485205,0.6677312034874676,3.271024408284023,0.4916394342391153,20,99.2656364440918
Concrete,0.1,0.0025,0.9216388849190557,4.02292899408284,0.6789994512969197,3.419489644970414,0.5246118901973863,20,145.15405197143554
Concrete,0.1,0.003,0.9265163392984658,4.157026627218935,0.7168990702615016,3.4099112426035503,0.5232300347023106,20,145.97065505981445
Concrete,0.1,0.002,0.9244098572314956,3.931934171597633,0.655788540120621,3.534430473372781,0.5516002891313324,20,194.7185302734375
Concrete,0.1,0.0015,0.9416393867456966,4.099556213017751,0.7007193853636553,3.7595229289940826,0.6101304083446686,20,252.10308990478515
Concrete,0.1,0.001,0.9439866930563519,4.252810650887573,0.7484811271129536,3.907988165680473,0.6482649886843863,20,471.6274078369141
Concrete,0.1,0.00075,0.9498177553043871,4.295913461538461,0.7593518627341084,3.6589497041420116,0.5882094778329637,20,707.0220001220703
L-Concrete,0.0,0.006,0.9260132730345246,4.142659023668639,0.7133613773387859,3.5200628698224854,0.549977288859943,20,61.32432403564453
L-Concrete,0.0,0.004,0.9404822861367659,4.21928624260355,0.735928244568019,3.749944526627219,0.6057947979898776,20,133.56409301757813
L-Concrete,0.0,0.003,0.9404816311371356,4.209707840236686,0.7329634304126291,3.8265717455621298,0.6255833725602102,20,185.5312759399414
L-Concrete,0.0,0.0025,0.9439506842736064,4.224075443786982,0.7378975289684335,3.9031989644970415,0.6456413240193009,20,260.4057922363281
L-Concrete,0.0,0.002,0.9450922773864395,4.161815828402366,0.7192981132508314,3.8936205621301774,0.6428160837958821,20,395.8451751708984
L-Concrete,0.0,0.0015,0.9412334012410648,4.271967455621302,0.7523832917115975,3.8553069526627217,0.6325483043927245,20,567.5718231201172
