family,condition,n_selected_genes,generic_hallmark_fraction,hallmark_annotated_fraction,cross_run_ari_mean,cross_run_affinity_mean,histology_ari_mean,histology_ari_std,mean_test_cindex,mean_khard
LSPIN,unsmoothed,1446,0.06321839080459771,0.24066390041493776,0.9043931994841038,0.9969370185995238,0.7686651028584842,0.05731259164211604,0.7528290854057028,420.6010437011719
LSPIN,smoothed_real_graph,4500,0.06454630495790459,0.23755555555555555,0.9718596806071357,0.9940749574530492,0.7874368035056692,0.011745759212907884,0.772056547311939,1200.7239990234375
LSPIN,smoothed_null_graph,2792,0.06286549707602339,0.24498567335243554,0.9620581536077127,0.9962924442408628,0.812321494487055,0.008714868631920884,0.7662779898875245,755.5335083007812
L-Concrete,unsmoothed,494,0.08771929824561403,0.23076923076923078,0.919896558513106,0.9774412258511079,0.793482489830802,0.02654732398838236,0.759639528084477,187.80372619628906
L-Concrete,smoothed_real_graph,183,0.1276595744680851,0.2568306010928962,0.9836286039495936,0.9859375999129433,0.8164671640755486,0.00492758724404588,0.7665703573762598,79.57142639160156
L-Concrete,smoothed_null_graph,152,0.06060606060606061,0.21710526315789475,0.7410349538737878,0.6918928433807577,0.7094022217176891,0.13543942517622917,0.7540329515357892,43.820465087890625
