family,selection,model,mean_Khard,ci_Khard,mean_khard_over_union,ci_khard_over_union,mean_test_c,ci_test_c,mean_manifold_alignment,ci_manifold_alignment,mean_gene_union_count,ci_gene_union_count,mean_gene_freq_ge_threshold_count,ci_gene_freq_ge_threshold_count,mean_effective_gene_count,ci_effective_gene_count,mean_affinity_corr,ci_affinity_corr,mean_risk_corr,ci_risk_corr,mean_top_risk_overlap_ratio,ci_top_risk_overlap_ratio,mean_cluster_ari,ci_cluster_ari
LSPIN,nosmooth,LSPIN (no smooth),253.03410466512045,29.385038341846375,0.344055266535801,0.029398876891219578,0.720352564102564,0.005521266010762514,0.9818881003989602,0.003516810173521988,764.6666666666666,147.5314729099859,559.0,78.43970964049298,491.41109879701844,67.18666126300732,0.9806034516863267,0.0024892398564639816,0.8671827771698316,0.012652807634392797,3.941880974055531,0.06776262648417207,0.9623355817462595,0.0048161056165993
LSPIN,smooth,LSPIN + patient smooth,289.3729082743327,13.147855947167361,0.45022062444319966,0.0186964970505195,0.7202256283320639,0.0059793191941999455,0.986201866293621,0.0011294120610745259,644.0833333333334,26.91470048171077,596.8333333333334,23.670273306065532,526.7730167003186,20.28458302763696,0.9924152391337727,0.0015932518600155227,0.8658394046180152,0.010079140409746718,3.895216962524655,0.07374396367253205,0.9807673253768139,0.0033890049864456397
Concrete,nosmooth,Concrete (no smooth),237.16827519734701,25.174886077963997,0.17314279061180024,0.02221105181486259,0.7220820639756282,0.0059666008180185364,0.9750444768914343,0.005495788999023678,1497.8333333333333,375.28450469294125,763.5,127.25474469930326,732.7407965721501,141.61123279389818,0.9688450617849014,0.003253878101164914,0.881525017845434,0.014176452654760452,4.118713017751479,0.057288122522388685,0.8617738096164865,0.052270921473428225
Concrete,smooth,Concrete + patient smooth,270.8101641337077,27.94767187741934,0.2485888264135078,0.06180427110964358,0.711030718456461,0.006973425603074289,0.979100696511998,0.0038287198873592134,1240.9166666666667,228.78030888239317,730.4166666666666,78.42652171351736,672.808193209692,71.04798387725549,0.9786084051424105,0.003091966154006479,0.8866742424716392,0.013952167527852397,4.113801016537703,0.08245750248388253,0.9605216782764836,0.005114621355402831
L-LSPIN,nosmooth,L-LSPIN (no smooth),429.5067596435547,70.5485120909595,0.49844909494869905,0.039726694801718025,0.6965600406194467,0.01357801898862993,0.9883060931731048,0.0025977251614229665,907.6666666666666,221.60654827505402,787.3333333333334,168.79160386510205,689.0644924956637,149.45846354287642,0.9440173574476123,0.010270887153510976,0.6938371821967159,0.02080997052891636,2.9447447276589283,0.08743236672659584,0.8078526977450242,0.05564185337360639
L-LSPIN,smooth,L-LSPIN + patient smooth,463.2972997029622,34.98142089098292,0.5266325465001452,0.022531364513069717,0.7096502919522721,0.009695949581132528,0.9914354594777812,0.001141181586204193,886.0,81.08538828876256,854.6666666666666,74.54613756770115,755.9961164128064,62.29171359568888,0.9883963959358193,0.0021734752795266863,0.7777441691206913,0.01990340828489477,3.3303368229403727,0.09135472416870201,0.9584621437016306,0.007275489223844858
L-Concrete,nosmooth,L-Concrete (no smooth),442.18951416015625,57.70720680715456,0.331540650605798,0.018329042892171608,0.6973930566133536,0.006310000489438742,0.9897360107392671,0.002478635617467641,1363.8333333333333,237.52649076290717,1054.4166666666667,168.91916793531632,904.6304029055163,147.98844748541637,0.9358099346647736,0.009049878556835778,0.7134668050205432,0.016451277861756947,3.0135127446517975,0.08854814214223318,0.6527533040454894,0.049108273809560524
L-Concrete,smooth,L-Concrete + patient smooth,527.1708399454752,28.78351055156688,0.4241331007157209,0.02186336936551172,0.6968297791317593,0.017999983165038768,0.9920624132278615,0.0015242763352758541,1256.75,108.13024415028389,1063.25,75.01967259164476,943.9433780989503,62.61500330856212,0.9881280252475104,0.0019775755918875807,0.6805625171308167,0.03462712161529264,2.9815847367622514,0.12359871179405217,0.9661609612273261,0.004668264800535695
