model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_affinity_corr,std_affinity_corr
L-LSPIN,0.2,0.00875,0.05,0.9918277128896996,0.0028292886379094
L-LSPIN,0.2,0.00875,0.1,0.9920880439484322,0.0006882530009289
L-LSPIN,0.2,0.0105,0.0,0.9532886375182912,0.024827973445518
L-LSPIN,0.2,0.0105,0.025,0.9778382360870248,0.0112492570741335
L-LSPIN,0.2,0.0105,0.05,0.9731390679047326,0.0202043083807018
L-LSPIN,0.2,0.0105,0.1,0.9882706206647468,0.0046247054368369
L-LSPIN,0.2,0.014,0.0,0.9060285275081972,0.024136016518005
L-LSPIN,0.2,0.014,0.025,0.9710153266387956,0.011825390567862
L-LSPIN,0.2,0.014,0.05,0.9656132270098232,0.0210045961849893
L-LSPIN,0.2,0.014,0.1,0.9961178741483528,0.0004575407314926
L-LSPIN,0.2,0.021,0.0,0.9489081526201396,0.01521316991829
L-LSPIN,0.2,0.021,0.025,0.9785692907004764,0.0065043541834169
L-LSPIN,0.2,0.021,0.05,0.9332487858853756,0.0296572671295398
L-LSPIN,0.2,0.021,0.1,0.9766513572617282,0.0064829415337048
L-LSPIN,0.22,0.007,0.0,0.9831326948791108,0.0031809270601401
L-LSPIN,0.22,0.007,0.025,0.980115971026359,0.0031455181125459
L-LSPIN,0.22,0.007,0.05,0.9898382645515578,0.0030913620827357
L-LSPIN,0.22,0.007,0.1,0.9827441336427272,0.0111192968270897
L-LSPIN,0.22,0.00875,0.0,0.9757700790073224,0.0114407620222057
L-LSPIN,0.22,0.00875,0.025,0.9785300719350244,0.0098312512854307
L-LSPIN,0.22,0.00875,0.05,0.9861128168278592,0.0086276372744631
L-LSPIN,0.22,0.00875,0.1,0.9962143534432708,0.0018596821081564
L-LSPIN,0.22,0.0105,0.0,0.9518900073168568,0.020625425124874
L-LSPIN,0.22,0.0105,0.025,0.9631277775016668,0.0186926573690086
L-LSPIN,0.22,0.0105,0.05,0.991543613387169,0.0042761406205239
L-LSPIN,0.22,0.0105,0.1,0.9908128531992294,0.0026510632911863
L-LSPIN,0.22,0.014,0.0,0.9355740353739728,0.026883694831151
L-LSPIN,0.22,0.014,0.025,0.9806425784759276,0.0028614220727597
L-LSPIN,0.22,0.014,0.05,0.9874483555627128,0.0048905472882601
L-LSPIN,0.22,0.014,0.1,0.9883963959358196,0.006925177943986
L-LSPIN,0.22,0.021,0.0,0.9530567874737852,0.0252899372906359
L-LSPIN,0.22,0.021,0.025,0.9544072014522116,0.0082069068907367
L-LSPIN,0.22,0.021,0.05,0.9727222510675292,0.0058108531799988
L-LSPIN,0.22,0.021,0.1,0.9807226119691546,0.0114593701741327
LSPIN,0.2,0.00525,0.0,0.9806034516863268,0.0079312744495668
LSPIN,0.2,0.00525,0.025,0.9920937341311016,0.0037244929898146
LSPIN,0.2,0.00525,0.05,0.9924991651206304,0.0029963993733373
LSPIN,0.2,0.00525,0.1,0.991924251710675,0.0036063062052222
LSPIN,0.2,0.007,0.0,0.9823812302443848,0.0110636660697131
LSPIN,0.2,0.007,0.025,0.990447859291078,0.0031750871531454
LSPIN,0.2,0.007,0.05,0.9912725447685496,0.0054799481548868
LSPIN,0.2,0.007,0.1,0.9924152391337728,0.0050764564677252
LSPIN,0.2,0.00875,0.0,0.9822808248885284,0.0067714568998479
LSPIN,0.2,0.00875,0.025,0.9943758865128772,0.0020228682159716
LSPIN,0.2,0.00875,0.05,0.9773296963106596,0.0135291612356995
LSPIN,0.2,0.00875,0.1,0.991858463186722,0.0031778333673662
LSPIN,0.2,0.0105,0.0,0.9826645781230552,0.0102632183333293
LSPIN,0.2,0.0105,0.025,0.9855122602325944,0.0098670222910478
LSPIN,0.2,0.0105,0.05,0.9899552952569683,0.0054656423889904
LSPIN,0.2,0.0105,0.1,0.9934040752421625,0.0039952863671915
LSPIN,0.2,0.014,0.0,0.971011905216541,0.0086470327916997
LSPIN,0.2,0.014,0.025,0.9854089164061955,0.0090911687874287
LSPIN,0.2,0.014,0.05,0.9931605476151052,0.0026742337267003
LSPIN,0.2,0.014,0.1,0.9916620785193552,0.0023257130128531
LSPIN,0.22,0.00525,0.0,0.987881369946142,0.003729849423855
LSPIN,0.22,0.00525,0.025,0.985407041414326,0.0074119244567627
LSPIN,0.22,0.00525,0.05,0.9839819330786188,0.0106247457806325
LSPIN,0.22,0.00525,0.1,0.9915016065234482,0.005350203122276
LSPIN,0.22,0.007,0.0,0.9892529645165687,0.0053710816182506
LSPIN,0.22,0.007,0.025,0.9921801983724776,0.0031519541229129
LSPIN,0.22,0.007,0.05,0.9893586817041048,0.0010956368877913
LSPIN,0.22,0.007,0.1,0.9905394847672192,0.0042760144624293
LSPIN,0.22,0.00875,0.0,0.987897956460972,0.0065165591248218
LSPIN,0.22,0.00875,0.025,0.9907405942874582,0.0017393842713468
LSPIN,0.22,0.00875,0.05,0.995139667967219,0.0022882009171048
LSPIN,0.22,0.00875,0.1,0.9894901670047088,0.0051173870611641
LSPIN,0.22,0.0105,0.0,0.9878770045782326,0.0026648121010235
LSPIN,0.22,0.0105,0.025,0.9940739607918352,0.0020221598325277
LSPIN,0.22,0.0105,0.05,0.9940024336271436,0.0014685544614859
LSPIN,0.22,0.0105,0.1,0.9968477809744888,0.0006337348930712
LSPIN,0.22,0.014,0.0,0.986290203605474,0.0024188066756814
LSPIN,0.22,0.014,0.025,0.9727547272871412,0.0191910597908135
LSPIN,0.22,0.014,0.05,0.9844048928532052,0.0095550539311869
LSPIN,0.22,0.014,0.1,0.9877348672730094,0.0040440185685604
