model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft,mean_affinity_corr,std_affinity_corr,mean_risk_corr,mean_top_risk_overlap_ratio,mean_top_risk_jaccard,mean_bottom_risk_overlap_ratio,mean_bottom_risk_jaccard,mean_cluster_ari,mean_cluster_nmi
Concrete,0.12,0.0015,0.0,0.7220820639756284,0.010545363025806245,237.16827519734701,44.49406302223676,0.9750444768914343,0.009713250789782793,1497.8333333333333,763.5,12,239.07428995768228,46.760507125458005,0.9688450617849014,0.010367582769799618,0.8815250178454342,4.118713017751479,0.7065299518547298,3.3794568350781367,0.5213810150571337,0.8617738096164868,0.8414851620237215
Concrete,0.12,0.0015,0.025,0.6894833714140645,0.03170154159551315,284.3204650878906,26.945924045270093,0.9781392554978487,0.0067727585806742,1399.0,782.0,3,285.952880859375,28.36072559918858,0.9619044579473116,0.023493822900857785,0.7086853584410466,3.352440828402367,0.5158711642128271,3.4162968441814594,0.5255636070853462,0.9494693998415299,0.8934782145722785
Concrete,0.12,0.0015,0.05,0.711030718456461,0.012324823925843158,270.8101641337077,49.394681270361396,0.9791006965119978,0.006766874870260749,1240.9166666666667,730.4166666666666,12,272.07397206624347,49.18958860213876,0.9786084051424105,0.009851695123921471,0.886674242471639,4.113801016537702,0.7068353836153957,3.4555928538916705,0.5363123059332102,0.9605216782764834,0.918772454388637
Concrete,0.12,0.0015,0.1,0.7116971312515866,0.009205742730325603,261.0025685628255,30.222436405200234,0.977634920704519,0.009846348135648242,1261.0,709.3333333333334,3,262.72136942545575,31.681564146457816,0.9733725642191802,0.007983683461821687,0.932053739801419,4.118713017751479,0.7058501913613996,4.054857001972387,0.6865855808214348,0.9806066069646301,0.9533234913830072
Concrete,0.12,0.002,0.0,0.7125539477024625,0.007719179622444005,221.12226359049478,82.63269213736326,0.9670579567018397,0.01769142096965094,1532.0,758.0,3,223.5172373453776,85.78455127131865,0.9659826237374967,0.012004619954372088,0.9184987176431347,4.246425049309664,0.743784938132027,3.895216962524655,0.6435320951449984,0.9504021621695581,0.8906753905313188
Concrete,0.12,0.002,0.025,0.7075082508250826,0.018352565137560974,174.06434631347656,41.58073449055495,0.9742855988410409,0.009900429146116243,986.0,525.6666666666666,3,175.20361836751303,42.31700790638101,0.9662723239519156,0.009519509806549156,0.8401531375806773,3.799432938856016,0.6206950288296712,3.0331607495069033,0.4538006796071312,0.9591731807668795,0.9109436216247319
Concrete,0.12,0.002,0.05,0.7181073876618432,0.00966568175666186,145.566281636556,49.0108763553743,0.955770128854469,0.014142741310477496,610.0,394.6666666666667,3,146.0953852335612,49.80516949310674,0.9774599195931489,0.013340985206108663,0.8845655950167103,4.054857001972386,0.6868765721224738,3.192800788954635,0.47663097136781346,0.9476845284817608,0.9108827494402321
Concrete,0.12,0.002,0.1,0.6979246001523229,0.015112821654976667,175.57528940836588,57.53296377711703,0.969348244664049,0.0190215844369569,1009.6666666666666,532.3333333333334,3,176.7777303059896,58.66836259953689,0.9726364341305406,0.01334166359865553,0.8304501455675263,3.6717209072978303,0.5850904209113165,3.4162968441814594,0.5230887814448882,0.955741876649364,0.9184827061284925
Concrete,0.12,0.0025,0.0,0.7258822036049759,0.012784486594620255,101.81209818522136,8.329291271204717,0.9413818886843691,0.009416750388690227,573.3333333333334,320.3333333333333,3,101.93790690104167,8.319179522947856,0.976988735977819,0.009106955112255814,0.8910722163080528,3.9590729783037477,0.6596688854753371,3.160872781065089,0.46498248751769883,0.9273497413915117,0.8712022798576085
Concrete,0.12,0.0025,0.025,0.7224232038588475,0.005474174089215055,115.24195607503255,12.947208571945668,0.9572291790416333,0.016211113574911767,618.0,345.0,3,115.7443618774414,13.707598002447932,0.9765766786768486,0.01624121262846923,0.8901910503979747,4.1506410256410255,0.7146953405017921,3.575936883629191,0.5629155808260285,0.962307960753456,0.9157556800565473
