model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,run_i,run_j,affinity_corr
Concrete,concrete,0.15,0.002,0.0,1,2,0.952728021605074
Concrete,concrete,0.15,0.0015,0.0,0,1,0.9634763704131156
Concrete,concrete,0.15,0.0015,0.0,0,2,0.9570566323295308
Concrete,concrete,0.15,0.0015,0.0,1,2,0.9550533034714512
Concrete,concrete,0.12,0.004,0.0,0,1,0.9629578213493076
Concrete,concrete,0.12,0.004,0.0,0,2,0.9542283461234152
Concrete,concrete,0.12,0.004,0.0,1,2,0.9833347009831416
Concrete,concrete,0.12,0.003,0.0,0,1,0.9517461224074256
Concrete,concrete,0.12,0.003,0.0,0,2,0.9686630659041444
Concrete,concrete,0.12,0.003,0.0,1,2,0.979567265293522
Concrete,concrete,0.12,0.0025,0.0,0,1,0.9737935857639568
Concrete,concrete,0.12,0.0025,0.0,0,2,0.9699099124799264
Concrete,concrete,0.12,0.0025,0.0,1,2,0.9872627096895736
Concrete,concrete,0.12,0.002,0.0,0,1,0.9628079546307527
Concrete,concrete,0.12,0.002,0.0,0,2,0.9792555052312528
Concrete,concrete,0.12,0.002,0.0,1,2,0.9558844113504844
Concrete,concrete,0.12,0.0015,0.0,0,1,0.9659936738716922
Concrete,concrete,0.12,0.0015,0.0,0,2,0.9670747168263024
Concrete,concrete,0.12,0.0015,0.0,1,2,0.9683812238537374
L-Concrete,concrete,0.15,0.004,0.0,0,1,0.9427267195307104
L-Concrete,concrete,0.15,0.004,0.0,0,2,0.9718663304667786
L-Concrete,concrete,0.15,0.004,0.0,1,2,0.9254725881340368
L-Concrete,concrete,0.15,0.003,0.0,0,1,0.9639926203057164
L-Concrete,concrete,0.15,0.003,0.0,0,2,0.9689985075047024
L-Concrete,concrete,0.15,0.003,0.0,1,2,0.9528817440824308
L-Concrete,concrete,0.15,0.0025,0.0,0,1,0.9653805116209258
L-Concrete,concrete,0.15,0.0025,0.0,0,2,0.9326084759744416
L-Concrete,concrete,0.15,0.0025,0.0,1,2,0.9275845486068444
L-Concrete,concrete,0.15,0.002,0.0,0,1,0.972458392719522
L-Concrete,concrete,0.15,0.002,0.0,0,2,0.9579335305594626
L-Concrete,concrete,0.15,0.002,0.0,1,2,0.951670781234248
L-Concrete,concrete,0.15,0.0015,0.0,0,1,0.917085695478184
L-Concrete,concrete,0.15,0.0015,0.0,0,2,0.9299400814729096
L-Concrete,concrete,0.15,0.0015,0.0,1,2,0.9137645568696257
L-Concrete,concrete,0.12,0.004,0.0,0,1,0.9305597690747782
L-Concrete,concrete,0.12,0.004,0.0,0,2,0.9429291997818556
L-Concrete,concrete,0.12,0.004,0.0,1,2,0.9416881132965728
L-Concrete,concrete,0.12,0.003,0.0,0,1,0.9338542099553307
L-Concrete,concrete,0.12,0.003,0.0,0,2,0.9285912125452336
L-Concrete,concrete,0.12,0.003,0.0,1,2,0.9154778827624126
L-Concrete,concrete,0.12,0.0025,0.0,0,1,0.8856749399701104
L-Concrete,concrete,0.12,0.0025,0.0,0,2,0.9648225727134324
