model_family,gate_type,predictor,gate_sigma,lambda_sparse,lambda_sample_smooth,temperature,patience,gating_hidden_dim,gate_hidden_dropout_p,risk_hidden_dims,risk_dropout_p,lspin_init_bias,gate_weight_decay,seed,rep_id,global_cfg_idx,phase,test_cindex,best_val_cindex,best_epoch,mean_Ksoft,mean_Khard,manifold_alignment,gene_union_count,gene_freq_ge_threshold_count,effective_gene_count
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,240124,1,24,1,0.7511424219345011,0.7675250357653791,3,120.15066528320312,120.15058135986328,0.9486926863210596,333.0,239.0,217.42807349542883
LSPIN,lspin_tf,mlp,0.2,0.0105,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,240125,2,24,1,0.7203922315308454,0.7832618025751072,2,142.20603942871094,142.20077514648438,0.9736505352824202,438.0,334.0,296.5703537342731
LSPIN,lspin_tf,mlp,0.2,0.00875,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,280123,0,28,1,0.716012947448591,0.7675250357653791,1,174.05279541015625,174.01158142089844,0.9701014357756208,577.0,367.0,332.4674704549289
LSPIN,lspin_tf,mlp,0.2,0.00875,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,280124,1,28,1,0.7021134805788272,0.7839771101573677,2,138.0120086669922,138.01158142089844,0.9744683090916972,369.0,279.0,244.2373526186152
LSPIN,lspin_tf,mlp,0.2,0.00875,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,280125,2,28,1,0.7295316070068545,0.7124463519313304,2,149.0718536376953,149.1003875732422,0.9671512330929396,440.0,325.0,285.58382267360383
LSPIN,lspin_tf,mlp,0.2,0.007,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,320123,0,32,1,0.7032559025133283,0.7489270386266095,1,236.8798370361328,236.8378448486328,0.9847336580169316,752.0,596.0,499.856639875332
LSPIN,lspin_tf,mlp,0.2,0.007,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,320124,1,32,1,0.7172505712109672,0.8254649499284692,6,162.922119140625,162.91119384765625,0.9547311163753304,341.0,309.0,274.50046587536906
LSPIN,lspin_tf,mlp,0.2,0.007,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,320125,2,32,1,0.7122048743335873,0.7775393419170243,3,187.8334808349609,187.8262481689453,0.9777943138191484,461.0,389.0,350.8218906125073
LSPIN,lspin_tf,mlp,0.2,0.00525,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,360123,0,36,1,0.7332444782939832,0.7868383404864091,2,254.0072326660156,254.0270233154297,0.9774697290395026,733.0,566.0,486.09349255314265
LSPIN,lspin_tf,mlp,0.2,0.00525,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,360124,1,36,1,0.7357197258187357,0.8004291845493562,1,259.2659606933594,259.2625427246094,0.98720459420191,1089.0,640.0,565.2169152537426
LSPIN,lspin_tf,mlp,0.2,0.00525,0.0,0.5,12,64,0.0,"(64, 32)",0.1,0.0,0.0,360125,2,36,1,0.7232482863670983,0.7689556509298998,1,310.55078125,310.53668212890625,0.989947117612077,1022.0,746.0,639.7453449052563
L-LSPIN,lspin_tf,linear,0.22,0.021,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,400123,0,40,1,0.7025894897182026,0.7925608011444921,37,92.5373077392578,92.54054260253906,0.9417460670103218,155.0,131.0,121.33761394430697
L-LSPIN,lspin_tf,linear,0.22,0.021,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,400124,1,40,1,0.7068735719725818,0.7882689556509299,30,81.25279998779297,81.2625503540039,0.9285219858699056,143.0,131.0,116.75569822614943
L-LSPIN,lspin_tf,linear,0.22,0.021,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,400125,2,40,1,0.7380997715156131,0.7310443490701002,42,123.12932586669922,123.12741088867188,0.9491155352096096,173.0,162.0,147.82948599245287
L-LSPIN,lspin_tf,linear,0.22,0.014,0.0,0.5,20,64,0.0,(),0.0,0.0,0.0,440123,0,44,1,0.6884044173648134,0.8247496423462088,38,162.97471618652344,162.97683715820312,0.9700357852793628,278.0,251.0,220.96420098069552
