family,gate_sigma,selection,model_family,lambda_sparse,lambda_sample_smooth,mean_test_c,std_test_c,mean_Khard,std_Khard,mean_manifold_alignment,std_manifold_alignment,mean_gene_union_count,mean_gene_freq_ge_threshold_count,n_runs,mean_Ksoft,std_Ksoft,khard_gap_abs,khard_gap_rel,sigma_gap,model
Concrete,0.12,nosmooth,Concrete,0.0015,0.0,0.7220820639756284,0.0105453630258062,237.168275197347,44.49406302223676,0.9750444768914344,0.0097132507897827,1497.8333333333333,763.5,12,239.07428995768228,46.760507125458005,33.641888936360715,0.1418481831449312,0.0,Concrete (no smooth)
Concrete,0.12,smooth,Concrete,0.0015,0.05,0.711030718456461,0.0123248239258431,270.8101641337077,49.3946812703614,0.9791006965119978,0.0067668748702607,1240.9166666666667,730.4166666666666,12,272.07397206624347,49.18958860213876,,,,Concrete + patient smooth
L-Concrete,0.12,nosmooth,L-Concrete,0.003,0.0,0.6973930566133536,0.0111522871872371,442.18951416015625,101.99164709477172,0.9897360107392672,0.0043807375743916,1363.8333333333333,1054.4166666666667,12,442.3514455159505,102.14291442904012,84.98132578531897,0.192183041578276,0.03,L-Concrete (no smooth)
L-Concrete,0.15,smooth,L-Concrete,0.004,0.025,0.6968297791317593,0.0318131483441138,527.1708399454752,50.87194152602929,0.9920624132278616,0.0026940041402782,1256.75,1063.25,12,527.326291402181,50.91480886425954,,,,L-Concrete + patient smooth
L-LSPIN,0.2,nosmooth,L-LSPIN,0.007,0.0,0.6965600406194467,0.0239977742392265,429.5067596435547,124.68735442849908,0.9883060931731046,0.0045912162894741,907.6666666666666,787.3333333333334,12,429.5025278727214,124.6778728616139,33.79054005940753,0.0786728946651506,0.01999999999999999,L-LSPIN (no smooth)
L-LSPIN,0.22,smooth,L-LSPIN,0.014,0.1,0.7096502919522721,0.0171366094919874,463.2972997029622,61.82612071850384,0.9914354594777812,0.0020169229469058,886.0,854.6666666666666,12,463.2914657592773,61.82877184523125,,,,L-LSPIN + patient smooth
LSPIN,0.2,nosmooth,LSPIN,0.00525,0.0,0.7203525641025642,0.0097582788293304,253.03410466512045,51.93508101065042,0.9818881003989604,0.0062156060215461,764.6666666666666,559.0,12,253.03807957967123,51.928396225310976,36.33880360921225,0.14361227573375954,0.0,LSPIN (no smooth)
LSPIN,0.2,smooth,LSPIN,0.007,0.1,0.7202256283320639,0.0105678414683939,289.3729082743327,23.237504603153567,0.9862018662936212,0.0019961215025124,644.0833333333334,596.8333333333334,12,289.3729756673177,23.23652019448218,,,,LSPIN + patient smooth
