histology,n_test,cindex,model_family,gate_sigma,lambda_sparse,lambda_sample_smooth,seed
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,LSPIN,0.2,0.00875,0.0,280123
kidneychromophobe,19,0.6619718309859155,LSPIN,0.2,0.00875,0.0,280124
kidneyclearcellrenalcarcinoma,156,0.6663798666379867,LSPIN,0.2,0.00875,0.0,280124
kidneypapillaryrenalcellcarcinoma,84,0.7311827956989247,LSPIN,0.2,0.00875,0.0,280124
kidneychromophobe,19,0.6338028169014085,LSPIN,0.2,0.00875,0.0,280125
kidneyclearcellrenalcarcinoma,156,0.702086470208647,LSPIN,0.2,0.00875,0.0,280125
kidneypapillaryrenalcellcarcinoma,84,0.7588325652841782,LSPIN,0.2,0.00875,0.0,280125
kidneychromophobe,19,0.6197183098591549,LSPIN,0.2,0.007,0.0,320123
kidneyclearcellrenalcarcinoma,156,0.6788556678855668,LSPIN,0.2,0.007,0.0,320123
kidneypapillaryrenalcellcarcinoma,84,0.7127496159754224,LSPIN,0.2,0.007,0.0,320123
kidneychromophobe,19,0.704225352112676,LSPIN,0.2,0.007,0.0,320124
kidneyclearcellrenalcarcinoma,156,0.6674553667455366,LSPIN,0.2,0.007,0.0,320124
kidneypapillaryrenalcellcarcinoma,84,0.8125960061443932,LSPIN,0.2,0.007,0.0,320124
kidneychromophobe,19,0.676056338028169,LSPIN,0.2,0.007,0.0,320125
kidneyclearcellrenalcarcinoma,156,0.6711120671112067,LSPIN,0.2,0.007,0.0,320125
kidneypapillaryrenalcellcarcinoma,84,0.7987711213517665,LSPIN,0.2,0.007,0.0,320125
kidneychromophobe,19,0.6901408450704225,LSPIN,0.2,0.00525,0.0,360123
kidneyclearcellrenalcarcinoma,156,0.6859539685953968,LSPIN,0.2,0.00525,0.0,360123
kidneypapillaryrenalcellcarcinoma,84,0.8003072196620584,LSPIN,0.2,0.00525,0.0,360123
kidneychromophobe,19,0.676056338028169,LSPIN,0.2,0.00525,0.0,360124
kidneyclearcellrenalcarcinoma,156,0.705312970531297,LSPIN,0.2,0.00525,0.0,360124
kidneypapillaryrenalcellcarcinoma,84,0.7526881720430108,LSPIN,0.2,0.00525,0.0,360124
kidneychromophobe,19,0.676056338028169,LSPIN,0.2,0.00525,0.0,360125
kidneyclearcellrenalcarcinoma,156,0.6911163691116369,LSPIN,0.2,0.00525,0.0,360125
kidneypapillaryrenalcellcarcinoma,84,0.7680491551459293,LSPIN,0.2,0.00525,0.0,360125
