model_family,gate_type,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_test_c,mean_Ksoft,mean_Khard
Concrete,concrete,0.12,0.0015,0.0,0.7212807819243463,241.32676696777344,239.01158142089844
Concrete,concrete,0.12,0.0015,0.05,0.7153782685960904,243.75100708007812,241.88931783040366
L-Concrete,concrete,0.12,0.003,0.0,0.7035732419395786,471.91534423828125,471.78893025716144
L-Concrete,concrete,0.15,0.004,0.025,0.6771706016755522,511.7362874348958,511.75160725911456
L-LSPIN,lspin_tf,0.2,0.007,0.0,0.7068101040873319,455.0516357421875,455.04505411783856
L-LSPIN,lspin_tf,0.22,0.014,0.1,0.6967821782178217,458.9375813802083,458.94336954752606
LSPIN,lspin_tf,0.2,0.00525,0.0,0.7307374968266057,274.6079915364583,274.60874938964844
LSPIN,lspin_tf,0.2,0.007,0.1,0.7218837268342219,286.19716389973956,286.1943359375
