family,selection,gate_sigma,lambda_sparse,lambda_sample_smooth,mean_Khard,mean_gene_union_count,mean_test_c
Concrete,nosmooth,0.12,0.0015,0.0,237.168275197347,1497.8333333333333,0.7220820639756284
Concrete,smooth,0.12,0.0015,0.05,270.8101641337077,1240.9166666666667,0.711030718456461
L-Concrete,nosmooth,0.12,0.003,0.0,442.18951416015625,1363.8333333333333,0.6973930566133536
L-Concrete,smooth,0.15,0.004,0.025,527.1708399454752,1256.75,0.6968297791317593
L-LSPIN,nosmooth,0.2,0.007,0.0,429.5067596435547,907.6666666666666,0.6965600406194467
L-LSPIN,smooth,0.22,0.014,0.1,463.2972997029622,886.0,0.7096502919522721
LSPIN,nosmooth,0.2,0.00525,0.0,253.03410466512045,764.6666666666666,0.7203525641025642
LSPIN,smooth,0.2,0.007,0.1,289.3729082743327,644.0833333333334,0.7202256283320639
