model,tumor_type,gene_symbol,ensembl_id,refit_recurrence,same_top_gated_tumor_across_refits,median_gate_rate,median_selected_patients,median_cox_signal_neglog10p,median_random_signal_neglog10p,median_gated_gene_advantage_neglog10p,fraction_refits_beating_random_median,top100_refit_overlap_vs_random_for_model,curated_tumor_gene_note
LSPIN smooth,BRCA,CISH,ENSG00000114737,2/6,2/2,0.9019583761692047,2857.0,18.873249252355514,2.764397049633816,16.108852202721696,1.0,3.5 vs 2.0; p=3.7e-05,
Concrete nosmooth,BRCA,CLDN18,ENSG00000066405,2/6,2/2,0.8320176899433136,2635.0,18.085078061130606,2.122206838215358,15.962871222915249,1.0,5.4 vs 2.0; p=1.1e-07,
LSPIN smooth,BRCA,CXCL5,ENSG00000163735,2/6,2/2,0.7006630897521973,2219.0,17.04283390394629,2.223814459799031,14.819019444147258,1.0,3.5 vs 2.0; p=3.7e-05,
LSPIN smooth,BRCA,VSIG4,ENSG00000155659,2/6,2/2,0.9284911155700684,2941.0,17.144282688095014,2.7072425296598324,14.437040158435181,1.0,3.5 vs 2.0; p=3.7e-05,
Concrete nosmooth,BRCA,CBX7,ENSG00000100307,2/6,2/2,0.8404355943202972,2662.0,16.9245992060369,2.49215542055349,14.432443785483407,1.0,5.4 vs 2.0; p=1.1e-07,
Concrete smooth,BRCA,TRGC2,ENSG00000227191,2/6,2/2,0.6680317521095276,2116.0,16.02218809067815,2.068697889498365,13.953490201179784,1.0,4.4 vs 2.0; p=1.2e-04,
Concrete smooth,BRCA,ARL4C,ENSG00000188042,2/6,2/2,0.7306599318981171,2314.0,16.012982770804797,2.1449274158185876,13.868055354986208,1.0,4.4 vs 2.0; p=1.2e-04,
LSPIN nosmooth,BRCA,AKR1B10,ENSG00000198074,2/6,2/2,0.6627828031778336,2099.5,16.57776800713565,2.941772433232715,13.635995573902935,1.0,2.5 vs 2.0; p=0.126,
Concrete smooth,BRCA,ENSG00000260244,ENSG00000260244,2/6,2/2,0.9843701422214508,3118.0,15.899227726615202,2.573592726539693,13.325635000075508,1.0,4.4 vs 2.0; p=1.2e-04,
LSPIN smooth,BRCA,C5AR1,ENSG00000197405,2/6,2/2,0.9123818576335907,2890.0,16.22563263692722,3.3155151408324857,12.910117496094733,1.0,3.5 vs 2.0; p=3.7e-05,
Concrete nosmooth,BRCA,MSR1,ENSG00000038945,2/6,2/2,0.922008216381073,2920.0,15.081366004226927,2.307158648138285,12.774207356088642,1.0,5.4 vs 2.0; p=1.1e-07,
Concrete smooth,BRCA,C1QB,ENSG00000173369,2/6,2/2,0.7917587459087372,2507.5,15.494238731885272,3.1955758326865844,12.298662899198687,1.0,4.4 vs 2.0; p=1.2e-04,
LSPIN smooth,BRCA,BARX1,ENSG00000131668,2/6,2/2,0.7277118563652039,2305.0,15.203273102739058,2.988955812628417,12.214317290110642,1.0,3.5 vs 2.0; p=3.7e-05,
