family,selection,model_label,gene,run_count,primary_histology,primary_histology_count,primary_histology_fraction,median_gate_rate_holdout,median_selected_patient_n,median_target_abs_neglog10_p,median_random_abs_neglog10_p,median_target_minus_random_median,fraction_beating_random_median,symbol,description,curated_tumor_gene_note,curated_tumor_gene
Concrete,nosmooth,Concrete nosmooth,ENSG00000005020,1,BRCA,1,1.0,1.0,3168.0,4.176168402457174,2.716244974607545,1.4599234278496285,1.0,ENSG00000005020,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000204389,1,UCEC,1,1.0,0.3991158902645111,1264.0,2.319166487407812,0.8734498532551891,1.4457166341526229,1.0,ENSG00000204389,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000087085,1,BRCA,1,1.0,0.9109567403793336,2885.0,2.8800024984103074,1.4434855401823992,1.4365169582279085,1.0,ENSG00000087085,,,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000169851,1,BRCA,1,1.0,0.5841490626335144,1850.0,3.7701483838808527,2.338879405354051,1.4312689785268016,1.0,ENSG00000169851,,,False
Concrete,smooth,Concrete smooth,ENSG00000204950,1,BRCA,1,1.0,0.5364698171615601,1699.0,3.214112832305064,1.7874676364458637,1.4266451958592006,1.0,ENSG00000204950,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000061656,1,BRCA,1,1.0,0.597726583480835,1893.0,4.615350308693085,3.189687286869552,1.4256630218235329,1.0,ENSG00000061656,,,False
Concrete,smooth,Concrete smooth,ENSG00000211637,1,UCEC,1,1.0,0.5468897819519043,1732.0,3.1256166658557625,1.7012606046720258,1.4243560611837367,1.0,ENSG00000211637,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000092421,1,BRCA,1,1.0,0.4120618999004364,1305.0,2.461202635694961,1.0570006049336382,1.404202030761323,1.0,ENSG00000092421,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000196189,1,HNSC,1,1.0,0.7919823527336121,2509.0,4.146289384369731,2.7616131214398827,1.3846762629298484,1.0,ENSG00000196189,,,False
Concrete,smooth,Concrete smooth,ENSG00000265714,1,BRCA,1,1.0,0.6865530014038086,2175.0,2.8617088377987425,1.4860901443979555,1.375618693400787,1.0,ENSG00000265714,,,False
Concrete,smooth,Concrete smooth,ENSG00000172379,1,BRCA,1,1.0,0.5601515769958496,1774.0,2.5731055978098576,1.2056880776745582,1.3674175201352994,1.0,ENSG00000172379,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000115339,1,UCEC,1,1.0,0.4958964586257934,1571.0,3.847247350876538,2.485383143639437,1.361864207237101,1.0,ENSG00000115339,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000136457,1,BRCA,1,1.0,0.8620581030845642,2731.0,4.025593761935144,2.6685673210221683,1.3570264409129758,1.0,ENSG00000136457,,,False
LSPIN,nosmooth,LSPIN nosmooth,ENSG00000137942,1,BRCA,1,1.0,0.6615093350410461,2095.0,4.326411711639272,2.9696029660986296,1.3568087455406426,1.0,ENSG00000137942,,,False
Concrete,smooth,Concrete smooth,ENSG00000167772,1,KIRC,1,1.0,0.565519392490387,1791.0,3.954035221746785,2.603033377721074,1.3510018440257112,1.0,ANGPTL4,angiopoietin like 4 [Source:HGNC Symbol;Acc:HGNC:16039],,False
Concrete,nosmooth,Concrete nosmooth,ENSG00000091879,1,BRCA,1,1.0,0.7025576233863831,2225.0,4.570371681965041,3.220198555915605,1.3501731260494356,1.0,ENSG00000091879,,,False
