family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
Concrete,nosmooth_lamx3,0,0,4735,CCDC19,1.0,287,71,kidneyclearcellrenalcarcinoma,177,1.6898277304935538,1.6898277304935538,0.9076805847821309,2.8181872799767342,0.782147145711423,True,False
Concrete,nosmooth_lamx3,0,0,193,CRTAC1,0.996515691280365,286,70,kidneyclearcellrenalcarcinoma,176,1.2120920223885598,-1.2120920223885598,0.771185364479697,3.164228515870281,0.44090665790886285,True,False
Concrete,nosmooth_lamx3,0,0,1431,CLDN7,0.9790940880775452,281,69,kidneyclearcellrenalcarcinoma,173,1.5098392091089314,-1.5098392091089314,0.6707269983093922,3.135665190856565,0.8391122107995392,True,False
Concrete,nosmooth_lamx3,0,0,4973,PEX5L,0.9686411023139954,278,70,kidneyclearcellrenalcarcinoma,168,1.607555635458552,1.607555635458552,0.8935921031873735,3.1751278513700716,0.7139635322711786,True,False
Concrete,nosmooth_lamx3,0,0,2564,UPP2,0.602787435054779,173,54,kidneyclearcellrenalcarcinoma,162,0.07217801772088986,-0.07217801772088986,0.920818393008342,3.1431975286651896,-0.8486403752874522,False,False
Concrete,nosmooth_lamx3,0,0,488,GGT1,0.5749129056930542,165,53,kidneyclearcellrenalcarcinoma,160,0.4809422410471612,-0.4809422410471612,0.973642461627757,3.09760379344776,-0.4927002205805958,False,False
Concrete,nosmooth_lamx3,0,0,4016,WIT1,0.5714285969734192,164,52,kidneyclearcellrenalcarcinoma,160,6.497084327742682,6.497084327742682,0.8611773604862483,3.3377796918077225,5.6359069672564335,True,True
Concrete,nosmooth_lamx3,0,0,5099,KIF7,0.5679442286491394,163,52,kidneyclearcellrenalcarcinoma,157,2.0107418714068492,2.0107418714068492,0.8930436521858269,2.979381032125391,1.1176982192210223,True,False
Concrete,nosmooth_lamx3,0,0,5681,TKTL1,0.5644599199295044,162,51,kidneyclearcellrenalcarcinoma,158,0.20633425701071165,0.20633425701071165,0.6988475801859472,2.8453836534540486,-0.49251332317523555,False,False
Concrete,nosmooth_lamx3,0,0,818,EREG,0.5644599199295044,162,51,kidneyclearcellrenalcarcinoma,160,0.9473475952871118,0.9473475952871118,1.171374672368987,3.3347364312978858,-0.2240270770818753,False,False
