family,selection,fold,rep,gene_idx,gene,gate_rate_holdout,selected_patient_n,selected_patient_events,top_selected_histology,top_selected_histology_n,target_abs_neglog10_p,target_signed_neglog10_p,random_median_abs_neglog10_p,random_p90_abs_neglog10_p,target_minus_random_median,target_gt_random_median,target_gt_random_p90
Concrete,nosmooth_lamx3,0,0,2103,FASLG,1.0,287,71,kidneyclearcellrenalcarcinoma,177,4.561262916718416,4.561262916718416,0.9682840757507829,3.3622169170623173,3.592978840967633,True,True
Concrete,nosmooth_lamx3,0,0,743,CXCL11,0.9895470142364502,284,70,kidneyclearcellrenalcarcinoma,175,3.2922683561254984,3.2922683561254984,0.7969680877450304,3.809699059087842,2.495300268380468,True,False
Concrete,nosmooth_lamx3,0,0,4735,CCDC19,0.6655052304267883,191,41,kidneypapillaryrenalcellcarcinoma,91,0.9856406765856757,0.9856406765856757,0.7074261457935513,2.497791665920856,0.2782145307921243,True,False
Concrete,nosmooth_lamx3,0,0,2889,ALDH1L2,0.6445993185043335,185,57,kidneyclearcellrenalcarcinoma,157,1.6792733733181746,1.6792733733181746,0.8066893202602224,3.9182816223613592,0.8725840530579522,True,False
Concrete,nosmooth_lamx3,0,0,5370,RASSF5,0.6062718033790588,174,30,kidneyclearcellrenalcarcinoma,89,0.498078542891469,0.498078542891469,0.38930754875265927,1.5587511041368067,0.10877099413880975,True,False
Concrete,nosmooth_lamx3,0,0,5316,CD14,0.592334508895874,170,52,kidneyclearcellrenalcarcinoma,162,2.855651556090713,2.855651556090713,0.5638739360870327,2.3166266899555237,2.29177762000368,True,True
Concrete,nosmooth_lamx3,0,0,2425,RAP1GAP,0.5783972144126892,166,53,kidneyclearcellrenalcarcinoma,161,0.6543442616554784,-0.6543442616554784,0.7370264851321298,3.2806919256395766,-0.08268222347665133,False,False
Concrete,nosmooth_lamx3,0,0,4016,WIT1,0.5783972144126892,166,53,kidneyclearcellrenalcarcinoma,161,7.7965623454109565,7.7965623454109565,1.16900188170017,3.991695961495406,6.627560463710786,True,True
Concrete,nosmooth_lamx3,0,0,2898,OSTalpha,0.5714285969734192,164,50,kidneyclearcellrenalcarcinoma,153,0.21293481547747942,0.21293481547747942,1.0379019256887023,2.9441341591359738,-0.8249671102112229,False,False
Concrete,nosmooth_lamx3,0,0,4651,DEPDC1B,0.5644599199295044,162,51,kidneyclearcellrenalcarcinoma,160,1.6730679271325208,1.6730679271325208,0.6636146596763268,3.097926740847923,1.009453267456194,True,False
Concrete,nosmooth_lamx3,0,0,4032,C16orf73,0.5609756112098694,161,50,kidneyclearcellrenalcarcinoma,159,0.13198575987160385,0.13198575987160385,0.9002310539622888,3.140648128084692,-0.7682452940906849,False,False
Concrete,nosmooth_lamx3,0,0,1012,C4BPA,0.5609756112098694,161,49,kidneyclearcellrenalcarcinoma,141,1.1005363728337008,1.1005363728337008,1.0273708481868042,3.017294350625304,0.07316552464689652,True,False
Concrete,nosmooth_lamx3,0,0,5957,KRBA1,0.5574913024902344,160,50,kidneyclearcellrenalcarcinoma,159,0.25068556094639916,-0.25068556094639916,0.9668442183902223,3.210413539019741,-0.7161586574438231,False,False
Concrete,nosmooth_lamx3,0,0,509,PPP2R2C,0.5574913024902344,160,50,kidneyclearcellrenalcarcinoma,159,3.0914362155860853,3.0914362155860853,0.7552956515697411,3.466338635863544,2.336140564016344,True,False
Concrete,nosmooth_lamx3,0,0,466,B3GNT3,0.5540069937705994,159,49,kidneyclearcellrenalcarcinoma,158,0.73214043204058,-0.73214043204058,0.6392695532775454,2.855973841660706,0.09287087876303457,True,False
Concrete,nosmooth_lamx3,0,0,5634,LYPD5,0.5540069937705994,159,48,kidneyclearcellrenalcarcinoma,157,0.5434170460136523,-0.5434170460136523,0.749129656477759,3.386301553122574,-0.20571261046410672,False,False
Concrete,nosmooth_lamx3,0,0,4241,PTCHD2,0.5540069937705994,159,49,kidneyclearcellrenalcarcinoma,158,0.8461439564359324,0.8461439564359324,0.7414614394611327,2.821267211033314,0.10468251697479969,True,False
Concrete,nosmooth_lamx3,0,0,2048,FLG,0.5540069937705994,159,48,kidneyclearcellrenalcarcinoma,157,1.1158681035216047,1.1158681035216047,0.9653214270207219,3.567154580138695,0.15054667650088283,True,False
Concrete,nosmooth_lamx3,0,0,4765,HIST1H4H,0.5540069937705994,159,48,kidneyclearcellrenalcarcinoma,157,0.6002888638342845,0.6002888638342845,1.001395121772542,3.2888110468093177,-0.4011062579382576,False,False
Concrete,nosmooth_lamx3,0,0,4435,PDE4B,0.5540069937705994,159,49,kidneyclearcellrenalcarcinoma,158,0.09232389743736939,0.09232389743736939,0.7059070730543022,2.6853113998338647,-0.6135831756169329,False,False
Concrete,nosmooth_lamx3,0,0,818,EREG,0.5540069937705994,159,50,kidneyclearcellrenalcarcinoma,158,1.020041493743737,1.020041493743737,0.7139705244931874,3.0100035329004626,0.30607096925054955,True,False
Concrete,nosmooth_lamx3,0,0,5524,CAND2,0.5505226254463196,158,48,kidneyclearcellrenalcarcinoma,157,0.17880305861582516,-0.17880305861582516,0.9927007540927615,2.7154036143431193,-0.8138976954769364,False,False
Concrete,nosmooth_lamx3,0,0,319,ANKS4B,0.5505226254463196,158,49,kidneyclearcellrenalcarcinoma,157,1.0804788779822405,-1.0804788779822405,0.8839512935531304,3.0017492470726936,0.1965275844291101,True,False
Concrete,nosmooth_lamx3,0,0,262,POF1B,0.5505226254463196,158,48,kidneyclearcellrenalcarcinoma,157,0.2766435290010746,0.2766435290010746,0.5753357186395092,2.3026171121906134,-0.2986921896384346,False,False
Concrete,nosmooth_lamx3,0,0,2138,TFAP2B,0.5470383167266846,157,47,kidneyclearcellrenalcarcinoma,156,0.13295064639395857,-0.13295064639395857,0.6792761856913241,2.3575793562925402,-0.5463255392973655,False,False
Concrete,nosmooth_lamx3,0,0,2046,HAS2,0.5470383167266846,157,49,kidneyclearcellrenalcarcinoma,156,0.5138002826851802,0.5138002826851802,0.7232761854036982,2.4301605544980265,-0.20947590271851801,False,False
Concrete,nosmooth_lamx3,0,0,497,CTSE,0.5470383167266846,157,49,kidneyclearcellrenalcarcinoma,156,0.8290467915741331,-0.8290467915741331,0.9605472755131346,3.0440885735529846,-0.1315004839390015,False,False
Concrete,nosmooth_lamx3,0,0,3178,LOC401431,0.5470383167266846,157,48,kidneyclearcellrenalcarcinoma,156,1.2210702462623513,1.2210702462623513,0.7308405470567996,2.2837546404825626,0.4902296992055517,True,False
Concrete,nosmooth_lamx3,0,0,1415,PODN,0.5470383167266846,157,49,kidneyclearcellrenalcarcinoma,156,0.14019403359349245,-0.14019403359349245,0.8402632071087786,2.4660282227780495,-0.7000691735152861,False,False
Concrete,nosmooth_lamx3,0,0,742,CACNA2D1,0.5470383167266846,157,48,kidneyclearcellrenalcarcinoma,156,1.964541403816712,-1.964541403816712,0.6626810632194191,2.303259119914574,1.3018603405972928,True,False
Concrete,nosmooth_lamx3,0,0,2936,CHGA,0.5435540080070496,156,48,kidneyclearcellrenalcarcinoma,154,2.2188286426196138,2.2188286426196138,0.9977221058880359,3.6851387280349717,1.2211065367315779,True,False
Concrete,nosmooth_lamx3,0,0,5326,SRGAP3,0.5435540080070496,156,49,kidneyclearcellrenalcarcinoma,155,0.8364901168286478,0.8364901168286478,0.8100196095393715,2.5394186955579885,0.026470507289276357,True,False
Concrete,nosmooth_lamx3,0,0,2475,MUC5B,0.5435540080070496,156,48,kidneyclearcellrenalcarcinoma,155,3.3754280730200708,3.3754280730200708,0.7637077627119095,3.056406085193617,2.6117203103081614,True,True
Concrete,nosmooth_lamx3,0,0,2442,PCDHA1,0.5435540080070496,156,47,kidneyclearcellrenalcarcinoma,155,0.46270573495081546,0.46270573495081546,0.7821182927852752,2.3839697303740683,-0.31941255783445976,False,False
Concrete,nosmooth_lamx3,0,0,2205,CALCRL,0.5400696992874146,155,48,kidneyclearcellrenalcarcinoma,154,4.296796681685481,-4.296796681685481,0.9515434286640093,2.445640956511819,3.345253253021472,True,True
Concrete,nosmooth_lamx3,0,0,269,ADCY8,0.5400696992874146,155,47,kidneyclearcellrenalcarcinoma,154,0.32700279554062517,-0.32700279554062517,0.7941162242529468,2.361618389314595,-0.46711342871232164,False,False
Concrete,nosmooth_lamx3,0,0,5742,TUBA8,0.5400696992874146,155,45,kidneyclearcellrenalcarcinoma,153,0.9733624768739736,0.9733624768739736,0.7617643840159058,2.9381619802088053,0.21159809285806774,True,False
Concrete,nosmooth_lamx3,0,0,5969,CCL16,0.5400696992874146,155,47,kidneyclearcellrenalcarcinoma,154,0.9035918610073743,0.9035918610073743,0.7199265543898512,2.533316662532108,0.18366530661752312,True,False
Concrete,nosmooth_lamx3,0,0,3587,TMEM158,0.5400696992874146,155,50,kidneyclearcellrenalcarcinoma,153,4.143089891565587,4.143089891565587,0.9802419230350932,2.811011104378316,3.162847968530494,True,True
Concrete,nosmooth_lamx3,0,0,3967,C3orf57,0.5400696992874146,155,47,kidneyclearcellrenalcarcinoma,154,0.4057265425633749,0.4057265425633749,0.9180040506152021,3.3452513635060854,-0.5122775080518271,False,False
Concrete,nosmooth_lamx3,0,0,750,ZPLD1,0.5331010222434998,153,48,kidneyclearcellrenalcarcinoma,152,0.6158312770477835,0.6158312770477835,0.867067965663961,3.05139175852502,-0.25123668861617754,False,False
Concrete,nosmooth_lamx3,0,0,2454,C9orf44,0.5331010222434998,153,47,kidneyclearcellrenalcarcinoma,152,0.8786281218550361,0.8786281218550361,0.7370766571334934,2.8732097613828618,0.14155146472154279,True,False
