family,selection,n_genes,n_fold_reps,fraction_gt_random_median,binomial_p_gt_random_median_vs_0p5,fraction_gt_random_p90,binomial_p_gt_random_p90_vs_0p1,median_target_minus_random_median,mean_target_minus_random_median,wilcoxon_p_delta_gt_zero,median_target_abs_neglog10_p,median_random_median_abs_neglog10_p
Concrete,nosmooth_lamx3,1525,6,0.5337704918032787,0.0044903935979886825,0.14426229508196722,3.072602696426692e-08,0.05764695792417662,0.4799788152833957,7.491030940697973e-21,0.6038985950756143,0.561283907263701
Concrete,smooth_lamx3_smooth0p05,1196,6,0.5518394648829431,0.00018575613575879058,0.14297658862876253,1.6201031417353803e-06,0.09329200169154744,0.5702841303017238,1.2357122173069e-23,0.7240784976619894,0.6282957173546644
L-Concrete,nosmooth_lamx3,559,6,0.6368515205724508,4.944459676709233e-11,0.24865831842576028,5.100163574055175e-24,0.32733472370814487,0.8747254037636163,3.2663088240914496e-27,0.884746330640467,0.558216327349129
L-Concrete,smooth_lamx3_smooth0p025,355,6,0.6647887323943662,2.6132218127527487e-10,0.2704225352112676,9.264273795200959e-20,0.38768266770330234,1.0935356545608788,4.047227770149027e-21,0.9810964491055669,0.5988772390209526
L-LSPIN,nosmooth_lamx3,1105,6,0.5466063348416289,0.001068849968561045,0.13846153846153847,2.9187535264346342e-05,0.12590282857885993,0.6140602458480107,1.6445057042471866e-19,0.8644326507761098,0.7689329659793473
L-LSPIN,smooth_lamx3_smooth0p1,1651,6,0.4954572986069049,0.6531196448371723,0.12961841308298,6.477005997938145e-05,-0.011150588642797499,0.524238310564755,3.32569058256231e-12,0.7899181874599593,0.8457019810944492
LSPIN,nosmooth_lamx3,2136,6,0.5243445692883895,0.012908013253908024,0.1301498127340824,4.576041600322092e-06,0.04577978612432204,0.5156947985162434,3.8868505037519466e-23,0.7123371376352182,0.6862502132865735
LSPIN,smooth_lamx3_smooth0p1,3000,6,0.49466666666666664,0.7265740428031865,0.11033333333333334,0.03308061891167473,-0.018104629856614263,0.44151533461780307,6.824658538292273e-21,0.8380101080476818,0.8505728850052179
